t,pwm,gx,gy,gz
0.0004971250000380678,1498.0,0.001953125,0.00390625,0.0
0.013583202000063466,1496.0,0.001953125,0.00390625,0.0
0.014678440000125192,1494.0,0.001953125,0.00390625,0.0
0.0156790240000646,1492.0,0.001953125,0.00390625,0.0
0.020424445000116975,1490.0,0.00390625,0.0,0.0
0.02534773000002133,1488.0,0.00390625,0.0,0.0
0.030232382000122016,1486.0,0.00390625,0.0,0.0
0.035193187999993825,1484.0,0.00390625,0.0,0.0
0.04022890600003848,1482.0,0.00390625,0.0,0.0
0.04519678599990584,1480.0,0.00390625,0.0,0.0
0.05020042799992552,1478.0,0.00390625,0.0,0.0
0.05524448000005577,1476.0,0.00390625,0.0,0.0
0.06015128200010622,1474.0,0.00390625,0.0,0.0
0.0650960309999391,1472.0,0.00390625,0.0,0.0
0.07012304399995628,1470.0,0.001953125,-0.001953125,0.00390625
0.07510036999997283,1468.0,0.001953125,-0.001953125,0.00390625
0.08008688099994288,1466.0,0.001953125,-0.001953125,0.00390625
0.08508559599999899,1464.0,0.001953125,-0.001953125,0.00390625
0.09009392300004038,1462.0,0.001953125,-0.001953125,0.00390625
0.0950949909999963,1460.0,0.001953125,-0.001953125,0.00390625
0.10017148900010397,1458.0,0.001953125,-0.001953125,0.00390625
0.10509690399999272,1456.0,0.001953125,-0.001953125,0.00390625
0.11009458200010158,1454.0,0.001953125,-0.001953125,0.00390625
0.11508683400006703,1452.0,0.001953125,-0.001953125,0.00390625
0.12008530899993275,1450.0,0.00390625,-0.001953125,0.0
0.125088617000074,1448.0,0.00390625,-0.001953125,0.0
0.1300920920000408,1446.0,0.00390625,-0.001953125,0.0
0.13508793699998023,1444.0,0.00390625,-0.001953125,0.0
0.14008617100012088,1442.0,0.00390625,-0.001953125,0.0
0.14508460899992315,1440.0,0.00390625,-0.001953125,0.0
0.1500867140000537,1438.0,0.00390625,-0.001953125,0.0
0.15508426199994574,1436.0,0.00390625,-0.001953125,0.0
0.1600863850001133,1434.0,0.00390625,-0.001953125,0.0
0.16508599000007962,1432.0,0.00390625,-0.001953125,0.0
0.17008505700005117,1430.0,0.00390625,0.0,-0.001953125
0.17509999599997172,1428.0,0.00390625,0.0,-0.001953125
0.18009100700010094,1426.0,0.00390625,0.0,-0.001953125
0.18509001899997202,1424.0,0.00390625,0.0,-0.001953125
0.19008810500008622,1422.0,0.00390625,0.0,-0.001953125
0.195088190999968,1420.0,0.00390625,0.0,-0.001953125
0.20008457299991278,1418.0,0.00390625,0.0,-0.001953125
0.2050845290000325,1416.0,0.00390625,0.0,-0.001953125
0.2100895969999783,1414.0,0.00390625,0.0,-0.001953125
0.21508577500003412,1412.0,0.00390625,0.0,-0.001953125
0.22009413999990102,1410.0,0.0,-0.001953125,0.0
0.2250920030000998,1408.0,0.0,-0.001953125,0.0
0.23008816300011858,1406.0,0.0,-0.001953125,0.0
0.23508871200010617,1404.0,0.0,-0.001953125,0.0
0.24011928100003388,1402.0,0.0,-0.001953125,0.0
0.24508766200005994,1400.0,0.0,-0.001953125,0.0
0.2500858220000737,1400.0,0.0,-0.001953125,0.0
0.2550886670001091,1400.0,0.0,-0.001953125,0.0
0.26008727099997486,1400.0,0.0,-0.001953125,0.0
0.26508815400006824,1400.0,0.0,-0.001953125,0.0
0.27008409099994424,1400.0,0.001953125,0.0,0.0
0.27508915900011743,1400.0,0.001953125,0.0,0.0
0.2800875039999937,1400.0,0.001953125,0.0,0.0
0.2850869789999706,1400.0,0.001953125,0.0,0.0
0.2900865460001114,1400.0,0.001953125,0.0,0.0
0.2950842249999823,1400.0,0.001953125,0.0,0.0
0.3000835880000068,1400.0,0.001953125,0.0,0.0
0.30508648899990476,1400.0,0.001953125,0.0,0.0
0.31008613099993454,1400.0,0.001953125,0.0,0.0
0.31508395700006986,1400.0,0.001953125,0.0,0.0
0.3200844140001209,1400.0,0.001953125,0.0,0.0
0.325088740999945,1400.0,0.001953125,0.0,0.0
0.33008808599993245,1400.0,0.001953125,0.0,0.0
0.33508476399993015,1400.0,0.001953125,0.0,0.0
0.3402684180000506,1400.0,0.001953125,0.0,0.0
0.3452137040001162,1400.0,0.001953125,0.0,0.0
0.3501062269999693,1400.0,0.001953125,0.0,0.0
0.3551887070000248,1400.0,0.001953125,0.0,0.0
0.3601842929999748,1400.0,0.001953125,0.0,0.0
0.3651332459999139,1400.0,0.001953125,0.0,0.0
0.37014598099995055,1400.0,-0.001953125,0.00390625,-0.001953125
0.3752073119999295,1400.0,-0.001953125,0.00390625,-0.001953125
0.38011207699992156,1400.0,-0.001953125,0.00390625,-0.001953125
0.38509395799997037,1400.0,-0.001953125,0.00390625,-0.001953125
0.3900944700001219,1400.0,-0.001953125,0.00390625,-0.001953125
0.39508861100011927,1400.0,-0.001953125,0.00390625,-0.001953125
0.4001317550000749,1400.0,-0.001953125,0.00390625,-0.001953125
0.4052400890000172,1400.0,-0.001953125,0.00390625,-0.001953125
0.4102503050000905,1400.0,-0.001953125,0.00390625,-0.001953125
0.41510291899999174,1400.0,-0.001953125,0.00390625,-0.001953125
0.4200889480000569,1400.0,0.00390625,0.0,0.00390625
0.42519028099991374,1400.0,0.00390625,0.0,0.00390625
0.43010200999992776,1400.0,0.00390625,0.0,0.00390625
0.43508783500010395,1400.0,0.00390625,0.0,0.00390625
0.4401484069999242,1400.0,0.00390625,0.0,0.00390625
0.44510811999998623,1400.0,0.00390625,0.0,0.00390625
0.45016167199992196,1400.0,0.00390625,0.0,0.00390625
0.455103587999929,1400.0,0.00390625,0.0,0.00390625
0.4600899510001,1400.0,0.00390625,0.0,0.00390625
0.4650915919999079,1400.0,0.00390625,0.0,0.00390625
0.4700892890000432,1400.0,0.001953125,0.0,0.0
0.47509661599997344,1400.0,0.001953125,0.0,0.0
0.4800858870000866,1400.0,0.001953125,0.0,0.0
0.4850845840001057,1400.0,0.001953125,0.0,0.0
0.4900835400001142,1400.0,0.001953125,0.0,0.0
0.49508753400004935,1400.0,0.001953125,0.0,0.0
0.5001164360000985,1400.0,0.001953125,0.0,0.0
0.5050946690000728,1400.0,0.001953125,0.0,0.0
0.5101032929999292,1400.0,0.001953125,0.0,0.0
0.5151242130000355,1400.0,0.001953125,0.0,0.0
0.5201045199999044,1400.0,-0.001953125,0.0,-0.001953125
0.5250967350000337,1400.0,-0.001953125,0.0,-0.001953125
0.5300948770000105,1400.0,-0.001953125,0.0,-0.001953125
0.5350891840000713,1400.0,-0.001953125,0.0,-0.001953125
0.540087215000085,1400.0,-0.001953125,0.0,-0.001953125
0.5450875040000938,1400.0,-0.001953125,0.0,-0.001953125
0.5500875350001024,1400.0,-0.001953125,0.0,-0.001953125
0.5550847869999416,1400.0,-0.001953125,0.0,-0.001953125
0.5600846510001247,1400.0,-0.001953125,0.0,-0.001953125
0.5650844040001175,1400.0,-0.001953125,0.0,-0.001953125
0.5701368259999526,1400.0,0.00390625,0.0,0.0
0.5750974279999355,1400.0,0.00390625,0.0,0.0
0.5800874950000434,1400.0,0.00390625,0.0,0.0
0.5850860250000096,1400.0,0.00390625,0.0,0.0
0.590088612000045,1400.0,0.00390625,0.0,0.0
0.5950876599999901,1400.0,0.00390625,0.0,0.0
0.6000849130000461,1400.0,0.00390625,0.0,0.0
0.6050828879999699,1400.0,0.00390625,0.0,0.0
0.6100842329999523,1400.0,0.00390625,0.0,0.0
0.6150858190001145,1400.0,0.00390625,0.0,0.0
0.620083367999996,1400.0,0.001953125,-0.001953125,0.001953125
0.6250885839999683,1400.0,0.001953125,-0.001953125,0.001953125
0.6301088560001062,1400.0,0.001953125,-0.001953125,0.001953125
0.6350855700000011,1400.0,0.001953125,-0.001953125,0.001953125
0.6401141399999233,1400.0,0.001953125,-0.001953125,0.001953125
0.6450898719999714,1400.0,0.001953125,-0.001953125,0.001953125
0.650086199000043,1400.0,0.001953125,-0.001953125,0.001953125
0.655085692000057,1400.0,0.001953125,-0.001953125,0.001953125
0.6600852779999968,1400.0,0.001953125,-0.001953125,0.001953125
0.6650855119999051,1400.0,0.001953125,-0.001953125,0.001953125
0.6701082659999429,1400.0,0.0,0.00390625,0.001953125
0.6750921289999496,1400.0,0.0,0.00390625,0.001953125
0.680085937000058,1400.0,0.0,0.00390625,0.001953125
0.6850856710000244,1400.0,0.0,0.00390625,0.001953125
0.6900852569999643,1400.0,0.0,0.00390625,0.001953125
0.6950837500000944,1400.0,0.0,0.00390625,0.001953125
0.7000840210000661,1400.0,0.0,0.00390625,0.001953125
0.7050852370000484,1400.0,0.0,0.00390625,0.001953125
0.7100838230001045,1400.0,0.0,0.00390625,0.001953125
0.7150837419999334,1400.0,0.0,0.00390625,0.001953125
0.7200834390000637,1400.0,0.0,0.0,0.001953125
0.7250863030001256,1400.0,0.0,0.0,0.001953125
0.7300842590000229,1400.0,0.0,0.0,0.001953125
0.7350834750000104,1400.0,0.0,0.0,0.001953125
0.7401134520000596,1400.0,0.0,0.0,0.001953125
0.7450930180000341,1400.0,0.0,0.0,0.001953125
0.7500858999999309,1400.0,0.0,0.0,0.001953125
0.7550850600000558,1400.0,0.0,0.0,0.001953125
