gx,gy,gz,wx,wy,wz
-0.022667,0.999076,-0.035518,0.000000,0.000000,0.000000
-0.022667,0.999076,-0.035518,0.000000,0.000000,0.000000
-0.021483,0.999048,-0.037034,0.000000,0.000000,0.000000
-0.021483,0.999048,-0.037034,0.000000,0.000000,0.000000
-0.021483,0.999048,-0.037034,0.000000,0.000000,0.000000
-0.021483,0.999048,-0.037034,0.000000,0.000000,0.000000
-0.021483,0.999048,-0.037034,0.000000,0.000000,0.000000
-0.021483,0.999048,-0.037034,0.000000,0.000000,0.000000
-0.021483,0.999048,-0.037034,0.000000,0.000000,0.000000
-0.021483,0.999048,-0.037034,0.000000,0.000000,0.000000
-0.021483,0.999048,-0.037034,0.000000,0.000000,0.000000
-0.021483,0.999048,-0.037034,0.000000,0.000000,0.000000
-0.021483,0.999048,-0.037034,0.000000,0.000000,0.000000
-0.021483,0.999048,-0.037034,0.000000,0.000000,0.000000
-0.021483,0.999048,-0.037034,0.000000,0.000000,0.000000
-0.021483,0.999048,-0.037034,0.000000,0.000000,0.000000
-0.021483,0.999048,-0.037034,0.000000,0.000000,0.000000
-0.021483,0.999048,-0.037034,0.000000,0.000000,0.000000
-0.021568,0.999072,-0.037034,0.000000,0.000000,0.000000
-0.021568,0.999072,-0.037034,0.000000,0.000000,0.000000
-0.021568,0.999072,-0.037034,0.000000,0.000000,0.000000
-0.021568,0.999072,-0.037034,0.000000,0.000000,0.000000
-0.021568,0.999072,-0.037034,0.000000,0.000000,0.000000
-0.021568,0.999072,-0.037034,0.000000,0.000000,0.000000
-0.021568,0.999072,-0.037034,0.000000,0.000000,0.000000
-0.021568,0.999072,-0.037034,0.000000,0.000000,0.000000
-0.021568,0.999072,-0.037034,0.000000,0.000000,0.000000
-0.021568,0.999072,-0.037034,0.000000,0.000000,0.000000
-0.021568,0.999072,-0.037034,0.000000,0.000000,0.000000
-0.021568,0.999072,-0.037034,0.000000,0.000000,0.000000
-0.021568,0.999072,-0.037034,0.000000,0.000000,0.000000
-0.021544,0.999156,-0.037034,0.000000,0.000000,0.000000
-0.021544,0.999156,-0.037034,0.000000,0.000000,0.000000
-0.021625,0.999132,-0.036987,0.000000,0.000000,0.000000
-0.021625,0.999132,-0.036987,0.000000,0.000000,0.000000
-0.021625,0.999132,-0.036987,0.000000,0.000000,0.000000
-0.021625,0.999132,-0.036987,0.000000,0.000000,0.000000
-0.021625,0.999132,-0.036987,0.000000,0.000000,0.000000
-0.021600,0.999051,-0.036818,0.000000,0.000000,0.000000
-0.021600,0.999051,-0.036818,0.000000,0.000000,0.000000
-0.021600,0.999051,-0.036818,0.000000,0.000000,0.000000
-0.021600,0.999051,-0.036818,0.000000,0.000000,0.000000
-0.021600,0.999051,-0.036818,0.000000,0.000000,0.000000
-0.021600,0.999051,-0.036818,0.000000,0.000000,0.000000
-0.021600,0.999051,-0.036818,0.000000,0.000000,0.000000
-0.021600,0.999051,-0.036818,0.000000,0.000000,0.000000
-0.021600,0.999051,-0.036818,0.000000,0.000000,0.000000
-0.021600,0.999051,-0.036818,0.000000,0.000000,0.000000
-0.021600,0.999051,-0.036818,0.000000,0.000000,0.000000
-0.021600,0.999051,-0.036818,0.000000,0.000000,0.000000
-0.021600,0.999051,-0.036818,0.000000,0.000000,0.000000
