t,pwm,gx,gy,gz
0.00028759399992850376,1498.0,0.0,-0.0078125,0.00390625
0.010003306999806227,1496.0,0.0,-0.0078125,0.00390625
0.010302326999862998,1494.0,0.0,-0.0078125,0.00390625
0.01509377599995787,1492.0,0.0,-0.0078125,0.00390625
0.02009513299981336,1490.0,0.0,-0.0078125,0.00390625
0.02509008300012283,1488.0,0.0,-0.0078125,0.00390625
0.030087550999724044,1486.0,0.0,-0.0078125,0.00390625
0.03508798199982266,1484.0,0.0,-0.0078125,0.00390625
0.04008667300013258,1482.0,0.0,-0.0078125,0.00390625
0.0451991969998744,1480.0,0.0,-0.0078125,0.00390625
0.05010575799997241,1478.0,0.0,-0.0078125,0.00390625
0.05508929999996326,1476.0,0.001953125,0.00390625,-0.00390625
0.06009382399997776,1474.0,0.001953125,0.00390625,-0.00390625
0.06509294099987528,1472.0,0.001953125,0.00390625,-0.00390625
0.07008620499982499,1470.0,0.001953125,0.00390625,-0.00390625
0.07508159999997588,1468.0,0.001953125,0.00390625,-0.00390625
0.08009099399987463,1466.0,0.001953125,0.00390625,-0.00390625
0.08513651800012667,1464.0,0.001953125,0.00390625,-0.00390625
0.09009687499974461,1462.0,0.001953125,0.00390625,-0.00390625
0.09508928800005378,1460.0,0.001953125,0.00390625,-0.00390625
0.10013058999993518,1458.0,0.001953125,0.00390625,-0.00390625
0.1051133910000317,1456.0,-0.00390625,0.03125,-0.01171875
0.11010458200007633,1454.0,-0.00390625,0.03125,-0.01171875
0.11518234699997265,1452.0,-0.00390625,0.03125,-0.01171875
0.12010331500005123,1450.0,-0.00390625,0.03125,-0.01171875
0.125093115999789,1448.0,-0.00390625,0.03125,-0.01171875
0.13009139999985564,1446.0,-0.00390625,0.03125,-0.01171875
0.13509034899971084,1444.0,-0.00390625,0.03125,-0.01171875
0.14008342899978743,1442.0,-0.00390625,0.03125,-0.01171875
0.145242380000127,1440.0,-0.00390625,0.03125,-0.01171875
0.1501900140001453,1438.0,-0.00390625,0.03125,-0.01171875
0.15533126099990113,1436.0,-0.00390625,0.01953125,0.00390625
0.16021067299971037,1434.0,-0.00390625,0.01953125,0.00390625
0.1652007899997443,1432.0,-0.00390625,0.01953125,0.00390625
0.17010131300003195,1430.0,-0.00390625,0.01953125,0.00390625
0.1750900779998119,1428.0,-0.00390625,0.01953125,0.00390625
0.18010750899975392,1426.0,-0.00390625,0.01953125,0.00390625
0.18509692199995698,1424.0,-0.00390625,0.01953125,0.00390625
0.19008953799993833,1422.0,-0.00390625,0.01953125,0.00390625
0.19516734099988753,1420.0,-0.00390625,0.01953125,0.00390625
0.20010410499980935,1418.0,-0.00390625,0.01953125,0.00390625
0.20509546199991746,1416.0,0.005859375,-0.009765625,0.015625
0.21013911599993662,1414.0,0.005859375,-0.009765625,0.015625
0.21509050999975443,1412.0,0.005859375,-0.009765625,0.015625
0.22009310800012827,1410.0,0.005859375,-0.009765625,0.015625
0.2250938170000154,1408.0,0.005859375,-0.009765625,0.015625
0.230087469999944,1406.0,0.005859375,-0.009765625,0.015625
0.23508834599988404,1404.0,0.005859375,-0.009765625,0.015625
0.24008694399981323,1402.0,0.005859375,-0.009765625,0.015625
0.2450861160000386,1400.0,0.005859375,-0.009765625,0.015625
0.25008875100002115,1398.0,0.005859375,-0.009765625,0.015625
0.2550855720000982,1396.0,0.001953125,-0.017578125,0.015625
0.2600887620001231,1394.0,0.001953125,-0.017578125,0.015625
0.2650977680000324,1392.0,0.001953125,-0.017578125,0.015625
0.270089531999929,1390.0,0.001953125,-0.017578125,0.015625
0.2750863149999532,1388.0,0.001953125,-0.017578125,0.015625
0.28010607999976855,1386.0,0.001953125,-0.017578125,0.015625
0.2850863630001186,1384.0,0.001953125,-0.017578125,0.015625
0.2900844800001323,1382.0,0.001953125,-0.017578125,0.015625
0.2950862809998398,1380.0,0.001953125,-0.017578125,0.015625
0.3001269169999432,1378.0,0.001953125,-0.017578125,0.015625
0.30509170000004815,1376.0,0.005859375,0.0,0.005859375
0.3100922979997449,1374.0,0.005859375,0.0,0.005859375
0.3150862469997264,1372.0,0.005859375,0.0,0.005859375
0.32008454900005745,1370.0,0.005859375,0.0,0.005859375
0.32509199900005115,1368.0,0.005859375,0.0,0.005859375
0.3300854670001172,1366.0,0.005859375,0.0,0.005859375
0.3351197689999026,1364.0,0.005859375,0.0,0.005859375
0.34008833000007144,1362.0,0.005859375,0.0,0.005859375
0.3450879279998844,1360.0,0.005859375,0.0,0.005859375
0.35008498900015184,1358.0,0.005859375,0.0,0.005859375
0.35508584599983806,1356.0,0.00390625,-0.00390625,0.001953125
0.3600969809999697,1354.0,0.00390625,-0.00390625,0.001953125
0.3650871720001305,1352.0,0.00390625,-0.00390625,0.001953125
0.3700858249999328,1350.0,0.00390625,-0.00390625,0.001953125
0.37508460899971396,1348.0,0.00390625,-0.00390625,0.001953125
0.3800861139998233,1346.0,0.00390625,-0.00390625,0.001953125
0.385122544999831,1344.0,0.00390625,-0.00390625,0.001953125
0.3900907540000844,1342.0,0.00390625,-0.00390625,0.001953125
0.39508740800010855,1340.0,0.00390625,-0.00390625,0.001953125
0.4000861360000272,1338.0,0.00390625,-0.00390625,0.001953125
0.40508488199975545,1336.0,0.0,0.0078125,-0.0078125
