t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0087,-0.0000,0.0222,-0.0000,45.00,45.0087,0.600000,1.750339,0.000000,1.343503,1250,61.7438
0.0201,2,-0.0087,-0.0000,0.0222,-0.0000,45.00,45.0087,0.600000,1.750339,0.000000,1.343503,1250,61.7438
0.0402,3,-0.0087,-0.0000,0.0222,-0.0000,45.00,45.0087,0.600000,1.750339,0.000000,1.343503,1250,61.7438
0.0603,4,-0.0087,-0.0000,0.0222,-0.0000,45.00,45.0087,0.600000,1.750339,0.000000,1.343503,1250,61.7438
0.0803,5,-0.0087,-0.0000,0.0222,-0.0000,45.00,45.0087,0.600000,1.750339,0.000000,1.343503,1250,61.7438
0.1004,6,-0.0087,-0.0000,0.0222,-0.0000,45.00,45.0087,0.600000,1.750339,0.000000,1.343503,1250,61.7438
0.1205,7,-0.0087,-0.0000,0.0222,-0.0000,45.00,45.0087,0.600000,1.750339,0.000000,1.343503,1250,61.7438
0.1406,8,-0.0087,-0.0000,0.0222,-0.0000,45.00,45.0087,0.600000,1.750339,0.000000,1.343503,1250,61.7438
0.1607,9,-0.0087,-0.0000,0.0222,-0.0000,45.00,45.0087,0.600000,1.750339,0.000000,1.343503,1250,61.7438
0.1808,10,-0.0087,-0.0000,0.0222,-0.0000,45.00,45.0087,0.600000,1.750339,0.000000,1.343503,1250,61.7438
0.2008,11,-0.0087,-0.0000,0.0222,-0.0000,45.00,45.0087,0.600000,1.750339,0.000000,1.343503,1250,61.7438
0.2209,12,-0.0087,-0.0000,0.0222,-0.0000,45.00,45.0087,0.600000,1.750339,0.000000,1.343503,1250,61.7386
0.2410,13,-0.0036,0.1800,0.0235,0.6714,45.00,45.0036,0.600000,1.750139,-0.008952,1.343503,1250,61.7386
0.2611,14,-0.0036,0.1800,0.0235,0.6714,45.00,45.0036,0.600000,1.750139,-0.008952,1.343503,1250,61.7386
0.2812,15,0.0120,0.1800,0.0171,1.1191,45.00,44.9880,0.600000,1.749532,-0.014921,1.343503,1250,61.7230
0.3012,16,0.0120,0.1800,0.0171,1.1191,45.00,44.9880,0.600000,1.749532,-0.014921,1.343503,1250,61.7230
0.3213,17,0.0120,0.3600,0.0243,1.1191,45.00,44.9880,0.600000,1.749532,-0.014921,1.343503,1250,61.5756
0.3414,18,0.1594,0.9000,0.0243,13.4287,45.00,44.8406,0.600000,1.743800,-0.179049,1.343503,1250,61.5756
0.3615,19,0.1594,1.4400,0.0243,13.4287,45.00,44.8406,0.600000,1.743800,-0.179049,1.343503,1250,61.5756
0.3816,20,1.4378,2.8800,-0.0986,61.3244,45.00,43.5622,0.600000,1.694084,-0.817659,1.343503,1250,60.2972
0.4016,21,1.4378,4.3200,-0.0986,61.3244,45.00,43.5622,0.600000,1.694084,-0.817659,1.343503,1250,60.2972
0.4217,22,4.7988,6.4800,-0.0980,61.3244,45.00,40.2012,0.600000,1.563381,-0.817659,1.343503,1250,56.9363
0.4418,23,4.7988,9.7200,-0.0980,126.6774,45.00,40.2012,0.600000,1.563381,-1.689032,1.343503,1250,56.9363
0.4619,24,4.7988,12.2400,-0.0980,126.6774,45.00,40.2012,0.600000,1.563381,-1.689032,1.343503,1250,56.9363
0.4819,25,11.9770,15.6600,-0.6269,194.1566,45.00,33.0230,0.038977,1.284228,-2.588755,1.343503,1460,49.7581
0.5020,26,11.9770,17.8200,-0.6269,194.1566,45.00,33.0230,0.038977,1.284228,-2.588755,1.343503,1460,49.7581
0.5221,27,22.7504,19.9800,-1.1880,194.1566,45.00,22.2496,-0.379989,0.865262,-2.588755,1.343503,1667,38.9847
0.5422,28,22.7504,22.1400,-1.1880,249.7738,45.00,22.2496,-0.600000,0.865262,-3.330317,1.343503,1750,38.9847
0.5623,29,22.7504,24.3000,-1.1880,249.7738,45.00,22.2496,-0.600000,0.865262,-3.330317,1.343503,1750,38.9847
0.5824,30,35.4094,26.8200,-1.6359,252.5714,45.00,9.5906,-0.600000,0.372969,-3.367619,1.343503,1750,26.3257
0.6024,31,35.4094,28.4400,-1.6359,252.5714,45.00,9.5906,-0.600000,0.372969,-3.367619,1.343503,1750,26.3257
0.6225,32,47.8182,30.6000,-2.0144,252.5714,45.00,-2.8182,-0.600000,-0.109598,-3.367619,1.343503,1750,13.9168
0.6426,33,47.8182,33.8400,-2.0144,240.7094,45.00,-2.8182,-0.600000,-0.109598,-3.209459,1.343503,1750,13.9168
0.6627,34,47.8182,35.8200,-2.0144,240.7094,45.00,-2.8182,-0.600000,-0.109598,-3.209459,1.343503,1750,13.9168
0.6828,35,59.5178,38.8800,-2.3213,224.4831,45.00,-14.5178,-0.600000,-0.564580,-2.993108,1.343503,1750,2.2173
0.7029,36,59.5178,41.4000,-2.3213,224.4831,45.00,-14.5178,-0.600000,-0.564580,-2.993108,1.343503,1750,2.2173
0.7230,37,69.2017,42.1200,-2.6003,224.4831,45.00,-24.2017,-0.600000,-0.941178,-2.993108,1.343503,1750,-7.4667
0.7430,38,69.2017,39.9600,-2.6003,-44.7623,45.00,-24.2017,0.600000,-0.941178,0.596831,1.343503,1250,-7.4667
0.7631,39,69.2017,37.8000,-2.6003,-44.7623,45.00,-24.2017,0.600000,-0.941178,0.596831,1.343503,1250,-7.4667
0.7832,40,65.1615,34.9200,-2.4791,-122.7607,45.00,-20.1615,0.600000,-0.784057,1.636809,1.343503,1250,-3.4264
0.8033,41,65.1615,32.7600,-2.4791,-122.7607,45.00,-20.1615,0.600000,-0.784057,1.636809,1.343503,1250,-3.4264
0.8233,42,58.8768,30.2400,-2.3111,-122.7607,45.00,-13.8768,0.600000,-0.539655,1.636809,1.343503,1250,2.8582
0.8434,43,58.8768,27.9000,-2.3111,-136.3013,45.00,-13.8768,0.600000,-0.539655,1.817351,1.343503,1250,2.8582
0.8635,44,58.8768,25.2000,-2.3111,-136.3013,45.00,-13.8768,0.600000,-0.539655,1.817351,1.343503,1250,2.8582
