t_s,iteration,psi_enc_deg,psi_dot_enc_dps,phi_yaw_deg,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.1882,37,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1933,38,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1984,39,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2035,40,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2086,41,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2137,42,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2188,43,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2238,44,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2289,45,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2340,46,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2391,47,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2442,48,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2493,49,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2544,50,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2595,51,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2646,52,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2697,53,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2748,54,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2799,55,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2849,56,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2900,57,-0.0000,0.0000,-0.0294,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2951,58,-0.0000,0.0000,-0.0294,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.3002,59,-0.0000,0.0000,-0.0294,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.3053,60,-0.0000,0.0000,-0.0294,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.3105,61,-0.0000,0.0000,-0.0294,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.3156,62,-0.0000,0.0000,-0.0294,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.3207,63,-0.0000,0.0000,-0.0294,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.3258,64,-0.0000,0.0000,-0.0294,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.3309,65,-0.0000,0.0000,-0.0294,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.3360,66,0.1800,10.8000,-0.0294,90.00,85.51,175.51,89.8200,0.0000,0.550000,0.798400,0.001497,-0.060000,0.000000,1268
0.3411,67,0.1800,7.5600,-0.1157,90.00,85.51,175.51,89.8200,0.0000,0.550000,0.798400,0.001497,-0.042000,0.000000,1268
0.3462,68,0.1800,5.2920,-0.1157,90.00,85.51,175.51,89.8200,0.0000,0.550000,0.798400,0.001497,-0.029400,0.000000,1268
0.3514,69,0.3600,14.5044,-0.1157,90.00,85.51,175.51,89.6400,0.0000,0.550000,0.796800,0.001494,-0.080580,0.000000,1268
0.3565,70,0.3600,10.1531,-0.1157,90.00,85.51,175.51,89.6400,0.0000,0.550000,0.796800,0.001494,-0.056406,0.000000,1268
0.3615,71,0.5400,17.9072,-0.1157,90.00,85.51,175.51,89.4600,0.0000,0.550000,0.795200,0.001491,-0.099484,0.000000,1268
0.3666,72,0.5400,12.5350,-0.1157,90.00,85.51,175.51,89.4600,0.0000,0.550000,0.795200,0.001491,-0.069639,0.000000,1268
0.3717,73,0.7200,19.5745,-0.1157,90.00,85.51,175.51,89.2800,0.0000,0.550000,0.793600,0.001488,-0.108747,0.000000,1268
0.3768,74,0.7200,13.7022,-0.1157,90.00,85.51,175.51,89.2800,0.0000,0.550000,0.793600,0.001488,-0.076123,0.000000,1268
0.3819,75,0.9000,20.3915,-0.1157,90.00,85.51,175.51,89.1000,0.0000,0.550000,0.792000,0.001485,-0.113286,0.000000,1268
0.3870,76,1.0800,25.0741,-0.1157,90.00,85.51,175.51,88.9200,0.0000,0.550000,0.790400,0.001482,-0.139300,0.000000,1268
0.3921,77,1.0800,17.5518,0.3118,90.00,85.51,175.51,88.9200,0.0000,0.550000,0.790400,0.001482,-0.097510,0.000000,1268
0.3972,78,1.2600,23.0863,0.3118,90.00,85.51,175.51,88.7400,0.0000,0.550000,0.788800,0.001479,-0.128257,0.000000,1268
0.4023,79,1.4400,26.9604,0.3118,90.00,85.51,175.51,88.5600,0.0000,0.550000,0.787200,0.001476,-0.149780,0.000000,1268
0.4074,80,1.6200,29.6723,0.3118,90.00,85.51,175.51,88.3800,0.0000,0.550000,0.785600,0.001473,-0.164846,0.000000,1268
0.4125,81,1.6200,20.7706,0.3118,90.00,85.51,175.51,88.3800,0.0000,0.550000,0.785600,0.001473,-0.115392,0.000000,1268
0.4177,82,1.8000,25.3394,0.3118,90.00,85.51,175.51,88.2000,0.0000,0.550000,0.784000,0.001470,-0.140775,0.000000,1268
0.4228,83,1.9800,28.5376,0.3118,90.00,85.51,175.51,88.0200,0.0000,0.550000,0.782400,0.001467,-0.158542,0.000000,1268
0.4279,84,2.1600,30.7763,0.3118,90.00,85.51,175.51,87.8400,0.0000,0.550000,0.780800,0.001464,-0.170980,0.000000,1268
0.4330,85,2.3400,32.3434,0.3118,90.00,85.51,175.51,87.6600,0.0000,0.550000,0.779200,0.001461,-0.179686,0.000000,1268
0.4381,86,2.5200,33.4404,0.1313,90.00,85.51,175.51,87.4800,0.0000,0.550000,0.777600,0.001458,-0.185780,0.000000,1268
0.4432,87,2.7000,34.2083,0.1313,90.00,85.51,175.51,87.3000,0.0000,0.550000,0.776000,0.001455,-0.190046,0.000000,1268
0.4483,88,2.8800,34.7458,0.1313,90.00,85.51,175.51,87.1200,0.0000,0.550000,0.774400,0.001452,-0.193032,0.000000,1268
0.4534,89,3.0600,35.1221,0.1313,90.00,85.51,175.51,86.9400,0.0000,0.550000,0.772800,0.001449,-0.195123,0.000000,1268
0.4585,90,3.4200,46.1854,0.1313,90.00,85.51,175.51,86.5800,0.4329,0.514457,0.769600,0.001443,-0.256586,0.000000,1282
0.4636,91,3.6000,43.1298,0.1313,90.00,85.51,175.51,86.4000,0.8649,0.531273,0.768000,0.002883,-0.239610,0.000000,1275
0.4686,92,3.7800,40.9909,0.1313,90.00,85.51,175.51,86.2200,1.2960,0.542993,0.766400,0.004320,-0.227727,0.000000,1271
0.4737,93,3.9600,39.4936,0.1313,90.00,85.51,175.51,86.0400,1.2960,0.550000,0.764800,0.005754,-0.219409,0.000000,1268
0.4788,94,4.3200,49.2455,0.1313,90.00,85.51,175.51,85.6800,1.7244,0.493762,0.761600,0.005748,-0.273586,0.000000,1288
0.4839,95,4.5000,45.2719,0.1313,90.00,85.51,175.51,85.5000,2.1519,0.515663,0.760000,0.007173,-0.251510,0.000000,1281
0.4890,96,4.6800,42.4903,-0.0656,90.00,85.51,175.51,85.3200,2.5785,0.530938,0.758400,0.008595,-0.236057,0.000000,1275
0.4941,97,5.0400,51.3432,-0.0656,90.00,85.51,175.51,84.9600,3.0033,0.479971,0.755200,0.010011,-0.285240,0.000000,1295
0.4992,98,5.2200,46.7403,-0.0656,90.00,85.51,175.51,84.7800,3.4272,0.505356,0.753600,0.011424,-0.259668,0.000000,1285
0.5043,99,5.5800,54.3182,-0.0656,90.00,85.51,175.51,84.4200,3.8493,0.461463,0.750400,0.012831,-0.301768,0.000000,1301
0.5094,100,5.7600,48.8227,-0.0656,90.00,85.51,175.51,84.2400,4.2705,0.491798,0.748800,0.014235,-0.271237,0.000000,1290
0.5145,101,6.1200,55.7759,-0.0656,90.00,85.51,175.51,83.8800,4.6899,0.451367,0.745600,0.015633,-0.309866,0.000000,1305
0.5196,102,6.4800,60.6431,-0.0656,90.00,85.51,175.51,83.5200,5.1075,0.422519,0.742400,0.017025,-0.336906,0.000000,1316
0.5247,103,6.6600,53.2502,-0.0656,90.00,85.51,175.51,83.3400,5.5242,0.463380,0.740800,0.018414,-0.295834,0.000000,1301
0.5298,104,7.0200,58.8751,-0.0656,90.00,85.51,175.51,82.9800,5.9391,0.430313,0.737600,0.019797,-0.327084,0.000000,1313
0.5349,105,7.3800,62.8126,-0.0656,90.00,85.51,175.51,82.6200,6.3522,0.406615,0.734400,0.021174,-0.348959,0.000000,1322
0.5400,106,7.7400,65.5688,-0.0614,90.00,85.51,175.51,82.2600,6.7635,0.389474,0.731200,0.022545,-0.364271,0.000000,1328
0.5451,107,7.9200,56.6982,-0.0614,90.00,85.51,175.51,82.0800,7.1739,0.438523,0.729600,0.023913,-0.314990,0.000000,1310
0.5502,108,8.2800,61.2887,-0.0614,90.00,85.51,175.51,81.7200,7.5825,0.411182,0.726400,0.025275,-0.340493,0.000000,1320
0.5553,109,8.6400,64.5021,-0.0614,90.00,85.51,175.51,81.3600,7.9893,0.391486,0.723200,0.026631,-0.358345,0.000000,1328
0.5603,110,9.0000,66.7515,-0.0614,90.00,85.51,175.51,81.0000,8.3943,0.377139,0.720000,0.027981,-0.370842,0.000000,1333
0.5654,111,9.3600,68.3260,-0.0614,90.00,85.51,175.51,80.6400,8.7975,0.366536,0.716800,0.029325,-0.379589,0.000000,1337
0.5705,112,9.5400,58.6282,-0.0614,90.00,85.51,175.51,80.4600,9.1998,0.420154,0.715200,0.030666,-0.325712,0.000000,1317
0.5756,113,9.9000,62.6398,-0.0614,90.00,85.51,175.51,80.1000,9.6003,0.396002,0.712000,0.032001,-0.347999,0.000000,1326
0.5808,114,10.2600,65.4478,-0.0614,90.00,85.51,175.51,79.7400,9.9990,0.378531,0.708800,0.033330,-0.363599,0.000000,1333
0.5859,115,10.8000,78.2135,-0.0614,90.00,85.51,175.51,79.2000,10.3950,0.304131,0.704000,0.034650,-0.434519,0.000000,1353
0.5910,116,11.1600,76.3494,-0.2005,90.00,85.51,175.51,78.8400,10.7892,0.312600,0.700800,0.035964,-0.424164,0.000000,1357
0.5960,117,11.3400,64.2446,-0.2005,90.00,85.51,175.51,78.6600,11.1825,0.379561,0.699200,0.037275,-0.356914,0.000000,1337
0.6011,118,11.8800,77.3712,-0.2005,90.00,85.51,175.51,78.1200,11.5731,0.303137,0.694400,0.038577,-0.429840,0.000000,1357
0.6062,119,12.2400,75.7599,-0.2005,90.00,85.51,175.51,77.7600,11.9619,0.310185,0.691200,0.039873,-0.420888,0.000000,1358
0.6113,120,12.6000,74.6319,-0.2005,90.00,85.51,175.51,77.4000,12.3489,0.314541,0.688000,0.041163,-0.414622,0.000000,1357
0.6164,121,12.9600,73.8423,-0.2005,90.00,85.51,175.51,77.0400,12.7341,0.317012,0.684800,0.042447,-0.410235,0.000000,1356
0.6215,122,13.3200,73.2896,-0.2005,90.00,85.51,175.51,76.6800,13.1175,0.318160,0.681600,0.043725,-0.407165,0.000000,1355
0.6266,123,13.6800,72.9027,-0.2005,90.00,85.51,175.51,76.3200,13.4991,0.318382,0.678400,0.044997,-0.405015,0.000000,1355
0.6317,124,14.2200,83.4319,-0.2005,90.00,85.51,175.51,75.7800,13.8780,0.256349,0.673600,0.046260,-0.463511,0.000000,1375
0.6368,125,14.5800,80.0023,-0.2005,90.00,85.51,175.51,75.4200,14.2551,0.273460,0.670400,0.047517,-0.444457,0.000000,1372
0.6419,126,14.9400,77.6016,-0.1863,90.00,85.51,175.51,75.0600,14.6304,0.284848,0.667200,0.048768,-0.431120,0.000000,1368
0.6469,127,15.3000,75.9211,-0.1863,90.00,85.51,175.51,74.7000,15.0039,0.292229,0.664000,0.050013,-0.421784,0.000000,1365
0.6520,128,15.8400,85.5448,-0.1863,90.00,85.51,175.51,74.1600,15.3747,0.235200,0.659200,0.051249,-0.475249,0.000000,1385
