t_s,iteration,dt_ms,encoder_ms,imu_ms,gyro_ms,pid_ms,pwm_convert_ms,pwm_send_ms,logging_ms,compute_total_ms,sleep_margin_ms,overrun,imu_reports,imu_value_changed,angle_enc_deg,psi_dot_enc_dps,imu_pitch_deg,imu_yaw_deg,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s,u_norm,pwm_us
0.005003581999517337,1,5.003581999517337,0.03122199996141717,9.105606000048283,0.0,0.01966600029845722,0.007685000127821695,0.1730900003167335,nan,9.400472000379523,nan,0,17,1,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.014545922000252176,2,9.54234000073484,0.012739999874611385,0.6280260004132288,0.0,0.00983300014922861,0.005148000127519481,0.07581299996672897,nan,0.7524689999627299,nan,0,0,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.015378926000266802,3,0.8330040000146255,0.004055000317748636,0.21594100053334842,0.0,0.006370000846800394,0.003666000338853337,0.06264700004976476,nan,0.30403199980355566,nan,0,0,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.02000079299978097,4,4.621866999514168,0.004795999302587006,1.789377000022796,0.0,0.005554999916057568,0.0034630002119229175,0.06685100015602075,nan,1.8828570000550826,nan,0,1,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.02500185699955182,5,5.0010639997708495,0.018073000319418497,1.6643239996483317,0.0,0.012036999578413088,0.006795999979658518,0.13260899959277594,nan,1.8670800000109011,nan,0,1,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.030000662000020384,6,4.998805000468565,0.006647999725828413,1.7837300001701806,0.0,0.0062219996834755875,0.0037039999369881116,0.0779430001784931,nan,1.8936529995698947,nan,0,1,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.03500078100023529,7,5.000119000214909,0.0053700005082646385,1.657435000197438,0.0,0.0056110002333298326,0.003741000000445638,0.06768399998691166,nan,1.7536369996378198,nan,0,1,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.040000789999794506,8,5.000008999559213,0.004202999662084039,1.852264999797626,0.0,0.005203000000619795,0.00353700033883797,0.0625730008323444,nan,1.9406709998293081,nan,0,1,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.04500057600034779,9,4.999786000553286,0.004889000592811499,1.6007320000426262,0.0,0.005519000296771992,0.003555000148480758,0.06535100055771181,nan,1.6933599999902071,nan,0,1,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.050000788000033936,10,5.000211999686144,0.00505600019096164,1.7590630004633567,0.0,0.005574000169872306,0.0033149999580928124,0.06633200064243283,nan,1.8521539996072534,nan,0,1,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.055000629999995,11,4.999841999961063,0.00448099945060676,1.7064900002878858,0.0,0.005536999196920078,0.0034630002119229175,0.0633509998806403,nan,1.7957469999601017,nan,0,1,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.06000071200014645,12,5.000082000151451,0.005333000444807112,1.6206949994739261,0.0,0.006000000212225132,0.003685000592668075,0.06386899985955097,nan,1.713229999950272,nan,0,1,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.0650007389995153,13,5.000026999368856,0.004426000487001147,1.7603219994271058,0.0,0.005926000085310079,0.003629999810073059,0.0790170006439439,nan,1.8664500003069406,nan,0,1,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.07000082099966676,14,5.000082000151451,0.004944000465911813,1.7812850001064362,0.0,0.009314999260823242,0.004851999619859271,0.11233199984417297,nan,1.9317090000186,nan,0,1,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.07500199700007215,15,5.001176000405394,0.018462000298313797,1.6966940002021147,0.0,0.011887999789905734,0.006907000170031097,0.17527499949210323,nan,1.9429109997872729,nan,0,1,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.08000169000024471,16,4.999693000172556,0.014758999896002933,1.522197000667802,0.0,0.011148000339744613,0.006018999556545168,0.1358680001430912,nan,1.7185079996124841,nan,0,1,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.08500188400012121,17,5.000193999876501,0.022500000341096893,2.0206689996484783,0.0,0.011684999662975315,0.006481000127678271,0.13510799999494338,nan,2.2312209994197474,nan,0,1,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
0.09000168799957464,18,4.999803999453434,0.013963000128569547,2.018040000621113,0.0,0.0136480002765893,0.009499999578110874,0.1797559998522047,nan,2.269388000058825,nan,0,1,0,-0.0,0.0,87.74440720266185,173.7106483840241,nan,nan,nan,0.95,1500
