t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0303,-0.0000,0.0014,0.2238,45.00,44.9697,0.600000,1.748821,-0.002984,1.343503,1250,16.8454
0.0201,2,0.0303,-0.0000,0.0014,0.2238,45.00,44.9697,0.600000,1.748821,-0.002984,1.343503,1250,16.8454
0.0402,3,0.0290,-0.0000,0.0000,0.1119,45.00,44.9710,0.600000,1.748871,-0.001492,1.343503,1250,16.8467
0.0602,4,0.0290,-0.0000,0.0000,0.1119,45.00,44.9710,0.600000,1.748871,-0.001492,1.343503,1250,16.8467
0.0803,5,0.0290,-0.0000,0.0000,0.3357,45.00,44.9710,0.600000,1.748871,-0.004476,1.343503,1250,16.8467
0.1004,6,0.0290,-0.0000,0.0000,0.3357,45.00,44.9710,0.600000,1.748871,-0.004476,1.343503,1250,16.8467
0.1205,7,0.0290,-0.0000,0.0000,0.3357,45.00,44.9710,0.600000,1.748871,-0.004476,1.343503,1250,16.8467
0.1406,8,0.0335,-0.0000,-0.0015,-0.0000,45.00,44.9665,0.600000,1.748699,0.000000,1.343503,1250,16.8423
0.1606,9,0.0335,-0.0000,-0.0015,-0.0000,45.00,44.9665,0.600000,1.748699,0.000000,1.343503,1250,16.8423
0.1807,10,0.0392,-0.0000,-0.0017,-0.0000,45.00,44.9608,0.600000,1.748476,0.000000,1.343503,1250,16.8366
0.2008,11,0.0392,-0.0000,-0.0017,-0.0000,45.00,44.9608,0.600000,1.748476,0.000000,1.343503,1250,16.8366
0.2209,12,0.0392,-0.0000,-0.0017,-0.0000,45.00,44.9608,0.600000,1.748476,0.000000,1.343503,1250,16.8366
0.2410,13,0.0392,-0.0000,-0.0017,-0.0000,45.00,44.9608,0.600000,1.748476,0.000000,1.343503,1250,16.8366
0.2610,14,0.0392,-0.0000,-0.0017,-0.0000,45.00,44.9608,0.600000,1.748476,0.000000,1.343503,1250,16.8366
0.2811,15,0.0392,-0.0000,-0.0017,-0.0000,45.00,44.9608,0.600000,1.748476,0.000000,1.343503,1250,16.8366
0.3013,16,0.0392,-0.0000,-0.0017,-0.0000,45.00,44.9608,0.600000,1.748476,0.000000,1.343503,1250,16.8366
0.3214,17,0.0392,-0.0000,-0.0033,-0.0000,45.00,44.9608,0.600000,1.748476,0.000000,1.343503,1250,16.8315
0.3414,18,0.0442,-0.0000,-0.0033,-0.0000,45.00,44.9558,0.600000,1.748281,0.000000,1.343503,1250,16.8315
0.3615,19,0.0442,-0.0000,-0.0033,-0.0000,45.00,44.9558,0.600000,1.748281,0.000000,1.343503,1250,16.8315
0.3816,20,0.0442,-0.0000,-0.0033,-0.0000,45.00,44.9558,0.600000,1.748281,0.000000,1.343503,1250,16.8315
0.4017,21,0.0442,-0.0000,-0.0033,-0.0000,45.00,44.9558,0.600000,1.748281,0.000000,1.343503,1250,16.8315
0.4218,22,0.0442,-0.0000,-0.0033,-0.0000,45.00,44.9558,0.600000,1.748281,0.000000,1.343503,1250,16.8315
0.4419,23,0.0442,-0.0000,-0.0033,-0.0000,45.00,44.9558,0.600000,1.748281,0.000000,1.343503,1250,16.8315
0.4620,24,0.0442,-0.0000,-0.0033,-0.0000,45.00,44.9558,0.600000,1.748281,0.000000,1.343503,1250,16.8315
0.4820,25,0.0442,-0.0000,-0.0033,-0.0000,45.00,44.9558,0.600000,1.748281,0.000000,1.343503,1250,16.8315
0.5021,26,0.0442,-0.0000,-0.0033,-0.0000,45.00,44.9558,0.600000,1.748281,0.000000,1.343503,1250,16.8315
0.5222,27,0.0442,-0.0000,-0.0033,-0.0000,45.00,44.9558,0.600000,1.748281,0.000000,1.343503,1250,16.8315
0.5423,28,0.0442,-0.0000,-0.0033,-0.0000,45.00,44.9558,0.600000,1.748281,0.000000,1.343503,1250,16.8315
0.5624,29,0.0442,-0.0000,-0.0033,-0.0000,45.00,44.9558,0.600000,1.748281,0.000000,1.343503,1250,16.8315
0.5825,30,0.0442,-0.0000,-0.0033,-0.0000,45.00,44.9558,0.600000,1.748281,0.000000,1.343503,1250,16.8315
0.6026,31,0.0442,-0.0000,-0.0033,-0.0000,45.00,44.9558,0.600000,1.748281,0.000000,1.343503,1250,16.8315
