t_s,iteration,sensor_mode,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.1574,32,enc,-0.0000,0.0000,-0.0000,-0.0633,-0.0837,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1625,33,enc,-0.0000,0.0000,-0.0000,-0.0633,-0.0837,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1676,34,enc,-0.0000,0.0000,-0.0000,-0.0633,-0.0837,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1727,35,enc,-0.0000,0.0000,-0.0000,-0.0633,-0.0837,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1777,36,enc,-0.0000,0.0000,-0.0000,-0.0633,-0.0837,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1828,37,enc,-0.0000,0.0000,-0.0000,-0.0633,-0.0837,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1879,38,enc,-0.0000,0.0000,-0.0000,-0.0371,-0.0075,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1930,39,enc,-0.0000,0.0000,-0.0000,-0.0371,-0.0075,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1980,40,enc,-0.0000,0.0000,-0.0000,-0.0371,-0.0075,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2031,41,enc,-0.0000,0.0000,-0.0000,-0.0371,-0.0075,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2082,42,enc,-0.0000,0.0000,-0.0000,-0.0371,-0.0075,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2133,43,enc,-0.0000,0.0000,-0.0000,-0.0371,-0.0075,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2184,44,enc,-0.0000,0.0000,-0.0000,-0.0371,-0.0075,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2235,45,enc,-0.0000,0.0000,-0.0000,-0.0371,-0.0075,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
