t_s,iteration,sensor_mode,new_data,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,enc,1,-0.0000,0.0000,-0.0000,-0.0056,-0.0123,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1480
0.0108,2,enc,0,-0.0000,0.0000,-0.0000,-0.0056,-0.0123,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1460
0.0159,3,enc,0,-0.0000,0.0000,-0.0000,-0.0056,-0.0123,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1440
0.0210,4,enc,1,-0.0000,0.0000,-0.0000,0.0052,-0.0311,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1420
0.0261,5,enc,0,-0.0000,0.0000,-0.0000,0.0052,-0.0311,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1400
0.0312,6,enc,0,-0.0000,0.0000,-0.0000,0.0052,-0.0311,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1380
0.0363,7,enc,0,-0.0000,0.0000,-0.0000,0.0052,-0.0311,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1360
0.0414,8,enc,0,-0.0000,0.0000,-0.0000,0.0052,-0.0311,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1340
0.0465,9,enc,0,-0.0000,0.0000,-0.0000,0.0052,-0.0311,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1320
0.0516,10,enc,0,-0.0000,0.0000,-0.0000,0.0052,-0.0311,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1300
0.0567,11,enc,1,-0.0000,0.0000,-0.0000,0.0376,-0.0249,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1280
0.0618,12,enc,1,-0.0000,0.0000,-0.0000,0.03,-0.0634,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1260
0.0668,13,enc,0,-0.0000,0.0000,-0.0000,0.03,-0.0634,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1250
0.0719,14,enc,0,-0.0000,0.0000,-0.0000,0.03,-0.0634,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1250
0.0770,15,enc,0,-0.0000,0.0000,-0.0000,0.03,-0.0634,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1250
0.0821,16,enc,0,-0.0000,0.0000,-0.0000,0.03,-0.0634,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1250
0.0872,17,enc,0,-0.0000,0.0000,-0.0000,0.03,-0.0634,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1250
0.0923,18,enc,0,-0.0000,0.0000,-0.0000,0.03,-0.0634,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1250
0.0973,19,enc,0,-0.0000,0.0000,-0.0000,0.03,-0.0634,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1250
0.1024,20,enc,1,-0.0000,0.0000,-0.0000,0.0407,-0.0822,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1250
0.1075,21,enc,0,-0.0000,0.0000,-0.0000,0.0407,-0.0822,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195605,1250
