t_s,phase,step_idx,pwm_target,pwm_actual,psi_imu_deg,psi_enc_deg,psi_dot_dps,pitch_raw_deg,rest_angle_deg
0.0037,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.0210,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.0438,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.0612,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.0813,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.1036,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.1215,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.1440,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.1616,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.1838,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.2067,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.2227,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.2477,repos,0,1500,1500,-0.0034,-0.0000,-0.0000,10.2526,79.75
0.2639,repos,0,1500,1500,-0.0034,-0.0000,-0.0000,10.2526,79.75
0.2867,repos,0,1500,1500,-0.0034,-0.0000,-0.0000,10.2526,79.75
0.3080,repos,0,1500,1500,-0.0034,-0.0000,-0.0000,10.2526,79.75
0.3247,repos,0,1500,1500,-0.0034,-0.0000,-0.0000,10.2526,79.75
0.3504,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.3649,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.3876,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.4088,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.4250,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.4505,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.4658,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.4883,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.5093,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.5262,repos,0,1500,1500,0.0036,-0.0000,-0.0000,10.2455,79.75
0.5510,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.5663,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.5875,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.6098,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.6268,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.6502,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.6670,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.6898,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.7098,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.7273,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.7514,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.7677,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.7897,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.8100,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.8278,repos,0,1500,1500,0.0107,-0.0000,-0.0000,10.2384,79.75
0.8517,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
0.8680,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
0.8903,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
0.9102,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
0.9283,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
0.9513,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
0.9680,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
0.9901,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.0101,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.0288,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.0521,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.0697,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.0899,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.1106,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.1290,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.1530,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.1698,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.1913,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.2114,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.2308,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.2531,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.2701,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.2987,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.3107,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.3297,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.3523,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.3700,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2314,79.75
1.3916,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2313,79.75
1.4122,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2313,79.75
1.4304,repos,0,1500,1500,0.0178,-0.0000,-0.0000,10.2313,79.75
1.4530,repos,0,1500,1500,0.0178,-0.0000,0.2238,10.2313,79.75
1.4705,repos,0,1500,1500,0.0178,-0.0000,0.2238,10.2313,79.75
1.4934,repos,0,1500,1500,0.0249,-0.0000,0.1119,10.2243,79.75
1.5106,repos,0,1500,1500,0.0249,-0.0000,0.1119,10.2243,79.75
1.5309,repos,0,1500,1500,0.0249,-0.0000,0.1119,10.2243,79.75
1.5530,repos,0,1500,1500,0.0248,-0.0000,-0.1119,10.2243,79.75
1.5712,repos,0,1500,1500,0.0248,-0.0000,-0.1119,10.2243,79.75
1.5939,repos,0,1500,1500,0.0242,-0.0000,0.1119,10.2249,79.75
1.6112,repos,0,1500,1500,0.0242,-0.0000,0.1119,10.2249,79.75
1.6312,repos,0,1500,1500,0.0242,-0.0000,0.1119,10.2249,79.75
