t_s,angle_deg
0.0000,87.1200
0.0051,87.1200
0.0102,87.1200
0.0152,87.1200
0.0203,87.1200
0.0253,87.1200
0.0304,87.1200
0.0355,87.1200
0.0405,87.1200
0.0456,87.1200
0.0506,87.1200
0.0557,87.1200
0.0608,87.1200
0.0658,87.1200
0.0709,87.1200
0.0759,87.1200
0.0810,87.1200
0.0860,87.1200
0.0911,87.1200
0.0962,87.1200
0.1012,87.1200
0.1063,87.1200
0.1114,87.1200
0.1164,87.1200
0.1215,87.3000
0.1266,87.3000
0.1316,87.3000
0.1367,87.3000
0.1418,87.3000
0.1468,87.3000
0.1519,87.3000
0.1570,87.3000
0.1620,87.3000
0.1671,87.3000
0.1721,87.3000
0.1772,87.3000
0.1822,87.3000
0.1873,87.3000
0.1924,87.3000
0.1974,87.4800
0.2025,87.4800
0.2076,87.4800
0.2126,87.4800
0.2177,87.4800
0.2227,87.4800
0.2278,87.4800
0.2329,87.4800
0.2379,87.4800
0.2430,87.4800
0.2481,87.4800
0.2531,87.4800
0.2582,87.4800
0.2633,87.6600
0.2683,87.6600
0.2734,87.6600
0.2785,87.6600
0.2835,87.6600
0.2886,87.6600
0.2936,87.6600
0.2987,87.6600
0.3038,87.6600
0.3088,87.6600
0.3139,87.4800
0.3189,87.4800
0.3240,87.4800
0.3291,87.4800
0.3341,87.4800
0.3392,87.4800
0.3442,87.4800
0.3493,87.4800
0.3544,87.4800
0.3594,87.3000
0.3645,87.3000
0.3695,87.3000
0.3746,87.3000
0.3797,87.3000
0.3847,87.1200
0.3898,87.1200
0.3948,87.1200
0.3999,87.1200
0.4050,87.1200
0.4100,86.9400
0.4151,86.9400
0.4202,86.9400
0.4252,86.9400
0.4303,86.7600
0.4354,86.7600
0.4404,86.7600
0.4455,86.5800
0.4506,86.5800
0.4556,86.5800
0.4607,86.4000
0.4657,86.4000
0.4708,86.4000
0.4759,86.2200
0.4810,86.2200
0.4860,86.2200
0.4911,86.0400
0.4961,86.0400
0.5012,85.8600
0.5063,85.8600
0.5113,85.8600
0.5164,85.6800
0.5214,85.6800
0.5265,85.5000
0.5316,85.5000
0.5366,85.5000
0.5417,85.3200
0.5467,85.3200
0.5518,85.1400
0.5569,85.1400
0.5619,84.9600
0.5670,84.9600
0.5721,84.7800
0.5771,84.7800
0.5822,84.6000
0.5872,84.6000
