t_s,iteration,sensor_mode,new_data,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,enc,1,-0.0000,0.0000,-0.0000,0.0348,0.1412,20.00,82.02,20.0000,0.1000,0.752281,0.555556,0.001111,-0.000000,0.195614,1480
0.0073,2,enc,1,-0.0000,0.0000,-0.0000,0.0024,0.1349,20.00,82.02,20.0000,0.2000,0.753392,0.555556,0.002222,-0.000000,0.195614,1460
0.0125,3,enc,0,-0.0000,0.0000,-0.0000,0.0024,0.1349,20.00,82.02,20.0000,0.3000,0.754503,0.555556,0.003333,-0.000000,0.195614,1440
0.0176,4,enc,1,-0.0000,0.0000,-0.0000,0.0348,0.1412,20.00,82.02,20.0000,0.4000,0.755614,0.555556,0.004444,-0.000000,0.195614,1420
0.0227,5,enc,0,-0.0000,0.0000,-0.0000,0.0348,0.1412,20.00,82.02,20.0000,0.5000,0.756725,0.555556,0.005556,-0.000000,0.195614,1400
0.0277,6,enc,0,-0.0000,0.0000,-0.0000,0.0348,0.1412,20.00,82.02,20.0000,0.6000,0.757836,0.555556,0.006667,-0.000000,0.195614,1380
0.0328,7,enc,0,-0.0000,0.0000,-0.0000,0.0348,0.1412,20.00,82.02,20.0000,0.7000,0.758947,0.555556,0.007778,-0.000000,0.195614,1360
0.0379,8,enc,0,-0.0000,0.0000,-0.0000,0.0348,0.1412,20.00,82.02,20.0000,0.8000,0.760058,0.555556,0.008889,-0.000000,0.195614,1340
0.0430,9,enc,0,-0.0000,0.0000,-0.0000,0.0348,0.1412,20.00,82.02,20.0000,0.9000,0.761170,0.555556,0.010000,-0.000000,0.195614,1320
0.0480,10,enc,0,-0.0000,0.0000,-0.0000,0.0348,0.1412,20.00,82.02,20.0000,1.0000,0.762281,0.555556,0.011111,-0.000000,0.195614,1300
0.0531,11,enc,0,-0.0000,0.0000,-0.0000,0.0348,0.1412,20.00,82.02,20.0000,1.1000,0.763392,0.555556,0.012222,-0.000000,0.195614,1280
0.0582,12,enc,0,-0.0000,0.0000,-0.0000,0.0348,0.1412,20.00,82.02,20.0000,1.2000,0.764503,0.555556,0.013333,-0.000000,0.195614,1260
