t_s,angle_deg
0.0000,85.8600
0.0051,85.8600
0.0102,85.8600
0.0152,85.8600
0.0203,85.8600
0.0254,85.8600
0.0304,85.8600
0.0355,85.8600
0.0405,85.8600
0.0456,85.8600
0.0507,85.8600
0.0557,85.8600
0.0608,85.8600
0.0659,85.8600
0.0709,85.8600
0.0760,85.8600
0.0810,85.8600
0.0861,85.8600
0.0912,85.8600
0.0963,85.8600
0.1013,85.8600
0.1064,85.8600
0.1114,85.8600
0.1165,85.6800
0.1216,85.6800
0.1266,85.6800
0.1317,85.6800
0.1367,85.6800
0.1418,85.6800
0.1469,85.6800
0.1519,85.6800
0.1570,85.6800
0.1621,85.5000
0.1671,85.5000
0.1722,85.5000
0.1772,85.5000
0.1823,85.5000
0.1874,85.3200
0.1924,85.3200
0.1975,85.3200
0.2026,85.3200
0.2076,85.3200
0.2127,85.1400
0.2178,85.1400
0.2228,85.1400
0.2279,85.1400
0.2329,84.9600
0.2380,84.9600
0.2431,84.9600
0.2481,84.9600
0.2532,84.7800
0.2583,84.7800
0.2633,84.7800
0.2684,84.6000
0.2734,84.6000
0.2785,84.6000
0.2836,84.4200
0.2886,84.4200
0.2937,84.4200
0.2988,84.2400
0.3038,84.2400
0.3089,84.0600
0.3139,84.0600
0.3190,84.0600
0.3240,83.8800
0.3291,83.8800
0.3342,83.7000
0.3392,83.7000
0.3443,83.7000
0.3493,83.5200
0.3544,83.5200
0.3594,83.3400
0.3645,83.3400
0.3696,83.1600
0.3746,83.1600
0.3797,82.9800
0.3847,82.9800
0.3898,82.8000
0.3949,82.8000
0.3999,82.6200
0.4050,82.6200
0.4101,82.4400
0.4151,82.4400
0.4202,82.2600
0.4253,82.2600
0.4303,82.0800
0.4354,82.0800
0.4405,81.9000
0.4455,81.7200
0.4506,81.7200
0.4556,81.5400
0.4607,81.5400
0.4658,81.3600
0.4708,81.1800
0.4759,81.1800
0.4809,81.0000
0.4860,81.0000
0.4911,80.8200
0.4961,80.6400
0.5012,80.6400
0.5063,80.4600
0.5113,80.2800
0.5164,80.2800
0.5214,80.1000
0.5265,79.9200
0.5316,79.7400
0.5366,79.7400
0.5417,79.5600
0.5467,79.3800
0.5518,79.3800
0.5569,79.2000
0.5619,79.0200
0.5670,78.8400
0.5720,78.8400
0.5771,78.6600
0.5821,78.4800
0.5872,78.3000
0.5923,78.3000
0.5973,78.1200
0.6024,77.9400
0.6074,77.7600
0.6125,77.5800
0.6176,77.4000
0.6226,77.4000
0.6277,77.2200
0.6328,77.0400
0.6378,76.8600
0.6429,76.6800
0.6479,76.6800
0.6530,76.5000
0.6581,76.3200
0.6631,76.1400
0.6682,75.9600
0.6732,75.7800
0.6783,75.6000
0.6834,75.4200
0.6884,75.2400
0.6935,75.2400
0.6985,75.0600
0.7036,74.8800
0.7087,74.7000
0.7137,74.5200
0.7188,74.3400
0.7239,74.1600
0.7289,73.9800
0.7340,73.8000
0.7390,73.6200
0.7441,73.4400
0.7492,73.2600
0.7542,73.0800
0.7593,72.9000
0.7643,72.7200
0.7694,72.5400
0.7745,72.3600
0.7795,72.1800
0.7846,72.0000
0.7896,71.8200
0.7947,71.6400
0.7998,71.4600
0.8048,71.2800
0.8099,71.1000
0.8150,70.9200
0.8201,70.5600
0.8251,70.3800
0.8302,70.2000
0.8352,70.0200
0.8403,69.8400
0.8454,69.6600
0.8504,69.4800
0.8555,69.3000
0.8606,69.1200
0.8656,68.7600
0.8707,68.5800
0.8757,68.4000
0.8808,68.2200
0.8859,68.0400
0.8910,67.8600
0.8960,67.6800
0.9011,67.3200
0.9062,67.1400
0.9112,66.9600
0.9163,66.7800
0.9213,66.6000
0.9264,66.2400
0.9315,66.0600
0.9365,65.8800
0.9416,65.7000
0.9466,65.3400
0.9517,65.1600
0.9568,64.9800
0.9618,64.8000
0.9669,64.4400
0.9720,64.2600
0.9770,64.0800
0.9821,63.9000
0.9871,63.5400
0.9922,63.3600
0.9972,63.1800
1.0023,62.8200
1.0074,62.6400
1.0124,62.4600
1.0175,62.2800
1.0226,61.9200
1.0276,61.7400
1.0327,61.5600
1.0378,61.2000
1.0428,61.0200
1.0479,60.6600
1.0529,60.4800
1.0580,60.3000
1.0631,59.9400
