t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0091,-0.0000,0.0124,-0.0000,-20.00,80.53,60.53,-20.0091,-0.4002,-0.135928,-0.222323,-0.000667,0.000000,0.087063,1550,9.4591
0.0201,2,0.0091,-0.0000,0.0124,-0.0000,-20.00,80.53,60.53,-20.0091,-0.8004,-0.136595,-0.222323,-0.001334,0.000000,0.087063,1576,9.4591
0.0402,3,0.0091,-0.0000,0.0124,-0.0000,-20.00,80.53,60.53,-20.0091,-1.2005,-0.137262,-0.222323,-0.002001,0.000000,0.087063,1576,9.4591
0.0603,4,0.0091,-0.0000,0.0124,-0.0000,-20.00,80.53,60.53,-20.0091,-1.6007,-0.137929,-0.222323,-0.002668,0.000000,0.087063,1576,9.4591
0.0803,5,0.0091,-0.0000,0.0124,-0.0000,-20.00,80.53,60.53,-20.0091,-2.0009,-0.138596,-0.222323,-0.003335,0.000000,0.087063,1576,9.4591
0.1004,6,0.0091,-0.0000,0.0124,-0.0000,-20.00,80.53,60.53,-20.0091,-2.4011,-0.139262,-0.222323,-0.004002,0.000000,0.087063,1577,9.4591
0.1205,7,0.0091,-0.0000,0.0124,-0.0000,-20.00,80.53,60.53,-20.0091,-2.8013,-0.139929,-0.222323,-0.004669,0.000000,0.087063,1577,9.4591
0.1406,8,0.0020,-0.0000,0.0125,-0.0000,-20.00,80.53,60.53,-20.0020,-3.2013,-0.140518,-0.222245,-0.005336,0.000000,0.087063,1577,9.4662
0.1607,9,0.0020,-0.0000,0.0125,-0.0000,-20.00,80.53,60.53,-20.0020,-3.6014,-0.141184,-0.222245,-0.006002,0.000000,0.087063,1577,9.4662
0.1808,10,0.0020,-0.0000,0.0125,-0.0000,-20.00,80.53,60.53,-20.0020,-4.0014,-0.141851,-0.222245,-0.006669,0.000000,0.087063,1578,9.4662
0.2009,11,0.0021,-0.0000,0.013,-0.0000,-20.00,80.53,60.53,-20.0021,-4.4014,-0.142518,-0.222245,-0.007336,0.000000,0.087063,1578,9.4662
0.2209,12,0.0021,-0.1800,0.013,-0.0000,-20.00,80.53,60.53,-20.0021,-4.8015,-0.143185,-0.222245,-0.008002,0.000000,0.087063,1578,9.4662
0.2410,13,0.0021,-0.1800,0.013,-0.0000,-20.00,80.53,60.53,-20.0021,-5.2015,-0.143851,-0.222245,-0.008669,0.000000,0.087063,1578,9.4662
0.2611,14,0.0021,-0.1800,0.013,-0.0000,-20.00,80.53,60.53,-20.0021,-5.6016,-0.144518,-0.222245,-0.009336,0.000000,0.087063,1579,9.4662
0.2812,15,0.0021,-0.1800,0.013,-0.0000,-20.00,80.53,60.53,-20.0021,-6.0016,-0.145185,-0.222245,-0.010003,0.000000,0.087063,1579,9.4662
