t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0258,-0.0000,0.0108,-0.0000,-20.00,70.34,50.34,-19.9742,-0.3995,-0.444759,-0.443871,-0.000888,0.000000,0.000000,1691,19.6891
0.0201,2,-0.0258,-0.0000,0.0108,-0.0000,-20.00,70.34,50.34,-19.9742,-0.7990,-0.445647,-0.443871,-0.001775,0.000000,0.000000,1692,19.6891
0.0402,3,-0.0258,-0.0000,0.0108,-0.0000,-20.00,70.34,50.34,-19.9742,-1.1985,-0.446534,-0.443871,-0.002663,0.000000,0.000000,1692,19.6891
0.0603,4,-0.0258,-0.0000,0.0108,-0.0000,-20.00,70.34,50.34,-19.9742,-1.5979,-0.447422,-0.443871,-0.003551,0.000000,0.000000,1692,19.6891
0.0804,5,-0.0258,-0.0000,0.0108,-0.0000,-20.00,70.34,50.34,-19.9742,-1.9974,-0.448310,-0.443871,-0.004439,0.000000,0.000000,1693,19.6891
0.1005,6,-0.0258,-0.0000,0.0108,-0.0000,-20.00,70.34,50.34,-19.9742,-2.3969,-0.449198,-0.443871,-0.005326,0.000000,0.000000,1693,19.6891
0.1206,7,-0.0258,-0.0000,0.0108,-0.0000,-20.00,70.34,50.34,-19.9742,-2.7964,-0.450085,-0.443871,-0.006214,0.000000,0.000000,1693,19.6891
0.1407,8,-0.0258,-0.0000,0.0108,-0.0000,-20.00,70.34,50.34,-19.9742,-3.1959,-0.450973,-0.443871,-0.007102,0.000000,0.000000,1694,19.6891
0.1608,9,-0.0258,-0.0000,0.0108,-0.0000,-20.00,70.34,50.34,-19.9742,-3.5954,-0.451861,-0.443871,-0.007990,0.000000,0.000000,1694,19.6891
0.1809,10,-0.0145,-0.0000,-0.0014,-0.0000,-20.00,70.34,50.34,-19.9855,-3.9951,-0.452999,-0.444121,-0.008878,0.000000,0.000000,1694,19.6779
0.2010,11,-0.0145,-0.0000,-0.0014,0.1119,-20.00,70.34,50.34,-19.9855,-4.3948,-0.454385,-0.444121,-0.009766,-0.000497,0.000000,1695,19.6779
0.2211,12,-0.0145,-0.0000,-0.0014,0.1119,-20.00,70.34,50.34,-19.9855,-4.7945,-0.455273,-0.444121,-0.010654,-0.000497,0.000000,1695,19.6779
0.2412,13,-0.0145,-0.0000,-0.0014,-0.2238,-20.00,70.34,50.34,-19.9855,-5.1942,-0.454669,-0.444121,-0.011543,0.000995,0.000000,1695,19.6779
0.2613,14,-0.0145,-0.0000,-0.0014,-0.2238,-20.00,70.34,50.34,-19.9855,-5.5939,-0.455557,-0.444121,-0.012431,0.000995,0.000000,1695,19.6779
0.2814,15,-0.0408,-0.0000,0.0028,-0.2238,-20.00,70.34,50.34,-19.9592,-5.9931,-0.455860,-0.443537,-0.013318,0.000995,0.000000,1695,19.7042
0.3015,16,-0.0408,-0.1800,0.0028,-0.5595,-20.00,70.34,50.34,-19.9592,-6.3923,-0.455255,-0.443537,-0.014205,0.002487,0.000000,1695,19.7042
0.3216,17,-0.0408,-0.1800,0.0028,-0.5595,-20.00,70.34,50.34,-19.9592,-6.7915,-0.456143,-0.443537,-0.015092,0.002487,0.000000,1696,19.7042
0.3417,18,-0.0962,-0.1800,0.0042,-3.0215,-20.00,70.34,50.34,-19.9038,-7.1895,-0.444855,-0.442307,-0.015977,0.013429,0.000000,1691,19.7595
0.3618,19,-0.0962,-0.3600,0.0042,-3.0215,-20.00,70.34,50.34,-19.9038,-7.5876,-0.445739,-0.442307,-0.016861,0.013429,0.000000,1692,19.7595
0.3819,20,-0.3002,-0.3600,0.0012,-3.0215,-20.00,70.34,50.34,-19.6998,-7.9816,-0.442081,-0.437773,-0.017737,0.013429,0.000000,1690,19.9636
0.4020,21,-0.3002,-0.5400,0.0012,-7.4977,-20.00,70.34,50.34,-19.6998,-8.3756,-0.423062,-0.437773,-0.018612,0.033323,0.000000,1683,19.9636
0.4221,22,-0.3002,-0.7200,0.0012,-7.4977,-20.00,70.34,50.34,-19.6998,-8.7696,-0.423938,-0.437773,-0.019488,0.033323,0.000000,1683,19.9636
0.4422,23,-0.6548,-0.9000,0.0125,-6.2667,-20.00,70.34,50.34,-19.3452,-9.1565,-0.422388,-0.429892,-0.020348,0.027852,0.000000,1683,20.3182
0.4623,24,-0.6548,-0.9000,0.0125,-6.2667,-20.00,70.34,50.34,-19.3452,-9.5434,-0.423248,-0.429892,-0.021208,0.027852,0.000000,1683,20.3182
0.4824,25,-0.9739,-1.0800,0.0291,-6.2667,-20.00,70.34,50.34,-19.0261,-9.9239,-0.417003,-0.422802,-0.022053,0.027852,0.000000,1681,20.6373
0.5025,26,-0.9739,-1.0800,0.0291,-5.3715,-20.00,70.34,50.34,-19.0261,-10.3044,-0.421827,-0.422802,-0.022899,0.023873,0.000000,1683,20.6373
0.5226,27,-0.9739,-1.2600,0.0291,-5.3715,-20.00,70.34,50.34,-19.0261,-10.6850,-0.422673,-0.422802,-0.023744,0.023873,0.000000,1683,20.6373
0.5427,28,-1.1832,-1.2600,0.0176,-2.0143,-20.00,70.34,50.34,-18.8168,-11.0613,-0.433779,-0.418150,-0.024581,0.008952,0.000000,1687,20.8466
0.5628,29,-1.1832,-1.2600,0.0176,-2.0143,-20.00,70.34,50.34,-18.8168,-11.4376,-0.434615,-0.418150,-0.025417,0.008952,0.000000,1687,20.8466
0.5829,30,-1.2156,-1.2600,0.0217,-2.0143,-20.00,70.34,50.34,-18.7844,-11.8133,-0.434730,-0.417430,-0.026252,0.008952,0.000000,1688,20.879
