t_s,iteration,sensor_mode,new_data,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,enc,1,-0.0000,0.0000,-0.0000,0.1709,0.558,20.00,82.31,20.0000,0.1000,0.520064,0.177778,0.000333,-0.000000,0.341953,1480
0.0107,2,enc,0,-0.0000,0.0000,-0.0000,0.1709,0.558,20.00,82.31,20.0000,0.2000,0.520397,0.177778,0.000667,-0.000000,0.341953,1460
0.0158,3,enc,0,-0.0000,0.0000,-0.0000,0.1709,0.558,20.00,82.31,20.0000,0.3000,0.520731,0.177778,0.001000,-0.000000,0.341953,1440
0.0209,4,enc,0,-0.0000,0.0000,-0.0000,0.1709,0.558,20.00,82.31,20.0000,0.4000,0.521064,0.177778,0.001333,-0.000000,0.341953,1420
0.0260,5,enc,1,-0.0000,0.0000,-0.0000,0.2044,0.5634,20.00,82.31,20.0000,0.5000,0.521397,0.177778,0.001667,-0.000000,0.341953,1400
0.0310,6,enc,1,-0.0000,0.0000,-0.0000,0.1668,0.5202,20.00,82.31,20.0000,0.6000,0.521731,0.177778,0.002000,-0.000000,0.341953,1380
0.0361,7,enc,0,-0.0000,0.0000,-0.0000,0.1668,0.5202,20.00,82.31,20.0000,0.7000,0.522064,0.177778,0.002333,-0.000000,0.341953,1360
0.0412,8,enc,0,-0.0000,0.0000,-0.0000,0.1668,0.5202,20.00,82.31,20.0000,0.8000,0.522397,0.177778,0.002667,-0.000000,0.341953,1340
0.0463,9,enc,1,-0.0000,0.0000,-0.0000,0.1627,0.4823,20.00,82.31,20.0000,0.9000,0.522731,0.177778,0.003000,-0.000000,0.341953,1320
0.0514,10,enc,0,-0.0000,0.0000,-0.0000,0.1627,0.4823,20.00,82.31,20.0000,1.0000,0.523064,0.177778,0.003333,-0.000000,0.341953,1300
0.0565,11,enc,1,-0.0000,0.0000,-0.0000,0.125,0.4389,20.00,82.31,20.0000,1.1000,0.523397,0.177778,0.003667,-0.000000,0.341953,1280
0.0616,12,enc,1,-0.0000,0.0000,-0.0000,0.1587,0.4443,20.00,82.31,20.0000,1.2000,0.523731,0.177778,0.004000,-0.000000,0.341953,1278
0.0667,13,enc,0,-0.0000,0.0000,-0.0000,0.1587,0.4443,20.00,82.31,20.0000,1.3000,0.524064,0.177778,0.004333,-0.000000,0.341953,1278
0.0718,14,enc,1,-0.0000,0.0000,-0.0000,0.1209,0.4063,20.00,82.31,20.0000,1.4000,0.524397,0.177778,0.004667,-0.000000,0.341953,1278
0.0792,15,enc,0,-0.0000,0.0000,-0.0000,0.1546,0.4063,20.00,82.31,20.0000,1.5000,0.524731,0.177778,0.005000,-0.000000,0.341953,1278
0.0844,16,enc,1,-0.0000,0.0000,-0.0000,0.1168,0.3627,20.00,82.31,20.0000,1.6000,0.525064,0.177778,0.005333,-0.000000,0.341953,1278
0.0895,17,enc,0,-0.0000,0.0000,-0.0000,0.1168,0.3682,20.00,82.31,20.0000,1.7000,0.525397,0.177778,0.005667,-0.000000,0.341953,1277
0.0946,18,enc,0,-0.0000,0.0000,-0.0000,0.1505,0.3245,20.00,82.31,20.0000,1.8000,0.525731,0.177778,0.006000,-0.000000,0.341953,1277
0.0997,19,enc,1,-0.0000,0.0000,-0.0000,0.1051,0.3486,20.00,82.31,20.0000,1.9000,0.526064,0.177778,0.006333,-0.000000,0.341953,1277
0.1048,20,enc,1,-0.0000,0.0000,-0.0000,0.1388,0.354,20.00,82.31,20.0000,2.0000,0.526397,0.177778,0.006667,-0.000000,0.341953,1277
0.1098,21,enc,1,-0.0000,0.0000,-0.0000,0.101,0.3103,20.00,82.31,20.0000,2.1000,0.526731,0.177778,0.007000,-0.000000,0.341953,1277
0.1149,22,enc,0,-0.0000,0.0000,-0.0000,0.101,0.3103,20.00,82.31,20.0000,2.2000,0.527064,0.177778,0.007333,-0.000000,0.341953,1277
0.1200,23,enc,1,-0.0000,0.0000,-0.0000,0.1347,0.3158,20.00,82.31,20.0000,2.3000,0.527397,0.177778,0.007667,-0.000000,0.341953,1277
0.1251,24,enc,1,-0.0000,0.0000,-0.0000,0.1017,0.3097,20.00,82.31,20.0000,2.4000,0.527731,0.177778,0.008000,-0.000000,0.341953,1277
0.1302,25,enc,1,-0.0000,0.0000,-0.0000,0.0969,0.2719,20.00,82.31,20.0000,2.5000,0.528064,0.177778,0.008333,-0.000000,0.341953,1276
0.1353,26,enc,1,-0.0000,0.0000,-0.0000,0.1306,0.2774,20.00,82.31,20.0000,2.6000,0.528397,0.177778,0.008667,-0.000000,0.341953,1276
