t_s,psi_deg,psi_dot_dps,pwm_us
3.3569,48.4193,-0.4476,1300
3.3770,48.1276,-20.5907,1300
3.3971,48.1276,-20.5907,1300
3.4171,46.8526,-20.5907,1300
3.4372,46.8526,-38.1599,1300
3.4573,46.8526,-38.1599,1300
3.4773,44.7312,-53.0434,1300
3.4974,44.7312,-53.0434,1300
3.5183,41.8750,-53.0434,1300
3.5384,41.8750,-67.1435,1300
3.5585,41.8750,-67.1435,1300
3.5785,38.3987,-75.0888,1300
3.5986,38.3987,-75.0888,1300
3.6187,34.5514,-75.0888,1300
3.6388,34.5514,-81.0198,1300
3.6588,34.5514,-81.0198,1300
3.6789,30.4923,-80.5722,1300
3.6990,30.4923,-80.5722,1300
3.7191,26.4925,-80.5722,1300
3.7391,26.4925,-77.2150,1300
3.7592,26.4925,-77.2150,1300
3.7793,22.7965,-67.1435,1300
3.7994,22.7965,-67.1435,1300
3.8194,19.6245,-67.1435,1300
3.8395,19.6245,-54.2743,1300
3.8596,19.6245,-54.2743,1300
3.8796,17.1711,-38.3837,1300
3.8997,17.1711,-38.3837,1300
3.9198,15.5672,-38.3837,1300
3.9399,15.5672,-18.3526,1300
3.9599,15.5672,-18.3526,1300
3.9800,14.9591,0.7833,1300
4.0001,14.9591,0.7833,1300
4.0202,15.3413,0.7833,1300
4.0402,15.3413,20.5907,1300
4.0603,15.3413,20.5907,1300
4.0804,16.6484,36.7051,1300
4.1004,16.6484,36.7051,1300
4.1205,18.7169,36.7051,1300
4.1406,18.7169,50.9171,1300
4.1607,18.7169,50.9171,1300
4.1807,21.4540,60.5410,1300
4.2008,21.4540,60.5410,1300
4.2209,24.6167,60.5410,1300
4.2410,24.6167,67.9268,1300
4.2610,24.6167,67.9268,1300
4.2811,28.0323,68.3745,1300
4.3012,28.0323,68.3745,1300
4.3213,31.4521,68.3745,1300
4.3413,31.4521,66.0244,1300
4.3614,31.4521,66.0244,1300
4.3815,34.6895,59.5339,1300
4.4015,34.6895,59.5339,1300
4.4216,37.5579,59.5339,1300
4.4417,37.5579,50.1338,1300
4.4618,37.5579,50.1338,1300
4.4818,39.9109,37.6004,1300
4.5019,39.9109,37.6004,1300
4.5220,41.6083,37.6004,1300
4.5421,41.6083,24.5074,1300
4.5621,41.6083,24.5074,1300
4.5822,42.6218,9.5120,1300
4.6023,42.6218,9.5120,1300
4.6223,42.8870,9.5120,1300
4.6424,42.8870,-4.1405,1300
4.6625,42.8870,-4.1405,1300
4.6826,42.4479,-18.6883,1300
4.7026,42.4479,-18.6883,1300
4.7227,41.3590,-18.6883,1300
4.7428,41.3590,-31.1098,1300
4.7628,41.3590,-31.1098,1300
4.7829,39.6822,-41.9647,1300
4.8030,39.6822,-41.9647,1300
4.8231,37.4716,-41.9647,1300
4.8431,37.4716,-48.5671,1300
4.8632,37.4716,-48.5671,1300
4.8833,34.9369,-53.7148,1300
4.9033,34.9369,-53.7148,1300
4.9234,32.2269,-53.7148,1300
4.9435,32.2269,-56.5124,1300
4.9636,32.2269,-56.5124,1300
4.9837,29.4671,-54.9458,1300
5.0037,29.4671,-54.9458,1300
5.0238,26.7750,-54.9458,1300
5.0439,26.7750,-50.4695,1300
5.0640,26.7750,-50.4695,1300
5.0840,24.3718,-41.9647,1300
5.1041,24.3718,-41.9647,1300
5.1242,22.4252,-41.9647,1300
5.1443,22.4252,-32.0051,1300
5.1644,22.4252,-32.0051,1300
5.1844,21.0262,-18.9121,1300
5.2045,21.0262,-18.9121,1300
5.2247,20.2800,-18.9121,1300
5.2447,20.2800,-5.9310,1300
5.2648,20.2800,-5.9310,1300
5.2849,20.1769,6.7143,1300
5.3050,20.1769,6.7143,1300
5.3251,20.7212,6.7143,1300
5.3451,20.7212,19.0240,1300
5.3652,20.7212,19.0240,1300
5.3853,21.8509,30.2146,1300
5.4054,21.8509,30.2146,1300
5.4254,23.4545,30.2146,1300
5.4455,23.4545,37.3765,1300
5.4656,23.4545,37.3765,1300
5.4857,25.4283,43.4195,1300
5.5057,25.4283,43.4195,1300
5.5258,27.6481,43.4195,1300
5.5459,27.6481,46.1052,1300
5.5660,27.6481,46.1052,1300
5.5860,29.9661,44.8742,1300
5.6061,29.9661,44.8742,1300
5.6262,32.2000,44.8742,1300
5.6463,32.2000,41.6290,1300
5.6664,32.2000,41.6290,1300
5.6864,34.2629,36.3694,1300
5.7065,34.2629,36.3694,1300
5.7266,35.9864,36.3694,1300
5.7467,35.9864,29.0955,1300
5.7667,35.9864,29.0955,1300
5.7868,37.3498,21.1502,1300
5.8069,37.3498,21.1502,1300
5.8270,38.2641,10.1834,1300
5.8471,38.2641,10.1834,1300
5.8671,38.2641,10.1834,1300
5.8872,38.6477,0.7833,1300
5.9073,38.6477,0.7833,1300
5.9274,38.5417,-8.9525,1300
5.9475,38.5417,-8.9525,1300
5.9676,38.5417,-8.9525,1300
5.9876,37.9454,-17.5692,1300
6.0077,37.9454,-17.5692,1300
6.0278,36.9251,-25.0669,1300
6.0479,36.9251,-25.0669,1300
6.0680,36.9251,-25.0669,1300
6.0881,35.5810,-31.2217,1300
6.1081,35.5810,-31.2217,1300
6.1282,33.9823,-34.5789,1300
6.1483,33.9823,-34.5789,1300
6.1684,32.1952,-34.5789,1300
6.1885,32.1952,-37.3765,1300
6.2086,32.1952,-37.3765,1300
6.2287,30.3403,-36.9289,1300
6.2487,30.3403,-36.9289,1300
6.2688,28.5413,-36.9289,1300
6.2889,28.5413,-33.1241,1300
6.3090,28.5413,-33.1241,1300
6.3291,26.9488,-28.8717,1300
6.3492,26.9488,-28.8717,1300
6.3693,25.6237,-28.8717,1300
6.3894,25.6237,-22.1574,1300
6.4095,25.6237,-22.1574,1300
6.4296,24.6322,-15.1073,1300
6.4497,24.6322,-15.1073,1300
6.4698,24.0023,-15.1073,1300
6.4899,24.0023,-6.0429,1300
6.5100,24.0023,-6.0429,1300
6.5301,23.8343,3.3572,1300
6.5502,23.8343,3.3572,1300
6.5703,24.1066,3.3572,1300
6.5904,24.1066,11.7501,1300
6.6105,24.1066,11.7501,1300
6.6306,24.7555,17.9049,1300
6.6507,24.7555,17.9049,1300
6.6708,25.7380,17.9049,1300
6.6908,25.7380,22.7169,1300
6.7109,25.7380,22.7169,1300
6.7310,26.9666,27.4169,1300
6.7511,26.9666,27.4169,1300
6.7712,28.3825,27.4169,1300
6.7913,28.3825,28.8717,1300
6.8114,28.3825,28.8717,1300
6.8315,29.8667,28.3122,1300
6.8516,29.8667,28.3122,1300
6.8717,31.3112,28.3122,1300
6.8917,31.3112,27.8645,1300
6.9118,31.3112,27.8645,1300
6.9319,32.6441,24.5074,1300
6.9520,32.6441,24.5074,1300
6.9721,33.8018,24.5074,1300
6.9922,33.8018,19.2478,1300
7.0123,33.8018,19.2478,1300
7.0324,34.7066,13.2049,1300
7.0526,34.7066,13.2049,1300
7.0726,35.2993,13.2049,1300
7.0927,35.2993,7.8334,1300
7.1128,35.2993,7.8334,1300
7.1329,35.6071,1.5667,1300
7.1530,35.6071,1.5667,1300
7.1731,35.5758,1.5667,1300
7.1932,35.5758,-5.9310,1300
7.2133,35.5758,-5.9310,1300
7.2334,35.2208,-11.3025,1300
7.2535,35.2208,-11.3025,1300
7.2736,34.6011,-11.3025,1300
7.2938,34.6011,-16.0025,1300
7.3139,34.6011,-16.0025,1300
7.3340,33.7697,-19.3597,1300
7.3541,33.7697,-19.3597,1300
7.3742,32.7787,-19.3597,1300
7.3943,32.7787,-20.9264,1300
7.4144,32.7787,-20.9264,1300
7.4345,31.7107,-22.0454,1300
7.4545,31.7107,-22.0454,1300
7.4746,30.6334,-22.0454,1300
7.4948,30.6334,-21.0383,1300
7.5148,30.6334,-21.0383,1300
7.5349,29.5971,-21.2621,1300
7.5551,29.5971,-21.2621,1300
7.5752,28.5928,-21.2621,1300
7.5953,28.5928,-17.2335,1300
7.6154,28.5928,-17.2335,1300
7.6355,27.7637,-13.7644,1300
7.6556,27.7637,-13.7644,1300
7.6757,27.1236,-13.7644,1300
7.6958,27.1236,-9.6239,1300
7.7159,27.1236,-9.6239,1300
7.7360,26.7220,-4.3643,1300
7.7561,26.7220,-4.3643,1300
7.7762,26.5893,-4.3643,1300
7.7963,26.5893,0.7833,1300
7.8164,26.5893,0.7833,1300
7.8365,26.6939,4.7000,1300
7.8566,26.6939,4.7000,1300
7.8767,27.0195,4.7000,1300
7.8967,27.0195,8.9525,1300
7.9168,27.0195,8.9525,1300
7.9369,27.5224,11.8620,1300
7.9570,27.5224,11.8620,1300
7.9771,28.1708,11.8620,1300
7.9972,28.1708,14.1001,1300
8.0173,28.1708,14.1001,1300
8.0374,28.8817,15.1073,1300
8.0575,28.8817,15.1073,1300
8.0776,29.6531,15.6668,1300
8.0978,29.6531,15.6668,1300
8.1179,29.6531,15.6668,1300
8.1380,30.4510,16.0025,1300
8.1581,30.4510,16.0025,1300
8.1782,31.2182,13.5406,1300
8.1983,31.2182,13.5406,1300
8.2184,31.2182,13.5406,1300
8.2385,31.8740,11.4144,1300
8.2586,31.8740,11.4144,1300
8.2787,31.8687,7.3858,1300
8.2988,31.8687,7.3858,1300
8.3190,31.8687,7.3858,1300
8.3391,31.8308,3.5810,1300
8.3592,31.8308,3.5810,1300
8.3792,31.7651,-0.3357,1300
8.3993,31.7651,-0.3357,1300
8.4194,31.7158,-0.3357,1300
8.4395,31.7158,-3.3572,1300
8.4596,31.7158,-3.3572,1300
8.4797,31.5029,-6.3786,1300
8.4998,31.5029,-6.3786,1300
8.5199,31.1569,-6.3786,1300
8.5400,31.1569,-9.5120,1300
8.5601,31.1569,-9.5120,1300
8.5802,30.6886,-10.4072,1300
8.6003,30.6886,-10.4072,1300
8.6204,30.1164,-10.4072,1300
8.6405,30.1164,-11.6382,1300
8.6606,30.1164,-11.6382,1300
8.6807,29.5188,-11.5263,1300
8.7008,29.5188,-11.5263,1300
8.7209,28.9384,-11.5263,1300
8.7410,28.9384,-10.7430,1300
8.7611,28.9384,-10.7430,1300
8.7812,28.3995,-9.9596,1300
8.8013,28.3995,-9.9596,1300
8.8213,27.9013,-9.9596,1300
8.8415,27.9013,-8.9525,1300
8.8615,27.9013,-8.9525,1300
8.8816,27.7936,-6.8263,1300
8.9017,27.7936,-6.8263,1300
8.9218,28.3132,-6.8263,1300
8.9419,28.3132,-3.6929,1300
8.9620,28.3132,-3.6929,1300
8.9821,28.5707,-1.5667,1300
9.0022,28.5707,-1.5667,1300
9.0223,28.7910,-1.5667,1300
9.0424,28.7910,1.5667,1300
9.0625,28.7910,1.5667,1300
9.0826,29.0123,4.4762,1300
9.1027,29.0123,4.4762,1300
9.1228,29.2432,4.4762,1300
9.1429,29.2432,6.1548,1300
9.1630,29.2432,6.1548,1300
9.1831,29.5700,6.4905,1300
9.2032,29.5700,6.4905,1300
9.2233,29.9225,6.4905,1300
9.2434,29.9225,7.4977,1300
9.2635,29.9225,7.4977,1300
9.2836,30.3068,8.0572,1300
9.3037,30.3068,8.0572,1300
9.3238,30.7173,8.0572,1300
9.3439,30.7173,7.1620,1300
9.3640,30.7173,7.1620,1300
9.3841,31.1023,7.2739,1300
9.4042,31.1023,7.2739,1300
9.4243,30.9593,7.2739,1300
9.4444,30.9593,5.9310,1300
9.4645,30.9593,5.9310,1300
9.4845,30.9873,4.3643,1300
9.5046,30.9873,4.3643,1300
9.5247,31.1240,4.3643,1300
9.5448,31.1240,2.2381,1300
9.5649,31.1240,2.2381,1300
9.5850,31.2018,1.0072,1300
9.6051,31.2018,1.0072,1300
9.6252,31.2017,1.0072,1300
