t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0279,-0.0000,0.0023,0.1119,-20.00,83.42,63.42,-20.0279,-0.110589,-0.333798,-0.000373,0.223583,1566,6.5496
0.0201,2,0.0279,-0.0000,0.0023,0.1119,-20.00,83.42,63.42,-20.0279,-0.110589,-0.333798,-0.000373,0.223583,1566,6.5496
0.0402,3,0.0349,-0.0000,0.0022,0.1119,-20.00,83.42,63.42,-20.0349,-0.110706,-0.333915,-0.000373,0.223583,1566,6.5425
0.0603,4,0.0349,-0.0000,0.0022,-0.0000,-20.00,83.42,63.42,-20.0349,-0.110333,-0.333915,0.000000,0.223583,1566,6.5425
0.0804,5,0.0349,-0.0000,0.0022,-0.0000,-20.00,83.42,63.42,-20.0349,-0.110333,-0.333915,0.000000,0.223583,1566,6.5425
0.1006,6,0.0349,-0.0000,0.0026,-0.0000,-20.00,83.42,63.42,-20.0349,-0.110333,-0.333915,0.000000,0.223583,1566,6.5425
0.1207,7,0.0349,-0.0000,0.0026,-0.0000,-20.00,83.42,63.42,-20.0349,-0.110333,-0.333915,0.000000,0.223583,1566,6.5425
0.1408,8,0.0349,-0.0000,0.0026,-0.0000,-20.00,83.42,63.42,-20.0349,-0.110333,-0.333915,0.000000,0.223583,1566,6.5425
0.1609,9,0.0349,-0.0000,0.0026,-0.1119,-20.00,83.42,63.42,-20.0349,-0.109960,-0.333915,0.000373,0.223583,1566,6.5425
0.1809,10,0.0349,-0.0000,0.0026,-0.1119,-20.00,83.42,63.42,-20.0349,-0.109960,-0.333915,0.000373,0.223583,1566,6.5425
0.2010,11,0.0349,-0.0000,0.0026,-0.0000,-20.00,83.42,63.42,-20.0349,-0.110333,-0.333915,0.000000,0.223583,1566,6.5425
0.2211,12,0.0349,-0.0000,0.0026,-0.0000,-20.00,83.42,63.42,-20.0349,-0.110333,-0.333915,0.000000,0.223583,1566,6.5425
0.2412,13,0.0279,-0.0000,0.0093,-0.0000,-20.00,83.42,63.42,-20.0279,-0.110216,-0.333799,0.000000,0.223583,1566,6.5495
0.2613,14,0.0279,-0.0000,0.0093,-0.5595,-20.00,83.42,63.42,-20.0279,-0.108351,-0.333799,0.001865,0.223583,1565,6.5495
0.2814,15,0.0279,-0.0000,0.0093,-0.5595,-20.00,83.42,63.42,-20.0279,-0.108351,-0.333799,0.001865,0.223583,1565,6.5495
0.3015,16,-0.0142,-0.0000,0.0096,-1.3429,-20.00,83.42,63.42,-19.9858,-0.105037,-0.333096,0.004476,0.223583,1564,6.5917
0.3216,17,-0.0142,-0.0000,0.0096,-1.3429,-20.00,83.42,63.42,-19.9858,-0.105037,-0.333096,0.004476,0.223583,1564,6.5917
0.3417,18,-0.0912,-0.1800,0.0097,-1.3429,-20.00,83.42,63.42,-19.9088,-0.103755,-0.331814,0.004476,0.223583,1563,6.6686
0.3618,19,-0.0912,-0.1800,0.0097,-2.2381,-20.00,83.42,63.42,-19.9088,-0.100771,-0.331814,0.007460,0.223583,1562,6.6686
0.3823,20,-0.0912,-0.1800,0.0097,-2.2381,-20.00,83.42,63.42,-19.9088,-0.100771,-0.331814,0.007460,0.223583,1562,6.6686
0.4024,21,-0.2102,-0.3600,0.017,-2.5738,-20.00,83.42,63.42,-19.7898,-0.097668,-0.329830,0.008579,0.223583,1561,6.7877
0.4226,22,-0.2102,-0.3600,0.017,-2.5738,-20.00,83.42,63.42,-19.7898,-0.097668,-0.329830,0.008579,0.223583,1561,6.7877
0.4427,23,-0.3364,-0.3600,0.0174,-2.5738,-20.00,83.42,63.42,-19.6636,-0.095565,-0.327727,0.008579,0.223583,1560,6.9138
0.4628,24,-0.3364,-0.3600,0.0174,-2.9096,-20.00,83.42,63.42,-19.6636,-0.094446,-0.327727,0.009699,0.223583,1560,6.9138
0.4829,25,-0.3364,-0.5400,0.0174,-2.9096,-20.00,83.42,63.42,-19.6636,-0.094446,-0.327727,0.009699,0.223583,1560,6.9138
0.5030,26,-0.4555,-0.5400,0.0181,-2.5738,-20.00,83.42,63.42,-19.5445,-0.093580,-0.325742,0.008579,0.223583,1560,7.033
0.5231,27,-0.4555,-0.5400,0.0181,-2.5738,-20.00,83.42,63.42,-19.5445,-0.093580,-0.325742,0.008579,0.223583,1560,7.033
0.5432,28,-0.5747,-0.5400,0.018,-2.5738,-20.00,83.42,63.42,-19.4253,-0.091594,-0.323756,0.008579,0.223583,1559,7.1521
0.5633,29,-0.5747,-0.7200,0.018,-2.2381,-20.00,83.42,63.42,-19.4253,-0.092713,-0.323756,0.007460,0.223583,1559,7.1521
0.5834,30,-0.5747,-0.7200,0.018,-2.2381,-20.00,83.42,63.42,-19.4253,-0.092713,-0.323756,0.007460,0.223583,1559,7.1521
0.6035,31,-0.6727,-0.7200,0.0252,-1.5667,-20.00,83.42,63.42,-19.3273,-0.093317,-0.322122,0.005222,0.223583,1559,7.2502
0.6236,32,-0.6727,-0.7200,0.0252,-1.5667,-20.00,83.42,63.42,-19.3273,-0.093317,-0.322122,0.005222,0.223583,1559,7.2502
0.6437,33,-0.7356,-0.7200,0.0176,-1.5667,-20.00,83.42,63.42,-19.2644,-0.092268,-0.321073,0.005222,0.223583,1559,7.3131
0.6639,34,-0.7356,-0.7200,0.0176,-0.7833,-20.00,83.42,63.42,-19.2644,-0.094879,-0.321073,0.002611,0.223583,1560,7.3131
0.6840,35,-0.7356,-0.7200,0.0176,-0.7833,-20.00,83.42,63.42,-19.2644,-0.094879,-0.321073,0.002611,0.223583,1560,7.3131
