t_s,iteration,psi_imu_deg,psi_enc_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0757,-0.0000,-0.0000,30.00,29.9243,0.990000,0.199495,0.000000,0.950000,1103,88.7707
0.0201,2,0.0757,-0.0000,-0.0000,30.00,29.9243,0.990000,0.199495,0.000000,0.950000,1103,88.7706
0.0402,3,0.0757,-0.0000,-0.0000,30.00,29.9243,0.990000,0.199495,0.000000,0.950000,1103,88.7706
0.0602,4,0.0757,-0.0000,-0.0000,30.00,29.9243,0.990000,0.199495,0.000000,0.950000,1103,88.7706
0.0803,5,0.0757,-0.0000,-0.0000,30.00,29.9243,0.990000,0.199495,0.000000,0.950000,1103,88.7706
0.1004,6,0.0757,-0.0000,-0.0000,30.00,29.9243,0.990000,0.199495,0.000000,0.950000,1103,88.7706
0.1205,7,0.0757,-0.0000,-0.0000,30.00,29.9243,0.990000,0.199495,0.000000,0.950000,1103,88.7706
0.1405,8,0.0757,-0.0000,-0.0000,30.00,29.9243,0.990000,0.199495,0.000000,0.950000,1103,88.7706
0.1606,9,0.0757,-0.0000,-0.0000,30.00,29.9243,0.990000,0.199495,0.000000,0.950000,1103,88.7706
0.1807,10,0.0757,-0.0000,0.2238,30.00,29.9243,0.990000,0.199495,-0.001989,0.950000,1103,88.7706
0.2008,11,0.0757,-0.0000,0.2238,30.00,29.9243,0.990000,0.199495,-0.001989,0.950000,1103,88.7706
0.2209,12,0.0757,-0.0000,0.2238,30.00,29.9243,0.990000,0.199495,-0.001989,0.950000,1103,88.7706
0.2409,13,0.0757,-0.0000,0.6714,30.00,29.9243,0.990000,0.199495,-0.005968,0.950000,1103,88.7706
0.2610,14,0.0757,-0.0000,0.6714,30.00,29.9243,0.990000,0.199495,-0.005968,0.950000,1103,89.0546
0.2811,15,-0.2083,-0.0000,3.1334,30.00,30.2083,0.990000,0.201388,-0.027852,0.950000,1103,89.0546
0.3012,16,-0.2083,0.1800,3.1334,30.00,30.2083,0.990000,0.201388,-0.027852,0.950000,1103,89.0546
0.3212,17,-0.3161,0.3600,3.1334,30.00,30.3161,0.990000,0.202107,-0.027852,0.950000,1103,89.1625
0.3413,18,-0.3161,0.9000,13.7644,30.00,30.3161,0.990000,0.202107,-0.122350,0.950000,1103,89.1625
0.3614,19,-1.1536,1.8000,13.7644,30.00,31.1536,0.990000,0.207691,-0.122350,0.950000,1103,90.0000
0.3815,20,-1.1536,3.6000,73.9697,30.00,31.1536,0.500182,0.207691,-0.657509,0.950000,1287,90.0000
0.4015,21,-1.1536,5.4000,73.9697,30.00,31.1536,0.500182,0.207691,-0.657509,0.950000,1287,90.0000
0.4216,22,2.9546,8.1000,73.9697,30.00,27.0454,0.472794,0.180302,-0.657509,0.950000,1297,85.8917
0.4417,23,2.9546,10.2600,129.9227,30.00,27.0454,-0.024566,0.180302,-1.154868,0.950000,1534,85.8917
0.4618,24,9.7761,12.7800,129.9227,30.00,20.2239,-0.070042,0.134826,-1.154868,0.950000,1551,79.0702
0.4818,25,9.7761,16.2000,167.1873,30.00,20.2239,-0.401284,0.134826,-1.486109,0.950000,1675,79.0702
0.5019,26,9.7761,18.0000,167.1873,30.00,20.2239,-0.401284,0.134826,-1.486109,0.950000,1675,79.0702
0.5220,27,18.1006,21.0600,167.1873,30.00,11.8994,-0.456780,0.079329,-1.486109,0.950000,1696,70.7457
0.5421,28,18.1006,23.7600,158.9063,30.00,11.8994,-0.383171,0.079329,-1.412500,0.950000,1668,70.7457
0.5621,29,25.8384,25.3800,158.9063,30.00,4.1616,-0.434756,0.027744,-1.412500,0.950000,1688,63.0079
0.5822,30,25.8384,27.7200,126.3417,30.00,4.1616,-0.145293,0.027744,-1.123037,0.950000,1579,63.0079
0.6023,31,25.8384,29.3400,126.3417,30.00,4.1616,-0.145293,0.027744,-1.123037,0.950000,1579,63.0079
0.6224,32,31.9014,31.5000,126.3417,30.00,-1.9014,-0.185713,-0.012676,-1.123037,0.950000,1594,56.9450
0.6424,33,31.9014,32.7600,80.3484,30.00,-1.9014,0.223116,-0.012676,-0.714208,0.950000,1391,56.9450
0.6625,34,35.6566,33.4800,80.3484,30.00,-5.6566,0.198082,-0.037711,-0.714208,0.950000,1400,53.1898
0.6826,35,35.6566,34.0200,28.2003,30.00,-5.6566,0.661620,-0.037711,-0.250669,0.950000,1226,53.1898
0.7027,36,35.6566,34.2000,28.2003,30.00,-5.6566,0.661620,-0.037711,-0.250669,0.950000,1226,53.1898
0.7228,37,36.8637,33.6600,28.2003,30.00,-6.8637,0.653573,-0.045758,-0.250669,0.950000,1229,51.9827
0.7428,38,36.8637,32.9400,-23.3883,30.00,-6.8637,0.990000,-0.045758,0.207896,0.950000,1103,51.9827
