t_s,iteration,psi_imu_deg,psi_enc_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0098,-0.0000,-0.0000,30.00,30.0098,0.990000,0.200065,0.000000,0.950000,1103,88.6755
0.0201,2,-0.0098,-0.0000,-0.0000,30.00,30.0098,0.990000,0.200065,0.000000,0.950000,1103,88.6755
0.0402,3,-0.0098,-0.0000,-0.0000,30.00,30.0098,0.990000,0.200065,0.000000,0.950000,1103,88.6755
0.0603,4,-0.0098,-0.0000,-0.0000,30.00,30.0098,0.990000,0.200065,0.000000,0.950000,1103,88.6755
0.0805,5,-0.0098,-0.0000,-0.0000,30.00,30.0098,0.990000,0.200065,0.000000,0.950000,1103,88.6755
0.1006,6,-0.0098,-0.0000,0.1119,30.00,30.0098,0.990000,0.200065,-0.000995,0.950000,1103,88.6755
0.1207,7,-0.0098,-0.0000,0.1119,30.00,30.0098,0.990000,0.200065,-0.000995,0.950000,1103,88.6755
0.1408,8,-0.0097,-0.0000,-0.0000,30.00,30.0097,0.990000,0.200065,0.000000,0.950000,1103,88.6754
0.1609,9,-0.0097,-0.0000,-0.0000,30.00,30.0097,0.990000,0.200065,0.000000,0.950000,1103,88.6754
0.1810,10,-0.0100,-0.0000,-0.0000,30.00,30.0100,0.990000,0.200067,0.000000,0.950000,1103,88.6757
0.2011,11,-0.0100,-0.0000,0.3357,30.00,30.0100,0.990000,0.200067,-0.002984,0.950000,1103,88.6757
0.2212,12,-0.0100,-0.0000,0.3357,30.00,30.0100,0.990000,0.200067,-0.002984,0.950000,1103,88.6757
0.2413,13,-0.0247,-0.0000,1.2310,30.00,30.0247,0.990000,0.200165,-0.010942,0.950000,1103,88.6904
0.2614,14,-0.0247,-0.0000,1.2310,30.00,30.0247,0.990000,0.200165,-0.010942,0.950000,1103,88.6904
0.2815,15,-0.0692,0.1800,1.2310,30.00,30.0692,0.990000,0.200461,-0.010942,0.950000,1103,88.7349
0.3016,16,-0.0692,0.3600,5.0358,30.00,30.0692,0.990000,0.200461,-0.044762,0.950000,1103,88.7349
0.3217,17,-0.0692,0.5400,5.0358,30.00,30.0692,0.990000,0.200461,-0.044762,0.950000,1103,88.7349
0.3419,18,-0.2335,1.2600,5.4834,30.00,30.2335,0.990000,0.201557,-0.048741,0.950000,1103,88.8992
0.3620,19,-0.2335,2.1600,5.4834,30.00,30.2335,0.990000,0.201557,-0.048741,0.950000,1103,88.8992
0.3821,20,-0.0587,3.9600,5.4834,30.00,30.0587,0.990000,0.200391,-0.048741,0.950000,1103,88.7244
0.4023,21,-0.0587,5.9400,99.3724,30.00,30.0587,0.267081,0.200391,-0.883310,0.950000,1374,88.7244
0.4224,22,-0.0587,8.1000,99.3724,30.00,30.0587,0.267081,0.200391,-0.883310,0.950000,1374,88.7244
0.4425,23,6.1678,11.1600,179.3850,30.00,23.8322,-0.485652,0.158881,-1.594534,0.950000,1707,82.4979
0.4625,24,6.1678,13.3200,179.3850,30.00,23.8322,-0.485652,0.158881,-1.594534,0.950000,1707,82.4979
