t_s,angle_deg
1.4169,32.5800
1.4220,32.2200
1.4270,31.8600
1.4321,31.5000
1.4372,31.1400
1.4423,30.7800
1.4474,30.6000
1.4525,30.2400
1.4575,29.8800
1.4627,29.5200
1.4677,29.1600
1.4728,28.8000
1.4779,28.4400
1.4830,28.0800
1.4881,27.7200
1.4931,27.3600
1.4982,27.0000
1.5033,26.6400
1.5084,26.2800
1.5135,25.9200
1.5186,25.5600
1.5237,25.2000
1.5287,24.8400
1.5338,24.4800
1.5389,24.1200
1.5440,23.7600
1.5490,23.4000
1.5541,22.8600
1.5592,22.5000
1.5643,22.1400
1.5693,21.7800
1.5744,21.4200
1.5795,21.0600
1.5846,20.7000
1.5896,20.3400
1.5947,19.9800
1.5998,19.6200
1.6049,19.2600
1.6100,18.9000
1.6150,18.3600
1.6201,18.0000
1.6252,17.6400
1.6303,17.2800
1.6353,16.9200
1.6404,16.5600
1.6455,16.0200
1.6506,15.6600
1.6557,15.3000
1.6607,14.9400
1.6658,14.5800
1.6709,14.2200
1.6760,13.8600
1.6811,13.3200
1.6861,12.9600
1.6912,12.6000
1.6963,12.2400
1.7014,11.7000
1.7065,11.3400
1.7116,10.9800
1.7167,10.6200
1.7218,10.2600
1.7269,9.9000
1.7319,9.3600
1.7370,9.0000
1.7421,8.6400
1.7472,8.1000
1.7523,7.7400
1.7573,7.3800
1.7624,7.0200
1.7675,6.4800
1.7726,6.1200
1.7777,5.7600
1.7828,5.2200
1.7878,5.0400
1.7929,4.5000
1.7980,4.1400
1.8031,3.7800
1.8082,3.2400
1.8132,2.8800
1.8183,2.3400
1.8234,1.9800
1.8285,1.6200
1.8336,1.0800
1.8386,0.7200
1.8437,0.3600
1.8488,-0.0000
1.8539,-0.5400
1.8590,-0.9000
1.8641,-1.2600
1.8691,-1.4400
1.8742,-1.4400
1.8793,-1.4400
1.8843,-1.2600
1.8894,-1.0800
1.8945,-0.9000
1.8996,-0.7200
1.9047,-0.3600
1.9097,-0.0000
1.9148,0.1800
1.9199,0.5400
1.9250,0.9000
1.9300,1.0800
1.9351,1.2600
1.9402,1.4400
1.9453,1.6200
1.9503,1.9800
1.9554,2.3400
1.9605,2.5200
1.9655,2.8800
1.9706,3.0600
1.9757,3.2400
1.9808,3.4200
1.9859,3.6000
1.9909,3.9600
1.9960,4.1400
2.0011,4.5000
2.0062,4.6800
2.0113,5.0400
2.0163,5.2200
2.0214,5.4000
2.0265,5.5800
2.0316,5.7600
2.0367,6.1200
2.0418,6.3000
2.0468,6.6600
2.0519,6.8400
2.0570,7.0200
2.0621,7.2000
2.0672,7.3800
2.0723,7.5600
2.0774,7.7400
2.0825,8.1000
2.0876,8.2800
2.0926,8.6400
2.0977,8.8200
2.1028,8.8200
2.1079,9.0000
2.1130,9.1800
2.1180,9.5400
2.1231,9.7200
2.1282,9.9000
2.1333,10.2600
2.1383,10.2600
2.1435,10.6200
2.1485,10.6200
2.1536,10.8000
2.1587,10.9800
2.1638,11.1600
2.1688,11.5200
2.1739,11.7000
2.1790,11.8800
2.1841,12.0600
2.1892,12.2400
2.1942,12.4200
2.1993,12.6000
2.2044,12.7800
2.2095,12.9600
2.2145,13.1400
2.2196,13.3200
2.2247,13.5000
2.2298,13.6800
2.2348,13.6800
2.2399,13.8600
2.2450,14.0400
2.2501,14.2200
2.2552,14.5800
2.2603,14.5800
2.2654,14.7600
2.2705,14.9400
2.2756,15.1200
2.2807,15.1200
2.2858,15.3000
2.2908,15.4800
2.2959,15.6600
2.3010,15.8400
2.3061,16.0200
2.3111,16.2000
2.3162,16.2000
2.3213,16.3800
2.3264,16.5600
2.3314,16.7400
2.3365,16.9200
2.3416,17.1000
2.3467,17.1000
2.3518,17.2800
2.3569,17.4600
2.3620,17.4600
2.3670,17.6400
2.3721,17.8200
2.3772,18.0000
2.3823,18.0000
2.3873,18.1800
