t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0446,-0.0000,0.0048,-0.0000,-20.00,74.26,54.26,-20.0446,-0.4009,-0.409485,-0.489980,-0.000668,0.000000,0.081164,1550,15.699
0.0201,2,0.0390,-0.0000,0.005,-0.0000,-20.00,74.26,54.26,-20.0390,-0.8017,-0.410016,-0.489843,-0.001336,0.000000,0.081164,1600,15.7047
0.0402,3,0.0390,-0.0000,0.005,-0.0000,-20.00,74.26,54.26,-20.0390,-1.2025,-0.410684,-0.489843,-0.002004,0.000000,0.081164,1650,15.7047
0.0603,4,0.0390,-0.0000,0.005,-0.0000,-20.00,74.26,54.26,-20.0390,-1.6032,-0.411352,-0.489843,-0.002672,0.000000,0.081164,1679,15.7047
0.0803,5,0.0390,-0.0000,0.005,-0.0000,-20.00,74.26,54.26,-20.0390,-2.0040,-0.412019,-0.489843,-0.003340,0.000000,0.081164,1679,15.7047
0.1006,6,0.0390,-0.0000,0.005,-0.0000,-20.00,74.26,54.26,-20.0390,-2.4048,-0.412687,-0.489843,-0.004008,0.000000,0.081164,1679,15.7047
0.1207,7,0.0390,-0.0000,0.005,-0.0000,-20.00,74.26,54.26,-20.0390,-2.8056,-0.413355,-0.489843,-0.004676,0.000000,0.081164,1680,15.7047
0.1408,8,0.0390,-0.0000,0.005,-0.0000,-20.00,74.26,54.26,-20.0390,-3.2064,-0.414023,-0.489843,-0.005344,0.000000,0.081164,1680,15.7047
0.1609,9,0.0390,-0.0000,0.005,-0.0000,-20.00,74.26,54.26,-20.0390,-3.6071,-0.414691,-0.489843,-0.006012,0.000000,0.081164,1680,15.7047
0.1810,10,0.0446,-0.0000,0.016,0.2238,-20.00,74.26,54.26,-20.0446,-4.0080,-0.416987,-0.489978,-0.006680,-0.001492,0.081164,1681,15.6991
0.2010,11,0.0446,-0.0000,0.016,0.2238,-20.00,74.26,54.26,-20.0446,-4.4089,-0.417655,-0.489978,-0.007348,-0.001492,0.081164,1681,15.6991
0.2211,12,0.0344,-0.0000,0.0176,0.2238,-20.00,74.26,54.26,-20.0344,-4.8096,-0.418075,-0.489731,-0.008016,-0.001492,0.081164,1681,15.7093
0.2412,13,0.0344,-0.0000,0.0176,-0.4476,-20.00,74.26,54.26,-20.0344,-5.2103,-0.414267,-0.489731,-0.008684,0.002984,0.081164,1680,15.7093
0.2613,14,0.0344,-0.0000,0.0176,-0.4476,-20.00,74.26,54.26,-20.0344,-5.6110,-0.414935,-0.489731,-0.009352,0.002984,0.081164,1680,15.7093
0.2814,15,-0.0165,-0.0000,0.0143,-2.5738,-20.00,74.26,54.26,-19.9835,-6.0107,-0.400180,-0.488485,-0.010018,0.017159,0.081164,1675,15.7602
0.3015,16,-0.0165,-0.1800,0.0143,-2.5738,-20.00,74.26,54.26,-19.9835,-6.4103,-0.400847,-0.488485,-0.010684,0.017159,0.081164,1675,15.7602
0.3216,17,-0.2002,-0.3600,0.0438,-7.0501,-20.00,74.26,54.26,-19.7998,-6.8063,-0.367174,-0.483994,-0.011344,0.047000,0.081164,1662,15.9439
0.3416,18,-0.2002,-0.5400,0.0438,-7.0501,-20.00,74.26,54.26,-19.7998,-7.2023,-0.367834,-0.483994,-0.012004,0.047000,0.081164,1662,15.9439
