t_s,iteration,sensor_mode,new_data,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,enc,1,-0.0000,0.0000,-0.0000,-0.0148,0.1184,10.00,82.13,10.0000,0.0500,0.938470,0.088889,0.000167,-0.000000,0.849414,1498
0.0090,2,enc,0,-0.0000,0.0000,-0.0000,-0.0148,0.1184,10.00,82.13,10.0000,0.1000,0.938637,0.088889,0.000333,-0.000000,0.849414,1496
0.0144,3,enc,0,-0.0000,0.0000,-0.0000,-0.0148,0.1184,10.00,82.13,10.0000,0.1500,0.938803,0.088889,0.000500,-0.000000,0.849414,1494
0.0194,4,enc,0,-0.0000,0.0000,-0.0000,-0.0148,0.1184,10.00,82.13,10.0000,0.2000,0.938970,0.088889,0.000667,-0.000000,0.849414,1492
0.0245,5,enc,0,-0.0000,0.0000,-0.0000,-0.0148,0.1184,10.00,82.13,10.0000,0.2500,0.939137,0.088889,0.000833,-0.000000,0.849414,1490
0.0296,6,enc,0,-0.0000,0.0000,-0.0000,-0.0148,0.1184,10.00,82.13,10.0000,0.3000,0.939303,0.088889,0.001000,-0.000000,0.849414,1488
0.0347,7,enc,1,-0.0000,0.0000,-0.0000,-0.0068,0.1576,10.00,82.13,10.0000,0.3500,0.939470,0.088889,0.001167,-0.000000,0.849414,1486
0.0398,8,enc,0,-0.0000,0.0000,-0.0000,-0.0068,0.1576,10.00,82.13,10.0000,0.4000,0.939637,0.088889,0.001333,-0.000000,0.849414,1484
0.0449,9,enc,0,-0.0000,0.0000,-0.0000,-0.0068,0.1576,10.00,82.13,10.0000,0.4500,0.939803,0.088889,0.001500,-0.000000,0.849414,1482
0.0500,10,enc,0,-0.0000,0.0000,-0.0000,-0.0068,0.1576,10.00,82.13,10.0000,0.5000,0.939970,0.088889,0.001667,-0.000000,0.849414,1480
0.0551,11,enc,0,-0.0000,0.0000,-0.0000,-0.0068,0.1576,10.00,82.13,10.0000,0.5500,0.940137,0.088889,0.001833,-0.000000,0.849414,1478
0.0602,12,enc,0,-0.0000,0.0000,-0.0000,-0.0068,0.1576,10.00,82.13,10.0000,0.6000,0.940303,0.088889,0.002000,-0.000000,0.849414,1476
0.0652,13,enc,0,-0.0000,0.0000,-0.0000,-0.0068,0.1576,10.00,82.13,10.0000,0.6500,0.940470,0.088889,0.002167,-0.000000,0.849414,1474
0.0703,14,enc,1,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,0.7000,0.940637,0.088889,0.002333,-0.000000,0.849414,1472
0.0754,15,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,0.7500,0.940803,0.088889,0.002500,-0.000000,0.849414,1470
0.0804,16,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,0.8000,0.940970,0.088889,0.002667,-0.000000,0.849414,1468
0.0855,17,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,0.8500,0.941137,0.088889,0.002833,-0.000000,0.849414,1466
0.0911,18,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,0.9000,0.941303,0.088889,0.003000,-0.000000,0.849414,1464
0.0962,19,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,0.9500,0.941470,0.088889,0.003167,-0.000000,0.849414,1462
0.1013,20,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,1.0000,0.941637,0.088889,0.003333,-0.000000,0.849414,1460
0.1064,21,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,1.0500,0.941803,0.088889,0.003500,-0.000000,0.849414,1458
0.1115,22,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,1.1000,0.941970,0.088889,0.003667,-0.000000,0.849414,1456
0.1165,23,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,1.1500,0.942137,0.088889,0.003833,-0.000000,0.849414,1454
0.1216,24,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,1.2000,0.942303,0.088889,0.004000,-0.000000,0.849414,1452
0.1267,25,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,1.2500,0.942470,0.088889,0.004167,-0.000000,0.849414,1450
0.1317,26,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,1.3000,0.942637,0.088889,0.004333,-0.000000,0.849414,1448
0.1368,27,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,1.3500,0.942803,0.088889,0.004500,-0.000000,0.849414,1446
0.1419,28,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,1.4000,0.942970,0.088889,0.004667,-0.000000,0.849414,1444
0.1470,29,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,1.4500,0.943137,0.088889,0.004833,-0.000000,0.849414,1442
0.1521,30,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,1.5000,0.943303,0.088889,0.005000,-0.000000,0.849414,1440
0.1571,31,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,1.5500,0.943470,0.088889,0.005167,-0.000000,0.849414,1438
0.1622,32,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,1.6000,0.943637,0.088889,0.005333,-0.000000,0.849414,1436
0.1673,33,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,1.6500,0.943803,0.088889,0.005500,-0.000000,0.849414,1434
0.1723,34,enc,0,-0.0000,0.0000,-0.0000,0.026,0.164,10.00,82.13,10.0000,1.7000,0.943970,0.088889,0.005667,-0.000000,0.849414,1432
0.1774,35,enc,1,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,1.7500,0.944137,0.088889,0.005833,-0.000000,0.849414,1430
0.1825,36,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,1.8000,0.944303,0.088889,0.006000,-0.000000,0.849414,1428
0.1876,37,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,1.8500,0.944470,0.088889,0.006167,-0.000000,0.849414,1426
0.1926,38,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,1.9000,0.944637,0.088889,0.006333,-0.000000,0.849414,1424
0.1977,39,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,1.9500,0.944803,0.088889,0.006500,-0.000000,0.849414,1422
0.2028,40,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.0000,0.944970,0.088889,0.006667,-0.000000,0.849414,1420
0.2079,41,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.0500,0.945137,0.088889,0.006833,-0.000000,0.849414,1418
0.2129,42,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.1000,0.945303,0.088889,0.007000,-0.000000,0.849414,1416
0.2180,43,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.1500,0.945470,0.088889,0.007167,-0.000000,0.849414,1414
0.2231,44,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.2000,0.945637,0.088889,0.007333,-0.000000,0.849414,1412
0.2281,45,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.2500,0.945803,0.088889,0.007500,-0.000000,0.849414,1410
0.2332,46,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.3000,0.945970,0.088889,0.007667,-0.000000,0.849414,1408
0.2383,47,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.3500,0.946137,0.088889,0.007833,-0.000000,0.849414,1406
0.2434,48,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.4000,0.946303,0.088889,0.008000,-0.000000,0.849414,1404
0.2484,49,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.4500,0.946470,0.088889,0.008167,-0.000000,0.849414,1402
0.2535,50,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.5000,0.946637,0.088889,0.008333,-0.000000,0.849414,1400
0.2586,51,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.5500,0.946803,0.088889,0.008500,-0.000000,0.849414,1398
0.2637,52,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.6000,0.946970,0.088889,0.008667,-0.000000,0.849414,1396
0.2687,53,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.6500,0.947137,0.088889,0.008833,-0.000000,0.849414,1394
0.2738,54,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.7000,0.947303,0.088889,0.009000,-0.000000,0.849414,1392
0.2789,55,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.7500,0.947470,0.088889,0.009167,-0.000000,0.849414,1390
0.2840,56,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.8000,0.947637,0.088889,0.009333,-0.000000,0.849414,1388
0.2891,57,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.8500,0.947803,0.088889,0.009500,-0.000000,0.849414,1386
0.2941,58,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.9000,0.947970,0.088889,0.009667,-0.000000,0.849414,1384
0.2992,59,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,2.9500,0.948137,0.088889,0.009833,-0.000000,0.849414,1382
0.3043,60,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,3.0000,0.948303,0.088889,0.010000,-0.000000,0.849414,1380
0.3093,61,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,3.0500,0.948470,0.088889,0.010167,-0.000000,0.849414,1378
0.3144,62,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,3.1000,0.948637,0.088889,0.010333,-0.000000,0.849414,1376
0.3195,63,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,3.1500,0.948803,0.088889,0.010500,-0.000000,0.849414,1374
0.3245,64,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,3.2000,0.948970,0.088889,0.010667,-0.000000,0.849414,1372
0.3296,65,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,3.2500,0.949137,0.088889,0.010833,-0.000000,0.849414,1370
0.3347,66,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,3.3000,0.949303,0.088889,0.011000,-0.000000,0.849414,1368
0.3398,67,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,3.3500,0.949470,0.088889,0.011167,-0.000000,0.849414,1366
0.3448,68,enc,0,-0.0000,0.0000,-0.0000,-0.0218,0.1337,10.00,82.13,10.0000,3.4000,0.949637,0.088889,0.011333,-0.000000,0.849414,1364
0.3499,69,enc,1,-0.0000,0.0000,-0.0000,-0.0138,0.1731,10.00,82.13,10.0000,3.4500,0.949803,0.088889,0.011500,-0.000000,0.849414,1362
0.3550,70,enc,0,-0.0000,0.0000,-0.0000,-0.0138,0.1731,10.00,82.13,10.0000,3.5000,0.949970,0.088889,0.011667,-0.000000,0.849414,1360
0.3601,71,enc,0,-0.0000,0.0000,-0.0000,-0.0138,0.1731,10.00,82.13,10.0000,3.5500,0.950137,0.088889,0.011833,-0.000000,0.849414,1358
0.3651,72,enc,0,-0.0000,0.0000,-0.0000,-0.0138,0.1731,10.00,82.13,10.0000,3.6000,0.950303,0.088889,0.012000,-0.000000,0.849414,1356
0.3702,73,enc,0,-0.0000,0.0000,-0.0000,-0.0138,0.1731,10.00,82.13,10.0000,3.6500,0.950470,0.088889,0.012167,-0.000000,0.849414,1354
0.3753,74,enc,0,-0.0000,0.0000,-0.0000,-0.0138,0.1731,10.00,82.13,10.0000,3.7000,0.950637,0.088889,0.012333,-0.000000,0.849414,1352
0.3803,75,enc,0,-0.0000,0.0000,-0.0000,-0.0138,0.1731,10.00,82.13,10.0000,3.7500,0.950803,0.088889,0.012500,-0.000000,0.849414,1350
0.3854,76,enc,0,-0.0000,0.0000,-0.0000,-0.0138,0.1731,10.00,82.13,10.0000,3.8000,0.950970,0.088889,0.012667,-0.000000,0.849414,1348
0.3905,77,enc,1,-0.0000,0.0000,-0.0000,0.019,0.1795,10.00,82.13,10.0000,3.8500,0.951137,0.088889,0.012833,-0.000000,0.849414,1346
0.3956,78,enc,1,-0.0000,0.0000,-0.0000,-0.0288,0.1492,10.00,82.13,10.0000,3.9000,0.951303,0.088889,0.013000,-0.000000,0.849414,1344
0.4006,79,enc,0,-0.0000,0.0000,-0.0000,-0.0288,0.1492,10.00,82.13,10.0000,3.9500,0.951470,0.088889,0.013167,-0.000000,0.849414,1342
0.4057,80,enc,1,-0.0000,0.0000,-0.0000,-0.04,0.1681,10.00,82.13,10.0000,4.0000,0.951637,0.088889,0.013333,-0.000000,0.849414,1340
0.4108,81,enc,1,-0.0000,0.0000,-0.0000,-0.055,0.1441,10.00,82.13,10.0000,4.0500,0.951803,0.088889,0.013500,-0.000000,0.849414,1338
0.4158,82,enc,1,-0.0000,0.0000,-0.0000,-0.0332,0.1695,10.00,82.13,10.0000,4.1000,0.951970,0.088889,0.013667,-0.000000,0.849414,1336
0.4209,83,enc,0,-0.0000,0.0000,-0.0000,-0.0332,0.1695,10.00,82.13,10.0000,4.1500,0.952137,0.088889,0.013833,-0.000000,0.849414,1334
0.4260,84,enc,1,-0.0000,0.0000,-0.0000,-0.0701,0.1201,10.00,82.13,10.0000,4.2000,0.952303,0.088889,0.014000,-0.000000,0.849414,1332
0.4310,85,enc,1,-0.0000,0.0000,-0.0000,-0.0588,0.1011,10.00,82.13,10.0000,4.2500,0.952470,0.088889,0.014167,-0.000000,0.849414,1330
0.4361,86,enc,1,-0.0000,0.0000,-0.0000,-0.0258,0.1076,10.00,82.13,10.0000,4.3000,0.952637,0.088889,0.014333,-0.000000,0.849414,1328
0.4412,87,enc,1,-0.0000,0.0000,-0.0000,-0.0546,0.0734,10.00,82.13,10.0000,4.3500,0.952803,0.088889,0.014500,-0.000000,0.849414,1326
0.4463,88,enc,0,-0.0000,0.0000,-0.0000,-0.0696,0.0734,10.00,82.13,10.0000,4.4000,0.952970,0.088889,0.014667,-0.000000,0.849414,1324
0.4514,89,enc,1,-0.0000,0.0000,-0.0000,-0.1024,0.0201,10.00,82.13,10.0000,4.4500,0.953137,0.088889,0.014833,-0.000000,0.849414,1322
0.4565,90,enc,0,-0.0000,0.0000,-0.0000,-0.1024,0.0201,10.00,82.13,10.0000,4.5000,0.953303,0.088889,0.015000,-0.000000,0.849414,1320
0.4617,91,enc,1,-0.0000,0.0000,-0.0000,-0.1284,-0.0325,10.00,82.13,10.0000,4.5500,0.953470,0.088889,0.015167,-0.000000,0.849414,1318
0.4667,92,enc,0,0.1800,10.8000,0.1800,-0.1284,-0.0308,10.00,82.13,9.8200,4.5991,0.892034,0.087289,0.015330,-0.060000,0.849414,1316
0.4718,93,enc,0,0.1800,7.5600,0.1800,-0.0977,-0.0308,10.00,82.13,9.8200,4.6482,0.910197,0.087289,0.015494,-0.042000,0.849414,1314
0.4769,94,enc,1,0.1800,5.2920,0.1800,-0.0858,-0.1132,10.00,82.13,9.8200,4.6973,0.922961,0.087289,0.015658,-0.029400,0.849414,1312
0.4819,95,enc,0,0.1800,3.7044,0.1800,-0.0858,-0.1568,10.00,82.13,9.8200,4.7464,0.931945,0.087289,0.015821,-0.020580,0.849414,1310
0.4870,96,enc,0,0.1800,2.5931,0.1800,-0.0897,-0.2448,10.00,82.13,9.8200,4.7955,0.938282,0.087289,0.015985,-0.014406,0.849414,1308
0.4921,97,enc,0,0.1800,1.8152,0.1800,-0.1042,-0.2448,10.00,82.13,9.8200,4.8446,0.942768,0.087289,0.016149,-0.010084,0.849414,1306
0.4971,98,enc,1,0.1800,1.2706,0.1800,-0.0989,-0.36,10.00,82.13,9.8200,4.8937,0.945957,0.087289,0.016312,-0.007059,0.849414,1304
0.5022,99,enc,1,0.1800,0.8894,0.1800,-0.1403,-0.3913,10.00,82.13,9.8200,4.9428,0.948238,0.087289,0.016476,-0.004941,0.849414,1302
0.5073,100,enc,1,0.1800,0.6226,0.1800,-0.1549,-0.4651,10.00,82.13,9.8200,4.9919,0.949884,0.087289,0.016640,-0.003459,0.849414,1300
0.5124,101,enc,1,0.3600,11.2358,0.3600,-0.1738,-0.535,10.00,82.13,9.6400,5.0401,0.889482,0.085689,0.016800,-0.062421,0.849414,1298
0.5175,102,enc,1,0.3600,7.8651,0.3600,-0.2221,-0.6163,10.00,82.13,9.6400,5.0883,0.908369,0.085689,0.016961,-0.043695,0.849414,1296
0.5226,103,enc,1,0.3600,5.5056,0.3600,-0.2706,-0.6983,10.00,82.13,9.6400,5.1365,0.921639,0.085689,0.017122,-0.030586,0.849414,1294
0.5276,104,enc,1,0.3600,3.8539,0.3600,-0.2474,-0.7228,10.00,82.13,9.6400,5.1847,0.930975,0.085689,0.017282,-0.021410,0.849414,1292
0.5327,105,enc,1,0.3600,2.6977,0.3600,-0.2619,-0.7993,10.00,82.13,9.6400,5.2329,0.937559,0.085689,0.017443,-0.014987,0.849414,1290
0.5378,106,enc,1,0.3600,1.8884,0.3600,-0.3342,-0.9499,10.00,82.13,9.6400,5.2811,0.942216,0.085689,0.017604,-0.010491,0.849414,1288
0.5428,107,enc,1,0.5400,12.1219,0.5400,-0.3488,-1.0279,10.00,82.13,9.4600,5.3284,0.883921,0.084089,0.017761,-0.067344,0.849414,1286
0.5479,108,enc,1,0.5400,8.4853,0.5400,-0.4016,-1.1595,10.00,82.13,9.4600,5.3757,0.904282,0.084089,0.017919,-0.047141,0.849414,1284
0.5530,109,enc,1,0.5400,5.9397,0.5400,-0.4082,-1.3052,10.00,82.13,9.4600,5.4230,0.918582,0.084089,0.018077,-0.032998,0.849414,1282
0.5580,110,enc,1,0.5400,4.1578,0.5400,-0.466,-1.4332,10.00,82.13,9.4600,5.4703,0.928639,0.084089,0.018234,-0.023099,0.849414,1280
0.5631,111,enc,1,0.7200,13.7105,0.7200,-0.4843,-1.5619,10.00,82.13,9.2800,5.5167,0.874123,0.082489,0.018389,-0.076169,0.849414,1278
0.5682,112,enc,1,0.7200,9.5973,0.7200,-0.5024,-1.692,10.00,82.13,9.2800,5.5631,0.897129,0.082489,0.018544,-0.053318,0.849414,1276
0.5732,113,enc,1,0.7200,6.7181,0.7200,-0.5205,-1.8235,10.00,82.13,9.2800,5.6095,0.913279,0.082489,0.018698,-0.037323,0.849414,1274
0.5783,114,enc,1,0.7200,4.7027,0.7200,-0.5897,-1.992,10.00,82.13,9.2800,5.6559,0.924630,0.082489,0.018853,-0.026126,0.849414,1272
0.5834,115,enc,1,0.9000,14.0919,0.9000,-0.6386,-2.1405,10.00,82.13,9.1000,5.7014,0.871020,0.080889,0.019005,-0.078288,0.849414,1270
0.5885,116,enc,1,0.9000,9.8643,0.9000,-0.6724,-2.3068,10.00,82.13,9.1000,5.7469,0.894658,0.080889,0.019156,-0.054802,0.849414,1268
0.5935,117,enc,1,0.9000,6.9050,0.9000,-0.7463,-2.5321,10.00,82.13,9.1000,5.7924,0.911250,0.080889,0.019308,-0.038361,0.849414,1266
0.5986,118,enc,1,1.0800,15.6335,1.0800,-0.7803,-2.7035,10.00,82.13,8.9200,5.8370,0.861307,0.079289,0.019457,-0.086853,0.849414,1264
0.6037,119,enc,1,1.0800,10.9435,1.0800,-0.8088,-2.8861,10.00,82.13,8.9200,5.8816,0.887512,0.079289,0.019605,-0.060797,0.849414,1262
0.6088,120,enc,1,1.0800,7.6604,1.0800,-0.8871,-3.1732,10.00,82.13,8.9200,5.9262,0.905899,0.079289,0.019754,-0.042558,0.849414,1260
0.6138,121,enc,1,1.2600,16.1623,1.2600,-0.9372,-3.3864,10.00,82.13,8.7400,5.9699,0.857212,0.077689,0.019900,-0.089791,0.849414,1258
0.6190,122,enc,1,1.2600,11.3136,1.2600,-1.007,-3.6398,10.00,82.13,8.7400,6.0136,0.884295,0.077689,0.020045,-0.062853,0.849414,1256
0.6240,123,enc,1,1.2600,7.9195,1.2600,-1.061,-3.9153,10.00,82.13,8.7400,6.0573,0.903297,0.077689,0.020191,-0.043997,0.849414,1254
0.6291,124,enc,1,1.4400,16.3437,1.4400,-1.1314,-4.1787,10.00,82.13,8.5600,6.1001,0.855039,0.076089,0.020334,-0.090798,0.849414,1252
0.6342,125,enc,1,1.4400,11.4406,1.4400,-1.2154,-4.5475,10.00,82.13,8.5600,6.1429,0.882421,0.076089,0.020476,-0.063559,0.849414,1250
0.6393,126,enc,1,1.6200,18.8084,1.6200,-1.2736,-4.8422,10.00,82.13,8.3800,6.1848,0.840028,0.074489,0.020616,-0.104491,0.849414,1248
0.6443,127,enc,1,1.6200,13.1659,1.6200,-1.3157,-5.1675,10.00,82.13,8.3800,6.2267,0.871515,0.074489,0.020756,-0.073144,0.849414,1246
0.6494,128,enc,1,1.8000,20.0161,1.8000,-1.3702,-5.4732,10.00,82.13,8.2000,6.2677,0.831995,0.072889,0.020892,-0.111201,0.849414,1244
0.6545,129,enc,1,1.8000,14.0113,1.8000,-1.4624,-5.8667,10.00,82.13,8.2000,6.3087,0.865492,0.072889,0.021029,-0.077840,0.849414,1242
0.6596,130,enc,1,1.9800,20.6079,1.9800,-1.5554,-6.2704,10.00,82.13,8.0200,6.3488,0.827378,0.071289,0.021163,-0.114488,0.849414,1240
0.6647,131,enc,1,1.9800,14.4255,1.9800,-1.6353,-6.7045,10.00,82.13,8.0200,6.3889,0.861858,0.071289,0.021296,-0.080142,0.849414,1238
0.6697,132,enc,1,2.1600,20.8979,2.1600,-1.7086,-7.1671,10.00,82.13,7.8400,6.4281,0.824431,0.069689,0.021427,-0.116099,0.849414,1236
0.6748,133,enc,1,2.1600,14.6285,2.1600,-1.8033,-7.6042,10.00,82.13,7.8400,6.4673,0.859391,0.069689,0.021558,-0.081269,0.849414,1234
