t_s,iteration,psi_enc_deg,psi_dot_enc_dps,phi_yaw_deg,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,-0.0000,0.0000,0.3017,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1480
0.0052,2,-0.0000,0.0000,0.3017,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1460
0.0103,3,-0.0000,0.0000,0.3017,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1440
0.0153,4,-0.0000,0.0000,0.3017,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1420
0.0204,5,-0.0000,0.0000,0.3017,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1400
0.0255,6,-0.0000,0.0000,0.3017,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1380
0.0306,7,-0.0000,0.0000,0.3017,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1360
0.0356,8,-0.0000,0.0000,0.3017,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1340
0.0407,9,-0.0000,0.0000,0.3017,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1320
0.0458,10,-0.0000,0.0000,0.1888,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1300
0.0508,11,-0.0000,0.0000,0.1888,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1280
0.0559,12,-0.0000,0.0000,0.1888,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1268
0.0610,13,-0.0000,0.0000,0.1888,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1268
0.0661,14,-0.0000,0.0000,0.1888,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1268
0.0712,15,-0.0000,0.0000,0.1888,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1268
0.0762,16,-0.0000,0.0000,0.1888,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1268
0.0814,17,-0.0000,0.0000,0.1888,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1268
0.0864,18,-0.0000,0.0000,0.1888,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1268
0.0915,19,-0.0000,0.0000,0.1888,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1268
0.0966,20,-0.0000,0.0000,0.1888,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1268
0.1016,21,-0.0000,0.0000,0.1888,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1268
0.1067,22,-0.0000,0.0000,0.1888,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1268
0.1118,23,-0.0000,0.0000,0.1888,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1268
0.1169,24,-0.0000,0.0000,0.1888,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1268
0.1219,25,-0.0000,0.0000,0.1888,90.00,85.26,175.26,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.020655,1268
