t_s,iteration,psi_imu_deg,psi_enc_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0000,-0.0000,-0.0000,20.00,20.0000,0.398444,0.022222,0.000000,0.376222,1325,-82.0906
0.0201,2,-0.0000,-0.0000,-0.0000,20.00,20.0000,0.398444,0.022222,0.000000,0.376222,1325,-82.0906
0.0402,3,-0.0000,-0.0000,-0.0000,20.00,20.0000,0.398444,0.022222,0.000000,0.376222,1325,-82.0906
0.0603,4,-0.0000,-0.0000,-0.0000,20.00,20.0000,0.398444,0.022222,0.000000,0.376222,1325,-82.0906
0.0804,5,-0.0000,-0.0000,-0.0000,20.00,20.0000,0.398444,0.022222,0.000000,0.376222,1325,-82.0545
0.1005,6,-0.0000,-0.0000,-0.0000,20.00,20.0000,0.398444,0.022222,0.000000,0.376222,1325,-82.0545
0.1206,7,-0.0000,-0.0000,-0.0000,20.00,20.0000,0.398444,0.022222,0.000000,0.376222,1325,-82.0545
0.1407,8,-0.0000,-0.0000,-0.0000,20.00,20.0000,0.398444,0.022222,0.000000,0.376222,1325,-82.0545
0.1609,9,-0.0000,-0.0000,-0.0000,20.00,20.0000,0.398444,0.022222,0.000000,0.376222,1325,-82.0545
0.1811,10,-0.0000,-0.0000,-0.0000,20.00,20.0000,0.398444,0.022222,0.000000,0.376222,1325,-82.0545
0.2011,11,-0.0000,-0.0000,-0.0000,20.00,20.0000,0.398444,0.022222,0.000000,0.376222,1325,-82.0545
0.2212,12,0.1800,0.1800,-0.0000,20.00,19.8200,0.398244,0.022022,0.000000,0.376222,1325,-82.0545
0.2413,13,0.1800,0.1800,-0.0000,20.00,19.8200,0.398244,0.022022,0.000000,0.376222,1325,-82.0545
0.2614,14,0.1800,0.1800,-0.0000,20.00,19.8200,0.398244,0.022022,0.000000,0.376222,1325,-82.0545
0.2815,15,0.1800,0.1800,-0.0000,20.00,19.8200,0.398244,0.022022,0.000000,0.376222,1325,-82.0457
0.3016,16,0.1800,0.1800,-0.0000,20.00,19.8200,0.398244,0.022022,0.000000,0.376222,1325,-82.0457
0.3217,17,0.1800,0.1800,-0.0000,20.00,19.8200,0.398244,0.022022,0.000000,0.376222,1325,-82.0457
0.3418,18,0.1800,0.1800,-3.1334,20.00,19.8200,0.408689,0.022022,0.010445,0.376222,1321,-82.1161
0.3619,19,0.1800,0.1800,-3.1334,20.00,19.8200,0.408689,0.022022,0.010445,0.376222,1321,-82.1161
0.3820,20,0.3600,0.3600,-3.1334,20.00,19.6400,0.408489,0.021822,0.010445,0.376222,1321,-82.2444
0.4021,21,0.3600,0.3600,-6.3786,20.00,19.6400,0.419306,0.021822,0.021262,0.376222,1317,-82.2444
0.4222,22,0.5400,0.5400,-6.3786,20.00,19.4600,0.419106,0.021622,0.021262,0.376222,1317,-82.2444
0.4423,23,0.7200,0.7200,-6.7143,20.00,19.2800,0.420026,0.021422,0.022381,0.376222,1317,-82.4874
0.4624,24,0.9000,0.9000,-6.7143,20.00,19.1000,0.419826,0.021222,0.022381,0.376222,1317,-82.4874
0.4825,25,1.0800,1.0800,-6.7143,20.00,18.9200,0.419626,0.021022,0.022381,0.376222,1317,-82.8666
0.5025,26,1.2600,1.2600,-10.5191,20.00,18.7400,0.432108,0.020822,0.035064,0.376222,1312,-82.8666
0.5226,27,1.4400,1.6200,-10.5191,20.00,18.5600,0.431908,0.020622,0.035064,0.376222,1313,-82.8666
0.5427,28,1.8000,1.8000,-13.9882,20.00,18.2000,0.443072,0.020222,0.046627,0.376222,1308,-83.3314
0.5628,29,2.1600,2.1600,-13.9882,20.00,17.8400,0.442672,0.019822,0.046627,0.376222,1308,-83.3314
0.5829,30,2.5200,2.5200,-13.9882,20.00,17.4800,0.442272,0.019422,0.046627,0.376222,1309,-84.0163
0.6031,31,2.8800,2.8800,-17.3454,20.00,17.1200,0.453062,0.019022,0.057818,0.376222,1305,-84.0163
0.6232,32,3.2400,3.2400,-17.3454,20.00,16.7600,0.452662,0.018622,0.057818,0.376222,1305,-84.0163
0.6433,33,3.6000,3.7800,-19.8073,20.00,16.4000,0.460469,0.018222,0.066024,0.376222,1302,-84.7400
0.6634,34,3.9600,4.1400,-19.8073,20.00,16.0400,0.460069,0.017822,0.066024,0.376222,1302,-84.7400
0.6835,35,4.5000,4.5000,-19.8073,20.00,15.5000,0.459469,0.017222,0.066024,0.376222,1302,-85.4722
0.7036,36,4.8600,5.0400,-22.3812,20.00,15.1400,0.467648,0.016822,0.074604,0.376222,1299,-85.4722
0.7237,37,5.4000,5.4000,-22.3812,20.00,14.6000,0.467048,0.016222,0.074604,0.376222,1299,-85.4722
0.7438,38,5.9400,5.9400,-22.7169,20.00,14.0600,0.467567,0.015622,0.075723,0.376222,1299,-86.1055
0.7639,39,6.3000,6.3000,-22.7169,20.00,13.7000,0.467167,0.015222,0.075723,0.376222,1299,-86.1055
0.7840,40,6.8400,6.8400,-22.7169,20.00,13.1600,0.466567,0.014622,0.075723,0.376222,1300,-86.5402
0.8041,41,7.2000,7.3800,-22.7169,20.00,12.8000,0.466167,0.014222,0.075723,0.376222,1300,-86.5402
0.8242,42,7.7400,7.7400,-22.7169,20.00,12.2600,0.465567,0.013622,0.075723,0.376222,1300,-86.5402
0.8443,43,8.1000,8.2800,-21.1502,20.00,11.9000,0.459945,0.013222,0.070501,0.376222,1302,-86.6297
0.8643,44,8.6400,8.6400,-21.1502,20.00,11.3600,0.459345,0.012622,0.070501,0.376222,1302,-86.6297
0.8845,45,9.0000,9.0000,-21.1502,20.00,11.0000,0.458945,0.012222,0.070501,0.376222,1302,-86.2915
0.9046,46,9.3600,9.3600,-19.9192,20.00,10.6400,0.454442,0.011822,0.066397,0.376222,1304,-86.2915
0.9247,47,9.7200,9.7200,-19.9192,20.00,10.2800,0.454042,0.011422,0.066397,0.376222,1304,-86.2915
0.9448,48,10.0800,10.0800,-17.0097,20.00,9.9200,0.443943,0.011022,0.056699,0.376222,1308,-85.7552
