t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0691,-0.0000,0.0062,-0.0000,45.00,44.9309,0.600000,1.747313,0.000000,1.343503,1250,15.0022
0.0201,2,0.0691,-0.0000,0.0062,-0.0000,45.00,44.9309,0.600000,1.747313,0.000000,1.343503,1250,15.0022
0.0402,3,0.0630,-0.0000,0.0064,-0.0000,45.00,44.9370,0.600000,1.747551,0.000000,1.343503,1250,15.0083
0.0603,4,0.0630,-0.0000,0.0064,-0.0000,45.00,44.9370,0.600000,1.747551,0.000000,1.343503,1250,15.0083
0.0804,5,0.0630,-0.0000,0.0064,-0.0000,45.00,44.9370,0.600000,1.747551,0.000000,1.343503,1250,15.0083
0.1005,6,0.0630,-0.0000,0.0064,-0.0000,45.00,44.9370,0.600000,1.747551,0.000000,1.343503,1250,15.0083
0.1205,7,0.0630,-0.0000,0.0064,-0.0000,45.00,44.9370,0.600000,1.747551,0.000000,1.343503,1250,15.0083
0.1406,8,0.0691,-0.0000,0.0062,-0.0000,45.00,44.9309,0.600000,1.747313,0.000000,1.343503,1250,15.0022
0.1607,9,0.0691,-0.0000,0.0062,-0.0000,45.00,44.9309,0.600000,1.747313,0.000000,1.343503,1250,15.0022
0.1808,10,0.0691,-0.0000,0.0062,-0.0000,45.00,44.9309,0.600000,1.747313,0.000000,1.343503,1250,15.0022
0.2009,11,0.0691,-0.0000,0.0062,-0.0000,45.00,44.9309,0.600000,1.747313,0.000000,1.343503,1250,15.0022
0.2210,12,0.0691,-0.0000,0.0062,-0.0000,45.00,44.9309,0.600000,1.747313,0.000000,1.343503,1250,15.0022
0.2411,13,0.0691,-0.0000,0.0062,-0.0000,45.00,44.9309,0.600000,1.747313,0.000000,1.343503,1250,15.0022
0.2611,14,0.0691,-0.0000,0.0062,-0.0000,45.00,44.9309,0.600000,1.747313,0.000000,1.343503,1250,15.0022
0.2812,15,0.1142,-0.0000,-0.0031,-0.0000,45.00,44.8858,0.600000,1.745561,0.000000,1.343503,1250,14.9571
0.3013,16,0.1142,0.1800,-0.0031,1.9024,45.00,44.8858,0.600000,1.745561,-0.025365,1.343503,1250,14.9571
0.3214,17,0.1142,0.1800,-0.0031,1.9024,45.00,44.8858,0.600000,1.745561,-0.025365,1.343503,1250,14.9571
0.3415,18,0.2334,0.1800,-0.0045,4.7000,45.00,44.7666,0.600000,1.740925,-0.062667,1.343503,1250,14.8379
0.3615,19,0.2334,0.3600,-0.0045,4.7000,45.00,44.7666,0.600000,1.740925,-0.062667,1.343503,1250,14.8379
0.3816,20,0.4258,0.3600,-0.0172,4.7000,45.00,44.5742,0.600000,1.733441,-0.062667,1.343503,1250,14.6455
0.4017,21,0.4258,0.3600,-0.0172,3.4691,45.00,44.5742,0.600000,1.733441,-0.046254,1.343503,1250,14.6455
0.4218,22,0.4258,0.5400,-0.0172,3.4691,45.00,44.5742,0.600000,1.733441,-0.046254,1.343503,1250,14.6455
0.4418,23,0.5941,0.5400,-0.0259,2.7976,45.00,44.4059,0.600000,1.726894,-0.037302,1.343503,1250,14.4771
0.4619,24,0.5941,0.5400,-0.0259,2.7976,45.00,44.4059,0.600000,1.726894,-0.037302,1.343503,1250,14.4771
0.4820,25,0.7244,0.7200,-0.0306,2.7976,45.00,44.2756,0.600000,1.721830,-0.037302,1.343503,1250,14.3469
0.5021,26,0.7244,0.7200,-0.0306,1.7905,45.00,44.2756,0.600000,1.721830,-0.023873,1.343503,1250,14.3469
0.5222,27,0.7244,0.7200,-0.0306,1.7905,45.00,44.2756,0.600000,1.721830,-0.023873,1.343503,1250,14.3469
0.5422,28,0.8103,0.7200,-0.0353,0.5595,45.00,44.1897,0.600000,1.718486,-0.007460,1.343503,1250,14.2609
