t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-0.1001,-0.399008,-0.555985,-0.001112,0.000000,0.158089,1520,17.7575
0.0057,2,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-0.2002,-0.400120,-0.555985,-0.002224,0.000000,0.158089,1540,17.7575
0.0107,3,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-0.3002,-0.401232,-0.555985,-0.003336,0.000000,0.158089,1560,17.7575
0.0158,4,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-0.4003,-0.402344,-0.555985,-0.004448,0.000000,0.158089,1580,17.7575
0.0209,5,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-0.5004,-0.403456,-0.555985,-0.005560,0.000000,0.158089,1600,17.7575
0.0260,6,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-0.6005,-0.404568,-0.555985,-0.006672,0.000000,0.158089,1620,17.7575
0.0311,7,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-0.7005,-0.405680,-0.555985,-0.007784,0.000000,0.158089,1640,17.7575
0.0362,8,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-0.8006,-0.406792,-0.555985,-0.008896,0.000000,0.158089,1660,17.7575
0.0413,9,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-0.9007,-0.407904,-0.555985,-0.010008,0.000000,0.158089,1677,17.7575
0.0464,10,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-1.0008,-0.409016,-0.555985,-0.011120,0.000000,0.158089,1678,17.7575
0.0514,11,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-1.1008,-0.410127,-0.555985,-0.012232,0.000000,0.158089,1678,17.7575
0.0566,12,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-1.2009,-0.411239,-0.555985,-0.013344,0.000000,0.158089,1679,17.7575
0.0617,13,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-1.3010,-0.412351,-0.555985,-0.014456,0.000000,0.158089,1679,17.7575
0.0668,14,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-1.4011,-0.413463,-0.555985,-0.015568,0.000000,0.158089,1680,17.7575
0.0718,15,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-1.5012,-0.414575,-0.555985,-0.016680,0.000000,0.158089,1680,17.7575
0.0769,16,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-1.6012,-0.415687,-0.555985,-0.017792,0.000000,0.158089,1680,17.7575
0.0820,17,0.0155,-0.0000,0.0107,-0.0000,-20.00,72.23,52.23,-20.0155,-1.7013,-0.416799,-0.555985,-0.018903,0.000000,0.158089,1681,17.7575
0.0871,18,0.0213,-0.0000,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-1.8014,-0.418075,-0.556148,-0.020016,0.000000,0.158089,1681,17.7516
0.0922,19,0.0213,-0.0000,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-1.9015,-0.419187,-0.556148,-0.021128,0.000000,0.158089,1682,17.7516
0.0973,20,0.0213,-0.0000,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-2.0016,-0.420299,-0.556148,-0.022240,0.000000,0.158089,1682,17.7516
0.1045,21,0.0213,-0.0000,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-2.1017,-0.421412,-0.556148,-0.023353,0.000000,0.158089,1683,17.7516
0.1096,22,0.0213,-0.0000,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-2.2018,-0.422524,-0.556148,-0.024465,0.000000,0.158089,1683,17.7516
0.1147,23,0.0213,-0.0000,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-2.3020,-0.423636,-0.556148,-0.025577,0.000000,0.158089,1683,17.7516
0.1198,24,0.0213,0.1800,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-2.4021,-0.424749,-0.556148,-0.026690,0.000000,0.158089,1684,17.7516
0.1248,25,0.0213,-0.0000,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-2.5022,-0.425861,-0.556148,-0.027802,0.000000,0.158089,1684,17.7516
0.1299,26,0.0213,-0.0000,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-2.6023,-0.426973,-0.556148,-0.028914,0.000000,0.158089,1685,17.7516
0.1350,27,0.0213,-0.0000,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-2.7024,-0.428085,-0.556148,-0.030026,0.000000,0.158089,1685,17.7516
0.1401,28,0.0213,-0.0000,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-2.8025,-0.429198,-0.556148,-0.031139,0.000000,0.158089,1685,17.7516
0.1454,29,0.0213,0.1800,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-2.9026,-0.430310,-0.556148,-0.032251,0.000000,0.158089,1686,17.7516
0.1505,30,0.0213,-0.0000,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-3.0027,-0.431422,-0.556148,-0.033363,0.000000,0.158089,1686,17.7516
0.1557,31,0.0213,-0.0000,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-3.1028,-0.432535,-0.556148,-0.034476,0.000000,0.158089,1687,17.7516
0.1608,32,0.0213,-0.0000,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-3.2029,-0.433647,-0.556148,-0.035588,0.000000,0.158089,1687,17.7516
0.1659,33,0.0213,-0.0000,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-3.3030,-0.434759,-0.556148,-0.036700,0.000000,0.158089,1688,17.7516
0.1710,34,0.0213,0.1800,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-3.4031,-0.435872,-0.556148,-0.037813,0.000000,0.158089,1688,17.7516
0.1761,35,0.0213,-0.0000,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-3.5032,-0.436984,-0.556148,-0.038925,0.000000,0.158089,1688,17.7516
0.1812,36,0.0213,-0.0000,0.0105,-0.0000,-20.00,72.23,52.23,-20.0213,-3.6033,-0.438096,-0.556148,-0.040037,0.000000,0.158089,1689,17.7516
