t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0211,-0.0000,-0.0011,-0.0000,45.00,44.9789,0.600000,1.749180,0.000000,1.343503,1250,16.9608
0.0201,2,0.0211,-0.0000,-0.0011,-0.0000,45.00,44.9789,0.600000,1.749180,0.000000,1.343503,1250,16.9608
0.0402,3,0.0211,-0.0000,-0.0011,-0.0000,45.00,44.9789,0.600000,1.749180,0.000000,1.343503,1250,16.9608
0.0603,4,0.0211,-0.0000,-0.0011,-0.0000,45.00,44.9789,0.600000,1.749180,0.000000,1.343503,1250,16.9608
0.0804,5,0.0211,-0.0000,-0.0011,-0.0000,45.00,44.9789,0.600000,1.749180,0.000000,1.343503,1250,16.9608
0.1005,6,0.0211,-0.0000,-0.0011,-0.0000,45.00,44.9789,0.600000,1.749180,0.000000,1.343503,1250,16.9608
0.1206,7,0.0211,-0.0000,-0.0011,-0.0000,45.00,44.9789,0.600000,1.749180,0.000000,1.343503,1250,16.9608
0.1407,8,0.0211,-0.0000,-0.0011,-0.0000,45.00,44.9789,0.600000,1.749180,0.000000,1.343503,1250,16.9608
0.1608,9,0.0211,-0.0000,-0.0011,-0.0000,45.00,44.9789,0.600000,1.749180,0.000000,1.343503,1250,16.9608
0.1809,10,0.0262,-0.0000,0.0082,-0.0000,45.00,44.9738,0.600000,1.748980,0.000000,1.343503,1250,16.9557
0.2010,11,0.0262,-0.0000,0.0082,-0.0000,45.00,44.9738,0.600000,1.748980,0.000000,1.343503,1250,16.9557
0.2211,12,0.0262,-0.0000,0.0082,-0.0000,45.00,44.9738,0.600000,1.748980,0.000000,1.343503,1250,16.9557
0.2412,13,0.0262,-0.0000,0.0082,-0.0000,45.00,44.9738,0.600000,1.748980,0.000000,1.343503,1250,16.9557
0.2613,14,0.0262,-0.0000,0.0082,-0.0000,45.00,44.9738,0.600000,1.748980,0.000000,1.343503,1250,16.9557
0.2814,15,0.0262,-0.0000,0.0082,-0.0000,45.00,44.9738,0.600000,1.748980,0.000000,1.343503,1250,16.9557
0.3015,16,0.0262,-0.0000,0.0082,-0.0000,45.00,44.9738,0.600000,1.748980,0.000000,1.343503,1250,16.9557
