t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0519,-0.0000,-0.0005,-0.0000,10.00,9.9481,0.153946,0.110534,0.000000,0.043412,1417,6.4794
0.0201,2,0.0519,-0.0000,-0.0005,-0.0000,10.00,9.9481,0.153946,0.110534,0.000000,0.043412,1417,6.4794
0.0402,3,0.0519,-0.0000,-0.0005,-0.0000,10.00,9.9481,0.153946,0.110534,0.000000,0.043412,1417,6.4794
0.0603,4,0.0519,-0.0000,-0.0005,-0.0000,10.00,9.9481,0.153946,0.110534,0.000000,0.043412,1417,6.4794
0.0803,5,0.0519,-0.0000,-0.0005,-0.0000,10.00,9.9481,0.153946,0.110534,0.000000,0.043412,1417,6.4794
0.1004,6,0.0519,-0.0000,-0.0005,-0.0000,10.00,9.9481,0.153946,0.110534,0.000000,0.043412,1417,6.4794
0.1205,7,0.0519,-0.0000,-0.0005,-0.0000,10.00,9.9481,0.153946,0.110534,0.000000,0.043412,1417,6.4794
0.1406,8,0.0519,-0.0000,-0.0005,-0.0000,10.00,9.9481,0.153946,0.110534,0.000000,0.043412,1417,6.4794
0.1607,9,0.0519,-0.0000,-0.0005,-0.0000,10.00,9.9481,0.153946,0.110534,0.000000,0.043412,1417,6.4794
0.1807,10,0.0519,-0.0000,-0.0005,-0.0000,10.00,9.9481,0.153946,0.110534,0.000000,0.043412,1417,6.4794
0.2008,11,0.0519,-0.0000,-0.0005,-0.0000,10.00,9.9481,0.153946,0.110534,0.000000,0.043412,1417,6.4794
0.2209,12,0.0519,-0.0000,-0.0005,-0.0000,10.00,9.9481,0.153946,0.110534,0.000000,0.043412,1417,6.4794
0.2410,13,0.0519,-0.0000,-0.0005,-0.0000,10.00,9.9481,0.153946,0.110534,0.000000,0.043412,1417,6.4794
0.2611,14,0.0519,-0.0000,-0.0005,-0.0000,10.00,9.9481,0.153946,0.110534,0.000000,0.043412,1417,6.4794
0.2811,15,0.0656,-0.0000,-0.0006,-0.0000,10.00,9.9344,0.153795,0.110383,0.000000,0.043412,1417,6.4657
0.3012,16,0.0656,0.1800,-0.0006,1.5667,10.00,9.9344,0.127683,0.110383,-0.026111,0.043412,1427,6.4657
0.3213,17,0.0656,0.1800,-0.0006,1.5667,10.00,9.9344,0.127683,0.110383,-0.026111,0.043412,1427,6.4657
0.3414,18,0.1499,0.1800,-0.0012,2.6857,10.00,9.8501,0.108095,0.109446,-0.044762,0.043412,1434,6.3814
0.3620,19,0.1499,0.3600,-0.0012,2.6857,10.00,9.8501,0.108095,0.109446,-0.044762,0.043412,1434,6.3814
0.3821,20,0.3107,0.3600,-0.0092,2.6857,10.00,9.6893,0.106309,0.107659,-0.044762,0.043412,1435,6.2206
0.4022,21,0.3107,0.5400,-0.0092,4.3643,10.00,9.6893,0.078332,0.107659,-0.072739,0.043412,1445,6.2206
0.4223,22,0.3107,0.5400,-0.0092,4.3643,10.00,9.6893,0.078332,0.107659,-0.072739,0.043412,1445,6.2206
0.4423,23,0.5210,0.7200,-0.0102,4.2524,10.00,9.4790,0.077860,0.105322,-0.070874,0.043412,1445,6.0103
0.4637,24,0.5210,0.7200,-0.0102,4.2524,10.00,9.4790,0.077860,0.105322,-0.070874,0.043412,1445,6.0103
0.4838,25,0.7379,0.7200,-0.0190,4.2524,10.00,9.2621,0.075450,0.102912,-0.070874,0.043412,1446,5.7934
0.5039,26,0.7379,0.9000,-0.0190,3.5810,10.00,9.2621,0.086641,0.102912,-0.059683,0.043412,1442,5.7934
0.5239,27,0.7379,0.9000,-0.0190,3.5810,10.00,9.2621,0.086641,0.102912,-0.059683,0.043412,1442,5.7934
0.5440,28,0.8920,0.9000,-0.0203,1.9024,10.00,9.1080,0.112905,0.101200,-0.031707,0.043412,1432,5.6393
0.5641,29,0.8920,0.9000,-0.0203,1.9024,10.00,9.1080,0.112905,0.101200,-0.031707,0.043412,1432,5.6393
0.5842,30,0.9622,0.9000,-0.0281,1.9024,10.00,9.0378,0.112126,0.100420,-0.031707,0.043412,1432,5.5691
0.6043,31,0.9622,0.9000,-0.0281,-0.1119,10.00,9.0378,0.145697,0.100420,0.001865,0.043412,1420,5.5691
0.6243,32,0.9622,0.9000,-0.0281,-0.1119,10.00,9.0378,0.145697,0.100420,0.001865,0.043412,1420,5.5691
