t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0158,-0.0000,-0.0025,-0.0000,-20.00,81.31,61.31,-20.0158,-0.444796,-0.444796,0.000000,0.000000,1691,8.6739
0.0201,2,0.0158,-0.0000,-0.0025,-0.0000,-20.00,81.31,61.31,-20.0158,-0.444796,-0.444796,0.000000,0.000000,1691,8.6739
0.0402,3,0.0158,-0.0000,-0.0025,-0.0000,-20.00,81.31,61.31,-20.0158,-0.444796,-0.444796,0.000000,0.000000,1691,8.6739
0.0603,4,0.0158,-0.0000,-0.0025,-0.0000,-20.00,81.31,61.31,-20.0158,-0.444796,-0.444796,0.000000,0.000000,1691,8.6739
0.0804,5,0.0158,-0.0000,-0.0025,-0.0000,-20.00,81.31,61.31,-20.0158,-0.444796,-0.444796,0.000000,0.000000,1691,8.6739
0.1005,6,0.0158,-0.0000,-0.0025,-0.0000,-20.00,81.31,61.31,-20.0158,-0.444796,-0.444796,0.000000,0.000000,1691,8.6739
0.1206,7,0.0158,-0.0000,-0.0025,-0.0000,-20.00,81.31,61.31,-20.0158,-0.444796,-0.444796,0.000000,0.000000,1691,8.6739
0.1407,8,0.0158,-0.0000,-0.0025,0.1119,-20.00,81.31,61.31,-20.0158,-0.445169,-0.444796,-0.000373,0.000000,1691,8.6739
0.1608,9,0.0158,-0.0000,-0.0025,0.1119,-20.00,81.31,61.31,-20.0158,-0.445169,-0.444796,-0.000373,0.000000,1691,8.6739
0.1809,10,0.0228,-0.0000,-0.0091,0.4476,-20.00,81.31,61.31,-20.0228,-0.446444,-0.444952,-0.001492,0.000000,1692,8.6668
0.2010,11,0.0228,-0.0000,-0.0091,0.4476,-20.00,81.31,61.31,-20.0228,-0.446444,-0.444952,-0.001492,0.000000,1692,8.6668
0.2211,12,0.0228,-0.0000,-0.0091,0.2238,-20.00,81.31,61.31,-20.0228,-0.445698,-0.444952,-0.000746,0.000000,1692,8.6668
0.2412,13,0.0228,-0.0000,-0.0091,0.2238,-20.00,81.31,61.31,-20.0228,-0.445698,-0.444952,-0.000746,0.000000,1692,8.6668
0.2613,14,0.0228,-0.0000,-0.0091,0.2238,-20.00,81.31,61.31,-20.0228,-0.445698,-0.444952,-0.000746,0.000000,1692,8.6668
0.2814,15,0.0299,-0.0000,-0.0167,0.3357,-20.00,81.31,61.31,-20.0299,-0.446227,-0.445108,-0.001119,0.000000,1692,8.6598
0.3015,16,0.0299,-0.0000,-0.0167,0.3357,-20.00,81.31,61.31,-20.0299,-0.446227,-0.445108,-0.001119,0.000000,1692,8.6598
0.3216,17,0.0369,-0.0000,-0.0233,-0.2238,-20.00,81.31,61.31,-20.0369,-0.444518,-0.445264,0.000746,0.000000,1691,8.6528
0.3417,18,0.0369,-0.0000,-0.0233,-0.2238,-20.00,81.31,61.31,-20.0369,-0.444518,-0.445264,0.000746,0.000000,1691,8.6528
0.3618,19,0.0369,-0.0000,-0.0233,-0.2238,-20.00,81.31,61.31,-20.0369,-0.444518,-0.445264,0.000746,0.000000,1691,8.6528
0.3819,20,0.0439,-0.0000,-0.0239,0.1119,-20.00,81.31,61.31,-20.0439,-0.445793,-0.445420,-0.000373,0.000000,1692,8.6458
0.4020,21,0.0439,-0.0000,-0.0239,0.1119,-20.00,81.31,61.31,-20.0439,-0.445793,-0.445420,-0.000373,0.000000,1692,8.6458
0.4221,22,0.0299,-0.0000,-0.0178,-1.6786,-20.00,81.31,61.31,-20.0299,-0.439513,-0.445108,0.005595,0.000000,1689,8.6598
0.4422,23,0.0299,-0.0000,-0.0178,-1.6786,-20.00,81.31,61.31,-20.0299,-0.439513,-0.445108,0.005595,0.000000,1689,8.6598
0.4623,24,0.0299,-0.0000,-0.0178,-1.6786,-20.00,81.31,61.31,-20.0299,-0.439513,-0.445108,0.005595,0.000000,1689,8.7021
0.4824,25,-0.0124,-0.1800,-0.0121,-0.5595,-20.00,81.31,61.31,-19.9876,-0.442303,-0.444168,0.001865,0.000000,1690,8.7021
0.5025,26,-0.0124,-0.1800,-0.0121,-0.5595,-20.00,81.31,61.31,-19.9876,-0.442303,-0.444168,0.001865,0.000000,1690,8.7021
0.5226,27,-0.0472,-0.1800,-0.0195,-0.8952,-20.00,81.31,61.31,-19.9528,-0.440411,-0.443395,0.002984,0.000000,1690,8.7369
0.5429,28,-0.0472,-0.1800,-0.0195,-0.8952,-20.00,81.31,61.31,-19.9528,-0.440411,-0.443395,0.002984,0.000000,1690,8.7369
0.5630,29,-0.0825,-0.1800,-0.0209,-0.8952,-20.00,81.31,61.31,-19.9175,-0.439627,-0.442611,0.002984,0.000000,1689,8.7722
0.5831,30,-0.0825,-0.1800,-0.0209,-0.5595,-20.00,81.31,61.31,-19.9175,-0.440746,-0.442611,0.001865,0.000000,1690,8.7722
0.6032,31,-0.0825,-0.1800,-0.0209,-0.5595,-20.00,81.31,61.31,-19.9175,-0.440746,-0.442611,0.001865,0.000000,1690,8.7722
0.6233,32,-0.0895,-0.1800,-0.0219,0.2238,-20.00,81.31,61.31,-19.9105,-0.443200,-0.442454,-0.000746,0.000000,1691,8.7792
0.6433,33,-0.0895,-0.1800,-0.0219,0.2238,-20.00,81.31,61.31,-19.9105,-0.443200,-0.442454,-0.000746,0.000000,1691,8.7792
0.6634,34,-0.0613,-0.1800,-0.0242,0.2238,-20.00,81.31,61.31,-19.9387,-0.443828,-0.443082,-0.000746,0.000000,1691,8.751
0.6835,35,-0.0613,-0.1800,-0.0242,0.8952,-20.00,81.31,61.31,-19.9387,-0.446066,-0.443082,-0.002984,0.000000,1692,8.751
0.7036,36,-0.0613,-0.1800,-0.0242,0.8952,-20.00,81.31,61.31,-19.9387,-0.446066,-0.443082,-0.002984,0.000000,1692,8.751
0.7237,37,-0.0055,-0.0000,-0.0332,1.0072,-20.00,81.31,61.31,-19.9945,-0.447680,-0.444323,-0.003357,0.000000,1692,8.6951
0.7438,38,-0.0055,-0.0000,-0.0332,1.0072,-20.00,81.31,61.31,-19.9945,-0.447680,-0.444323,-0.003357,0.000000,1692,8.6951
0.7639,39,0.0369,-0.0000,-0.0345,1.0072,-20.00,81.31,61.31,-20.0369,-0.448621,-0.445264,-0.003357,0.000000,1693,8.6528
0.7840,40,0.0369,-0.0000,-0.0345,1.1191,-20.00,81.31,61.31,-20.0369,-0.448994,-0.445264,-0.003730,0.000000,1693,8.6528
0.8041,41,0.0369,-0.0000,-0.0345,1.1191,-20.00,81.31,61.31,-20.0369,-0.448994,-0.445264,-0.003730,0.000000,1693,8.6528
0.8242,42,0.0651,-0.0000,-0.0352,-0.3357,-20.00,81.31,61.31,-20.0651,-0.444772,-0.445891,0.001119,0.000000,1691,8.6246
0.8443,43,0.0651,-0.0000,-0.0352,-0.3357,-20.00,81.31,61.31,-20.0651,-0.444772,-0.445891,0.001119,0.000000,1691,8.6246
0.8644,44,0.0087,-0.1800,-0.0289,-0.3357,-20.00,81.31,61.31,-20.0087,-0.443518,-0.444638,0.001119,0.000000,1691,8.681
0.8845,45,0.0087,-0.1800,-0.0289,-3.6929,-20.00,81.31,61.31,-20.0087,-0.432328,-0.444638,0.012310,0.000000,1687,8.681
0.9046,46,0.0087,-0.3600,-0.0289,-3.6929,-20.00,81.31,61.31,-20.0087,-0.432328,-0.444638,0.012310,0.000000,1687,8.681
0.9247,47,-0.2648,-0.7200,-0.0162,-11.0787,-20.00,81.31,61.31,-19.7352,-0.401630,-0.438559,0.036929,0.000000,1675,8.9545
0.9448,48,-0.2648,-0.9000,-0.0162,-11.0787,-20.00,81.31,61.31,-19.7352,-0.401630,-0.438559,0.036929,0.000000,1675,8.9545
0.9649,49,-0.9807,-1.2600,0.0137,-11.0787,-20.00,81.31,61.31,-19.0193,-0.385723,-0.422652,0.036929,0.000000,1669,9.6703
0.9850,50,-0.9807,-1.8000,0.0137,-20.4788,-20.00,81.31,61.31,-19.0193,-0.354390,-0.422652,0.068263,0.000000,1657,9.6703
1.0051,51,-0.9807,-2.3400,0.0137,-20.4788,-20.00,81.31,61.31,-19.0193,-0.354390,-0.422652,0.068263,0.000000,1657,9.6703
1.0252,52,-2.2796,-3.2400,0.0446,-35.4741,-20.00,81.31,61.31,-17.7204,-0.275540,-0.393788,0.118247,0.000000,1628,10.9692
1.0454,53,-2.2796,-3.9600,0.0446,-35.4741,-20.00,81.31,61.31,-17.7204,-0.275540,-0.393788,0.118247,0.000000,1628,10.9692
1.0655,54,-4.2765,-5.0400,0.0797,-35.4741,-20.00,81.31,61.31,-15.7235,-0.231164,-0.349411,0.118247,0.000000,1611,12.9662
1.0856,55,-4.2765,-6.1200,0.0797,-50.8052,-20.00,81.31,61.31,-15.7235,-0.180060,-0.349411,0.169351,0.000000,1592,12.9662
1.1057,56,-4.2765,-7.2000,0.0797,-50.8052,-20.00,81.31,61.31,-15.7235,-0.180060,-0.349411,0.169351,0.000000,1592,12.9662
1.1260,57,-7.0041,-8.6400,0.1178,-62.6673,-20.00,81.31,61.31,-12.9959,-0.079906,-0.288797,0.208891,0.000000,1554,15.6938
1.1462,58,-7.0041,-9.7200,0.1178,-62.6673,-20.00,81.31,61.31,-12.9959,-0.079906,-0.288797,0.208891,0.000000,1554,15.6938
1.1663,59,-10.2524,-11.3400,0.1732,-62.6673,-20.00,81.31,61.31,-9.7476,-0.007723,-0.216614,0.208891,0.000000,1527,18.9421
1.1864,60,-10.2524,-12.7800,0.1732,-70.3888,-20.00,81.31,61.31,-9.7476,0.018016,-0.216614,0.234629,0.000000,1468,18.9421
1.2065,61,-10.2524,-14.0400,0.1732,-70.3888,-20.00,81.31,61.31,-9.7476,0.018016,-0.216614,0.234629,0.000000,1468,18.9421
