t_s,iteration,psi_imu_deg,psi_enc_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.309378,0.222222,0.000000,0.087156,1358,-82.0109
0.0201,2,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.309378,0.222222,0.000000,0.087156,1358,-82.0109
0.0402,3,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.309378,0.222222,0.000000,0.087156,1358,-82.0109
0.0603,4,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.309378,0.222222,0.000000,0.087156,1358,-82.0109
0.0804,5,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.309378,0.222222,0.000000,0.087156,1358,-81.9788
0.1005,6,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.309378,0.222222,0.000000,0.087156,1358,-81.9788
0.1206,7,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.309378,0.222222,0.000000,0.087156,1358,-81.9788
0.1407,8,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.309378,0.222222,0.000000,0.087156,1358,-81.9788
0.1608,9,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.309378,0.222222,0.000000,0.087156,1358,-81.9788
0.1809,10,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.309378,0.222222,0.000000,0.087156,1358,-81.9788
0.2010,11,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.309378,0.222222,0.000000,0.087156,1358,-81.9788
0.2211,12,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.309378,0.222222,0.000000,0.087156,1358,-81.9788
0.2412,13,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.309378,0.222222,0.000000,0.087156,1358,-81.9788
0.2613,14,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.309378,0.222222,0.000000,0.087156,1358,-81.9788
0.2814,15,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.309378,0.222222,0.000000,0.087156,1358,-81.9788
0.3021,16,-0.0000,-0.0000,-0.5595,5.00,5.0000,0.311554,0.222222,0.002176,0.087156,1358,-81.9788
0.3222,17,0.1800,0.1800,-0.5595,5.00,4.8200,0.303554,0.214222,0.002176,0.087156,1361,-81.9788
0.3423,18,0.1800,0.1800,-1.9024,5.00,4.8200,0.308776,0.214222,0.007398,0.087156,1359,-82.0106
0.3624,19,0.1800,0.1800,-1.9024,5.00,4.8200,0.308776,0.214222,0.007398,0.087156,1359,-82.0106
0.3825,20,0.1800,0.1800,-1.9024,5.00,4.8200,0.308776,0.214222,0.007398,0.087156,1359,-82.1310
0.4026,21,0.3600,0.3600,0.2238,5.00,4.6400,0.292508,0.206222,-0.000870,0.087156,1365,-82.1310
0.4227,22,0.3600,0.3600,0.2238,5.00,4.6400,0.292508,0.206222,-0.000870,0.087156,1365,-82.1310
0.4428,23,0.5400,0.5400,-3.9167,5.00,4.4600,0.300610,0.198222,0.015232,0.087156,1362,-82.1748
0.4629,24,0.7200,0.7200,-3.9167,5.00,4.2800,0.292610,0.190222,0.015232,0.087156,1365,-82.1748
0.4829,25,0.7200,0.9000,-3.9167,5.00,4.2800,0.292610,0.190222,0.015232,0.087156,1365,-82.4440
0.5031,26,0.9000,0.9000,-6.9382,5.00,4.1000,0.296360,0.182222,0.026982,0.087156,1363,-82.4440
0.5231,27,1.0800,1.0800,-6.9382,5.00,3.9200,0.288360,0.174222,0.026982,0.087156,1366,-82.4440
0.5432,28,1.2600,1.2600,-8.3929,5.00,3.7400,0.286017,0.166222,0.032639,0.087156,1367,-82.7559
0.5633,29,1.4400,1.4400,-8.3929,5.00,3.5600,0.278017,0.158222,0.032639,0.087156,1370,-82.7559
0.5835,30,1.6200,1.8000,-8.3929,5.00,3.3800,0.270017,0.150222,0.032639,0.087156,1373,-83.1601
0.6036,31,1.8000,1.9800,-10.1834,5.00,3.2000,0.268980,0.142222,0.039602,0.087156,1374,-83.1601
0.6237,32,2.1600,2.1600,-10.1834,5.00,2.8400,0.252980,0.126222,0.039602,0.087156,1380,-83.1601
0.6438,33,2.3400,2.3400,-10.5191,5.00,2.6600,0.246286,0.118222,0.040908,0.087156,1382,-83.6486
0.6639,34,2.5200,2.5200,-10.5191,5.00,2.4800,0.238286,0.110222,0.040908,0.087156,1385,-83.6486
0.6840,35,2.7000,2.7000,-10.5191,5.00,2.3000,0.230286,0.102222,0.040908,0.087156,1388,-84.1612
0.7041,36,2.8800,2.8800,-10.0715,5.00,2.1200,0.220545,0.094222,0.039167,0.087156,1392,-84.1612
0.7242,37,3.0600,3.0600,-10.0715,5.00,1.9400,0.212545,0.086222,0.039167,0.087156,1395,-84.1612
0.7443,38,3.2400,3.4200,-7.7215,5.00,1.7600,0.195406,0.078222,0.030028,0.087156,1401,-84.5265
0.7644,39,3.4200,3.4200,-7.7215,5.00,1.5800,0.187406,0.070222,0.030028,0.087156,1404,-84.5265
0.7845,40,3.6000,3.6000,-7.7215,5.00,1.4000,0.179406,0.062222,0.030028,0.087156,1407,-84.8937
0.8046,41,3.7800,3.7800,-5.8191,5.00,1.2200,0.164008,0.054222,0.022630,0.087156,1413,-84.8937
0.8247,42,3.9600,3.9600,-5.8191,5.00,1.0400,0.156008,0.046222,0.022630,0.087156,1416,-84.8937
