t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0163,-0.0000,-0.0056,-0.0000,-20.00,72.46,52.46,-20.0163,-0.4003,-0.135591,-0.333605,-0.000222,0.000000,0.198236,1575,17.5222
0.0201,2,0.0163,-0.0000,-0.0056,-0.0000,-20.00,72.46,52.46,-20.0163,-0.8007,-0.135814,-0.333605,-0.000445,0.000000,0.198236,1575,17.5222
0.0402,3,0.0163,-0.0000,-0.0056,-0.0000,-20.00,72.46,52.46,-20.0163,-1.2010,-0.136036,-0.333605,-0.000667,0.000000,0.198236,1576,17.5222
0.0602,4,0.0163,-0.0000,-0.0056,-0.0000,-20.00,72.46,52.46,-20.0163,-1.6013,-0.136258,-0.333605,-0.000890,0.000000,0.198236,1576,17.5222
0.0803,5,0.0163,-0.0000,-0.0056,-0.0000,-20.00,72.46,52.46,-20.0163,-2.0016,-0.136481,-0.333605,-0.001112,0.000000,0.198236,1576,17.5222
0.1004,6,0.0163,-0.0000,-0.0056,-0.0000,-20.00,72.46,52.46,-20.0163,-2.4020,-0.136703,-0.333605,-0.001334,0.000000,0.198236,1576,17.5222
0.1204,7,0.0163,-0.0000,-0.0056,-0.0000,-20.00,72.46,52.46,-20.0163,-2.8023,-0.136926,-0.333605,-0.001557,0.000000,0.198236,1576,17.5222
0.1405,8,0.0163,-0.0000,-0.0056,-0.0000,-20.00,72.46,52.46,-20.0163,-3.2026,-0.137148,-0.333605,-0.001779,0.000000,0.198236,1576,17.5222
0.1606,9,0.0163,-0.0000,-0.0056,-0.0000,-20.00,72.46,52.46,-20.0163,-3.6029,-0.137370,-0.333605,-0.002002,0.000000,0.198236,1576,17.5222
0.1807,10,0.0163,-0.0000,-0.0056,-0.0000,-20.00,72.46,52.46,-20.0163,-4.0033,-0.137593,-0.333605,-0.002224,0.000000,0.198236,1576,17.5222
0.2008,11,0.0163,-0.0000,-0.0056,-0.0000,-20.00,72.46,52.46,-20.0163,-4.4036,-0.137815,-0.333605,-0.002446,0.000000,0.198236,1576,17.5222
0.2208,12,0.0163,-0.0000,-0.0056,-0.0000,-20.00,72.46,52.46,-20.0163,-4.8039,-0.138038,-0.333605,-0.002669,0.000000,0.198236,1576,17.5222
0.2409,13,0.0163,-0.0000,-0.0056,-0.0000,-20.00,72.46,52.46,-20.0163,-5.2042,-0.138260,-0.333605,-0.002891,0.000000,0.198236,1576,17.5222
0.2610,14,0.0163,-0.0000,-0.0056,-0.0000,-20.00,72.46,52.46,-20.0163,-5.6046,-0.138482,-0.333605,-0.003114,0.000000,0.198236,1576,17.5222
0.2811,15,-0.0033,-0.0000,-0.0006,-0.0000,-20.00,72.46,52.46,-19.9967,-6.0045,-0.138378,-0.333278,-0.003336,0.000000,0.198236,1576,17.5418
0.3012,16,-0.0033,-0.0000,-0.0006,-0.7833,-20.00,72.46,52.46,-19.9967,-6.4044,-0.135118,-0.333278,-0.003558,0.003482,0.198236,1575,17.5418
0.3213,17,-0.0033,-0.1800,-0.0006,-0.7833,-20.00,72.46,52.46,-19.9967,-6.8044,-0.135341,-0.333278,-0.003780,0.003482,0.198236,1575,17.5418
0.3414,18,-0.0648,-0.1800,-0.0012,-1.6786,-20.00,72.46,52.46,-19.9352,-7.2031,-0.130559,-0.332254,-0.004002,0.007460,0.198236,1573,17.6033
0.3615,19,-0.0648,-0.1800,-0.0012,-1.6786,-20.00,72.46,52.46,-19.9352,-7.6018,-0.130780,-0.332254,-0.004223,0.007460,0.198236,1574,17.6033
0.3816,20,-0.1704,-0.1800,-0.0015,-1.6786,-20.00,72.46,52.46,-19.8296,-7.9984,-0.129241,-0.330494,-0.004444,0.007460,0.198236,1573,17.7089
0.4018,21,-0.1704,-0.3600,-0.0015,-2.6857,-20.00,72.46,52.46,-19.8296,-8.3950,-0.124985,-0.330494,-0.004664,0.011937,0.198236,1571,17.7089
0.4219,22,-0.1704,-0.3600,-0.0015,-2.6857,-20.00,72.46,52.46,-19.8296,-8.7915,-0.125205,-0.330494,-0.004884,0.011937,0.198236,1571,17.7089
0.4420,23,-0.3086,-0.3600,0.0009,-2.7976,-20.00,72.46,52.46,-19.6914,-9.1854,-0.122623,-0.328190,-0.005103,0.012434,0.198236,1570,17.8471
0.4621,24,-0.3086,-0.5400,0.0009,-2.7976,-20.00,72.46,52.46,-19.6914,-9.5792,-0.122842,-0.328190,-0.005322,0.012434,0.198236,1571,17.8471
0.4822,25,-0.4604,-0.5400,-0.0016,-2.7976,-20.00,72.46,52.46,-19.5396,-9.9700,-0.120528,-0.325660,-0.005539,0.012434,0.198236,1570,17.9989
0.5023,26,-0.4604,-0.7200,-0.0016,-4.0286,-20.00,72.46,52.46,-19.5396,-10.3608,-0.115275,-0.325660,-0.005756,0.017905,0.198236,1568,17.9989
0.5224,27,-0.4604,-0.7200,-0.0016,-4.0286,-20.00,72.46,52.46,-19.5396,-10.7516,-0.115492,-0.325660,-0.005973,0.017905,0.198236,1568,17.9989
0.5425,28,-0.6740,-0.9000,0.0072,-4.8120,-20.00,72.46,52.46,-19.3260,-11.1381,-0.108665,-0.322099,-0.006188,0.021386,0.198236,1565,18.2125
0.5626,29,-0.6740,-0.9000,0.0072,-4.8120,-20.00,72.46,52.46,-19.3260,-11.5246,-0.108879,-0.322099,-0.006403,0.021386,0.198236,1565,18.2125
0.5827,30,-0.9246,-1.0800,0.0107,-4.8120,-20.00,72.46,52.46,-19.0754,-11.9061,-0.104916,-0.317924,-0.006615,0.021386,0.198236,1564,18.4631
0.6028,31,-0.9246,-1.0800,0.0107,-5.5953,-20.00,72.46,52.46,-19.0754,-12.2876,-0.101646,-0.317924,-0.006826,0.024868,0.198236,1563,18.4631
0.6229,32,-0.9246,-1.2600,0.0107,-5.5953,-20.00,72.46,52.46,-19.0754,-12.6691,-0.101858,-0.317924,-0.007038,0.024868,0.198236,1563,18.4631
0.6430,33,-1.2096,-1.4400,0.0236,-5.9310,-20.00,72.46,52.46,-18.7904,-13.0450,-0.095824,-0.313173,-0.007247,0.026360,0.198236,1560,18.7481
0.6631,34,-1.2096,-1.4400,0.0236,-5.9310,-20.00,72.46,52.46,-18.7904,-13.4208,-0.096032,-0.313173,-0.007456,0.026360,0.198236,1561,18.7481
0.6832,35,-1.5100,-1.6200,0.0293,-5.9310,-20.00,72.46,52.46,-18.4900,-13.7906,-0.091231,-0.308166,-0.007661,0.026360,0.198236,1559,19.0485
0.7033,36,-1.5100,-1.8000,0.0293,-6.1548,-20.00,72.46,52.46,-18.4900,-14.1604,-0.090442,-0.308166,-0.007867,0.027355,0.198236,1558,19.0485
0.7234,37,-1.5100,-1.8000,0.0293,-6.1548,-20.00,72.46,52.46,-18.4900,-14.5302,-0.090647,-0.308166,-0.008072,0.027355,0.198236,1558,19.0485
0.7435,38,-1.8187,-1.9800,0.0292,-6.1548,-20.00,72.46,52.46,-18.1813,-14.8938,-0.085705,-0.303021,-0.008274,0.027355,0.198236,1557,19.3572
0.7636,39,-1.8187,-2.1600,0.0292,-6.1548,-20.00,72.46,52.46,-18.1813,-15.2574,-0.085907,-0.303021,-0.008476,0.027355,0.198236,1557,19.3572
0.7836,40,-2.1219,-2.1600,0.0297,-6.1548,-20.00,72.46,52.46,-17.8781,-15.6150,-0.081053,-0.297969,-0.008675,0.027355,0.198236,1555,19.6604
0.8037,41,-2.1219,-2.3400,0.0297,-5.9310,-20.00,72.46,52.46,-17.8781,-15.9725,-0.082246,-0.297969,-0.008874,0.026360,0.198236,1555,19.6604
