t_s,iteration,psi_enc_deg,psi_dot_enc_dps,phi_yaw_deg,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,0.1000,0.178111,0.177778,0.000333,-0.000000,0.000000,1480
0.0076,2,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,0.2000,0.178444,0.177778,0.000667,-0.000000,0.000000,1460
0.0127,3,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,0.3000,0.178778,0.177778,0.001000,-0.000000,0.000000,1440
0.0178,4,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,0.4000,0.179111,0.177778,0.001333,-0.000000,0.000000,1420
0.0229,5,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,0.5000,0.179444,0.177778,0.001667,-0.000000,0.000000,1407
0.0281,6,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,0.6000,0.179778,0.177778,0.002000,-0.000000,0.000000,1407
0.0332,7,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,0.7000,0.180111,0.177778,0.002333,-0.000000,0.000000,1407
0.0383,8,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,0.8000,0.180444,0.177778,0.002667,-0.000000,0.000000,1407
0.0434,9,-0.0000,0.0000,0.2099,20.00,85.27,105.27,20.0000,0.9000,0.180778,0.177778,0.003000,-0.000000,0.000000,1407
0.0485,10,-0.0000,0.0000,0.2099,20.00,85.27,105.27,20.0000,1.0000,0.181111,0.177778,0.003333,-0.000000,0.000000,1407
0.0536,11,-0.0000,0.0000,0.2099,20.00,85.27,105.27,20.0000,1.1000,0.181444,0.177778,0.003667,-0.000000,0.000000,1406
0.0587,12,-0.0000,0.0000,0.2099,20.00,85.27,105.27,20.0000,1.2000,0.181778,0.177778,0.004000,-0.000000,0.000000,1406
0.0638,13,-0.0000,0.0000,0.2099,20.00,85.27,105.27,20.0000,1.3000,0.182111,0.177778,0.004333,-0.000000,0.000000,1406
0.0689,14,-0.0000,0.0000,0.2099,20.00,85.27,105.27,20.0000,1.4000,0.182444,0.177778,0.004667,-0.000000,0.000000,1406
0.0740,15,-0.0000,0.0000,0.2099,20.00,85.27,105.27,20.0000,1.5000,0.182778,0.177778,0.005000,-0.000000,0.000000,1406
0.0791,16,-0.0000,0.0000,0.2099,20.00,85.27,105.27,20.0000,1.6000,0.183111,0.177778,0.005333,-0.000000,0.000000,1406
0.0841,17,-0.0000,0.0000,0.2099,20.00,85.27,105.27,20.0000,1.7000,0.183444,0.177778,0.005667,-0.000000,0.000000,1406
0.0892,18,-0.0000,0.0000,0.2099,20.00,85.27,105.27,20.0000,1.8000,0.183778,0.177778,0.006000,-0.000000,0.000000,1406
0.0943,19,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,1.9000,0.184111,0.177778,0.006333,-0.000000,0.000000,1405
0.0994,20,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,2.0000,0.184444,0.177778,0.006667,-0.000000,0.000000,1405
0.1045,21,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,2.1000,0.184778,0.177778,0.007000,-0.000000,0.000000,1405
0.1096,22,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,2.2000,0.185111,0.177778,0.007333,-0.000000,0.000000,1405
0.1147,23,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,2.3000,0.185444,0.177778,0.007667,-0.000000,0.000000,1405
0.1197,24,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,2.4000,0.185778,0.177778,0.008000,-0.000000,0.000000,1405
0.1248,25,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,2.5000,0.186111,0.177778,0.008333,-0.000000,0.000000,1405
0.1299,26,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,2.6000,0.186444,0.177778,0.008667,-0.000000,0.000000,1405
0.1350,27,-0.0000,0.0000,0.2913,20.00,85.27,105.27,20.0000,2.7000,0.186778,0.177778,0.009000,-0.000000,0.000000,1404
0.1401,28,-0.0000,0.0000,0.3184,20.00,85.27,105.27,20.0000,2.8000,0.187111,0.177778,0.009333,-0.000000,0.000000,1404
0.1452,29,-0.0000,0.0000,0.3184,20.00,85.27,105.27,20.0000,2.9000,0.187444,0.177778,0.009667,-0.000000,0.000000,1404
0.1503,30,-0.0000,0.0000,0.3184,20.00,85.27,105.27,20.0000,3.0000,0.187778,0.177778,0.010000,-0.000000,0.000000,1404
0.1554,31,-0.0000,0.0000,0.3184,20.00,85.27,105.27,20.0000,3.1000,0.188111,0.177778,0.010333,-0.000000,0.000000,1404
0.1605,32,-0.0000,0.0000,0.3184,20.00,85.27,105.27,20.0000,3.2000,0.188444,0.177778,0.010667,-0.000000,0.000000,1404
0.1656,33,-0.0000,0.0000,0.3184,20.00,85.27,105.27,20.0000,3.3000,0.188778,0.177778,0.011000,-0.000000,0.000000,1404
0.1707,34,-0.0000,0.0000,0.3184,20.00,85.27,105.27,20.0000,3.4000,0.189111,0.177778,0.011333,-0.000000,0.000000,1404
0.1758,35,-0.0000,0.0000,0.3184,20.00,85.27,105.27,20.0000,3.5000,0.189444,0.177778,0.011667,-0.000000,0.000000,1403
0.1809,36,-0.0000,0.0000,0.3184,20.00,85.27,105.27,20.0000,3.6000,0.189778,0.177778,0.012000,-0.000000,0.000000,1403
0.1859,37,-0.0000,0.0000,0.3184,20.00,85.27,105.27,20.0000,3.7000,0.190111,0.177778,0.012333,-0.000000,0.000000,1403
0.1911,38,-0.0000,0.0000,0.308,20.00,85.27,105.27,20.0000,3.8000,0.190444,0.177778,0.012667,-0.000000,0.000000,1403
0.1962,39,-0.0000,0.0000,0.308,20.00,85.27,105.27,20.0000,3.9000,0.190778,0.177778,0.013000,-0.000000,0.000000,1403
0.2012,40,-0.0000,0.0000,0.308,20.00,85.27,105.27,20.0000,4.0000,0.191111,0.177778,0.013333,-0.000000,0.000000,1403
0.2063,41,-0.0000,0.0000,0.308,20.00,85.27,105.27,20.0000,4.1000,0.191444,0.177778,0.013667,-0.000000,0.000000,1403
0.2114,42,-0.0000,0.0000,0.308,20.00,85.27,105.27,20.0000,4.2000,0.191778,0.177778,0.014000,-0.000000,0.000000,1403
0.2166,43,-0.0000,0.0000,0.308,20.00,85.27,105.27,20.0000,4.3000,0.192111,0.177778,0.014333,-0.000000,0.000000,1402
0.2217,44,-0.0000,0.0000,0.308,20.00,85.27,105.27,20.0000,4.4000,0.192444,0.177778,0.014667,-0.000000,0.000000,1402
0.2267,45,-0.0000,0.0000,0.308,20.00,85.27,105.27,20.0000,4.5000,0.192778,0.177778,0.015000,-0.000000,0.000000,1402
0.2318,46,-0.0000,0.0000,0.308,20.00,85.27,105.27,20.0000,4.6000,0.193111,0.177778,0.015333,-0.000000,0.000000,1402
0.2369,47,-0.0000,0.0000,0.308,20.00,85.27,105.27,20.0000,4.7000,0.193444,0.177778,0.015667,-0.000000,0.000000,1402
0.2420,48,-0.0000,0.0000,0.3899,20.00,85.27,105.27,20.0000,4.8000,0.193778,0.177778,0.016000,-0.000000,0.000000,1402
0.2471,49,-0.0000,0.0000,0.3899,20.00,85.27,105.27,20.0000,4.9000,0.194111,0.177778,0.016333,-0.000000,0.000000,1402
0.2522,50,-0.0000,0.0000,0.3899,20.00,85.27,105.27,20.0000,5.0000,0.194444,0.177778,0.016667,-0.000000,0.000000,1402
0.2573,51,-0.0000,0.0000,0.3899,20.00,85.27,105.27,20.0000,5.1000,0.194778,0.177778,0.017000,-0.000000,0.000000,1401
0.2624,52,-0.0000,0.0000,0.3899,20.00,85.27,105.27,20.0000,5.2000,0.195111,0.177778,0.017333,-0.000000,0.000000,1401
0.2675,53,-0.0000,0.0000,0.3899,20.00,85.27,105.27,20.0000,5.3000,0.195444,0.177778,0.017667,-0.000000,0.000000,1401
0.2726,54,-0.0000,0.0000,0.3899,20.00,85.27,105.27,20.0000,5.4000,0.195778,0.177778,0.018000,-0.000000,0.000000,1401
0.2777,55,-0.0000,0.0000,0.3899,20.00,85.27,105.27,20.0000,5.5000,0.196111,0.177778,0.018333,-0.000000,0.000000,1401
0.2828,56,-0.0000,0.0000,0.3899,20.00,85.27,105.27,20.0000,5.6000,0.196444,0.177778,0.018667,-0.000000,0.000000,1401
0.2879,57,-0.0000,0.0000,0.3899,20.00,85.27,105.27,20.0000,5.7000,0.196778,0.177778,0.019000,-0.000000,0.000000,1401
0.2930,58,-0.0000,0.0000,0.1756,20.00,85.27,105.27,20.0000,5.8000,0.197111,0.177778,0.019333,-0.000000,0.000000,1401
0.2981,59,-0.0000,0.0000,0.1756,20.00,85.27,105.27,20.0000,5.9000,0.197444,0.177778,0.019667,-0.000000,0.000000,1400
0.3031,60,-0.0000,0.0000,0.1756,20.00,85.27,105.27,20.0000,6.0000,0.197778,0.177778,0.020000,-0.000000,0.000000,1400
0.3082,61,-0.0000,0.0000,0.1756,20.00,85.27,105.27,20.0000,6.1000,0.198111,0.177778,0.020333,-0.000000,0.000000,1400
0.3133,62,-0.0000,0.0000,0.1756,20.00,85.27,105.27,20.0000,6.2000,0.198444,0.177778,0.020667,-0.000000,0.000000,1400
0.3184,63,-0.0000,0.0000,0.1756,20.00,85.27,105.27,20.0000,6.3000,0.198778,0.177778,0.021000,-0.000000,0.000000,1400
0.3235,64,-0.0000,0.0000,0.1756,20.00,85.27,105.27,20.0000,6.4000,0.199111,0.177778,0.021333,-0.000000,0.000000,1400
0.3286,65,-0.0000,0.0000,0.1756,20.00,85.27,105.27,20.0000,6.5000,0.199444,0.177778,0.021667,-0.000000,0.000000,1400
0.3337,66,-0.0000,0.0000,0.1756,20.00,85.27,105.27,20.0000,6.6000,0.199778,0.177778,0.022000,-0.000000,0.000000,1400
0.3388,67,-0.0000,0.0000,0.1756,20.00,85.27,105.27,20.0000,6.7000,0.200111,0.177778,0.022333,-0.000000,0.000000,1399
0.3439,68,-0.0000,0.0000,0.0202,20.00,85.27,105.27,20.0000,6.8000,0.200444,0.177778,0.022667,-0.000000,0.000000,1399
0.3490,69,-0.0000,0.0000,0.0202,20.00,85.27,105.27,20.0000,6.9000,0.200778,0.177778,0.023000,-0.000000,0.000000,1399
0.3540,70,-0.0000,0.0000,0.0202,20.00,85.27,105.27,20.0000,7.0000,0.201111,0.177778,0.023333,-0.000000,0.000000,1399
0.3591,71,-0.0000,0.0000,0.0202,20.00,85.27,105.27,20.0000,7.1000,0.201444,0.177778,0.023667,-0.000000,0.000000,1399
0.3642,72,0.1800,10.8000,0.0202,20.00,85.27,105.27,19.8200,7.1991,0.140175,0.176178,0.023997,-0.060000,0.000000,1419
0.3693,73,0.1800,7.5600,0.0202,20.00,85.27,105.27,19.8200,7.2982,0.158505,0.176178,0.024327,-0.042000,0.000000,1415
0.3744,74,0.1800,5.2920,0.0202,20.00,85.27,105.27,19.8200,7.3973,0.171435,0.176178,0.024658,-0.029400,0.000000,1410
0.3795,75,0.1800,3.7044,0.0202,20.00,85.27,105.27,19.8200,7.4964,0.180586,0.176178,0.024988,-0.020580,0.000000,1407
0.3846,76,0.1800,2.5931,0.0202,20.00,85.27,105.27,19.8200,7.5955,0.187090,0.176178,0.025318,-0.014406,0.000000,1404
0.3897,77,0.1800,1.8152,-0.121,20.00,85.27,105.27,19.8200,7.6946,0.191742,0.176178,0.025649,-0.010084,0.000000,1403
0.3948,78,0.1800,1.2706,-0.121,20.00,85.27,105.27,19.8200,7.7937,0.195098,0.176178,0.025979,-0.007059,0.000000,1401
0.3999,79,0.1800,0.8894,-0.121,20.00,85.27,105.27,19.8200,7.8928,0.197546,0.176178,0.026309,-0.004941,0.000000,1400
0.4050,80,0.1800,0.6226,-0.121,20.00,85.27,105.27,19.8200,7.9919,0.199359,0.176178,0.026640,-0.003459,0.000000,1400
0.4100,81,0.1800,0.4358,-0.121,20.00,85.27,105.27,19.8200,8.0910,0.200727,0.176178,0.026970,-0.002421,0.000000,1399
0.4151,82,0.1800,0.3051,-0.121,20.00,85.27,105.27,19.8200,8.1901,0.201783,0.176178,0.027300,-0.001695,0.000000,1399
