t_s,iteration,psi_imu_deg,psi_enc_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0023,-0.0000,-0.0000,90.00,89.9977,0.739997,0.099997,0.000000,0.640000,1197,88.7211
0.0201,2,0.0023,-0.0000,-0.0000,90.00,89.9977,0.739997,0.099997,0.000000,0.640000,1197,88.7211
0.0402,3,0.0021,-0.0000,-0.1119,90.00,89.9979,0.740122,0.099998,0.000124,0.640000,1197,88.7212
0.0602,4,0.0021,-0.0000,-0.1119,90.00,89.9979,0.740122,0.099998,0.000124,0.640000,1197,88.7212
0.0803,5,0.0068,-0.0000,-0.1119,90.00,89.9932,0.740117,0.099992,0.000124,0.640000,1197,88.7166
0.1004,6,0.0068,-0.0000,0.1119,90.00,89.9932,0.739868,0.099992,-0.000124,0.640000,1197,88.7166
0.1205,7,0.0068,-0.0000,0.1119,90.00,89.9932,0.739868,0.099992,-0.000124,0.640000,1197,88.7166
0.1405,8,0.0068,-0.0000,-0.1119,90.00,89.9932,0.740117,0.099992,0.000124,0.640000,1197,88.7166
0.1606,9,0.0068,-0.0000,-0.1119,90.00,89.9932,0.740117,0.099992,0.000124,0.640000,1197,88.7166
0.1807,10,0.0116,-0.0000,-0.1119,90.00,89.9884,0.740111,0.099987,0.000124,0.640000,1197,88.7118
0.2008,11,0.0116,-0.0000,0.4476,90.00,89.9884,0.739490,0.099987,-0.000497,0.640000,1197,88.7118
0.2208,12,0.0116,-0.0000,0.4476,90.00,89.9884,0.739490,0.099987,-0.000497,0.640000,1197,88.7118
0.2409,13,0.0016,-0.0000,1.7905,90.00,89.9984,0.738009,0.099998,-0.001989,0.640000,1198,88.7218
0.2610,14,0.0016,0.1800,1.7905,90.00,89.9984,0.738009,0.099998,-0.001989,0.640000,1198,88.7218
0.2811,15,-0.3128,0.1800,1.7905,90.00,90.3128,0.738358,0.100348,-0.001989,0.640000,1198,89.0361
0.3012,16,-0.3128,0.3600,5.8191,90.00,90.3128,0.733882,0.100348,-0.006466,0.640000,1199,89.0361
0.3213,17,-0.3128,0.7200,5.8191,90.00,90.3128,0.733882,0.100348,-0.006466,0.640000,1199,89.0361
0.3413,18,-0.6001,1.6200,27.1931,90.00,90.6001,0.710452,0.100667,-0.030215,0.640000,1208,89.3234
0.3614,19,-0.6001,2.5200,27.1931,90.00,90.6001,0.710452,0.100667,-0.030215,0.640000,1208,89.3234
0.3815,20,0.1390,4.3200,27.1931,90.00,89.8610,0.709631,0.099846,-0.030215,0.640000,1208,88.5844
0.4016,21,0.1390,6.4800,83.8175,90.00,89.8610,0.646715,0.099846,-0.093131,0.640000,1232,88.5844
0.4216,22,0.1390,8.6400,83.8175,90.00,89.8610,0.646715,0.099846,-0.093131,0.640000,1232,88.5844
0.4417,23,5.4902,11.8800,152.6395,90.00,84.5098,0.564300,0.093900,-0.169599,0.640000,1263,83.2331
0.4618,24,5.4902,14.0400,152.6395,90.00,84.5098,0.564300,0.093900,-0.169599,0.640000,1263,83.2331
0.4819,25,14.0418,17.1000,152.6395,90.00,75.9582,0.554799,0.084398,-0.169599,0.640000,1266,74.6816
0.5020,26,14.0418,19.6200,209.0401,90.00,75.9582,0.492131,0.084398,-0.232267,0.640000,1290,74.6816
0.5220,27,14.0418,21.9600,209.0401,90.00,75.9582,0.492131,0.084398,-0.232267,0.640000,1290,74.6816
0.5421,28,25.0870,24.4800,240.1499,90.00,64.9130,0.445292,0.072126,-0.266833,0.640000,1308,63.6364
0.5622,29,25.0870,26.4600,240.1499,90.00,64.9130,0.445292,0.072126,-0.266833,0.640000,1308,63.6364
0.5823,30,37.3305,29.3400,240.1499,90.00,52.6695,0.431688,0.058522,-0.266833,0.640000,1313,51.3929
0.6024,31,37.3305,31.8600,247.7595,90.00,52.6695,0.423233,0.058522,-0.275288,0.640000,1316,51.3929
0.6224,32,37.3305,34.5600,247.7595,90.00,52.6695,0.423233,0.058522,-0.275288,0.640000,1316,51.3929
0.6425,33,49.3962,37.2600,224.1474,90.00,40.6038,0.436063,0.045115,-0.249053,0.640000,1311,39.3271
0.6626,34,49.3962,39.7800,224.1474,90.00,40.6038,0.436063,0.045115,-0.249053,0.640000,1311,39.3271
0.6827,35,60.4175,43.0200,197.4019,90.00,29.5825,0.453534,0.032869,-0.219335,0.640000,1304,28.3059
0.7028,36,60.4175,45.7200,197.4019,90.00,29.5825,0.453534,0.032869,-0.219335,0.640000,1304,28.3059
0.7229,37,60.4175,47.7000,197.4019,90.00,29.5825,0.453534,0.032869,-0.219335,0.640000,1304,28.3059
0.7430,38,69.7807,50.2200,159.6896,90.00,20.2193,0.485033,0.022466,-0.177433,0.640000,1293,18.9426
0.7630,39,69.7807,52.3800,159.6896,90.00,20.2193,0.485033,0.022466,-0.177433,0.640000,1293,18.9426
0.7831,40,77.1776,55.0800,159.6896,90.00,12.8224,0.476814,0.014247,-0.177433,0.640000,1296,11.5458
0.8032,41,77.1776,56.8800,118.5083,90.00,12.8224,0.522571,0.014247,-0.131676,0.640000,1279,11.5458
0.8233,42,77.1776,58.6800,118.5083,90.00,12.8224,0.522571,0.014247,-0.131676,0.640000,1279,11.5458
0.8433,43,82.5377,60.4800,83.5936,90.00,7.4623,0.555410,0.008291,-0.092882,0.640000,1266,6.1856
0.8634,44,82.5377,61.3800,83.5936,90.00,7.4623,0.555410,0.008291,-0.092882,0.640000,1266,6.1856
0.8835,45,86.1492,62.6400,50.6933,90.00,3.8508,0.587953,0.004279,-0.056326,0.640000,1254,2.5741
0.9036,46,86.1492,63.1800,50.6933,90.00,3.8508,0.587953,0.004279,-0.056326,0.640000,1254,2.5741
0.9236,47,86.1492,63.7200,50.6933,90.00,3.8508,0.587953,0.004279,-0.056326,0.640000,1254,2.5741
0.9437,48,88.1707,64.0800,22.3812,90.00,1.8293,0.617165,0.002033,-0.024868,0.640000,1243,0.5526
0.9638,49,88.1707,64.2600,22.3812,90.00,1.8293,0.617165,0.002033,-0.024868,0.640000,1243,0.5526
0.9839,50,88.9751,64.4400,2.9096,90.00,1.0249,0.637906,0.001139,-0.003233,0.640000,1235,-0.2517
1.0040,51,88.9751,64.2600,2.9096,90.00,1.0249,0.637906,0.001139,-0.003233,0.640000,1235,-0.2517
1.0240,52,88.9751,64.2600,2.9096,90.00,1.0249,0.637906,0.001139,-0.003233,0.640000,1235,-0.1956
1.0441,53,88.9190,63.9000,-8.6167,90.00,1.0810,0.650775,0.001201,0.009574,0.640000,1230,-0.1956
1.0642,54,88.9190,63.7200,-8.6167,90.00,1.0810,0.650775,0.001201,0.009574,0.640000,1230,-0.1956
1.0843,55,88.3804,63.3600,-14.9954,90.00,1.6196,0.658461,0.001800,0.016662,0.640000,1228,0.3429
1.1043,56,88.3804,63.1800,-14.9954,90.00,1.6196,0.658461,0.001800,0.016662,0.640000,1228,0.3429
1.1244,57,87.6181,62.8200,-14.9954,90.00,2.3819,0.659308,0.002647,0.016662,0.640000,1227,1.1052
1.1445,58,87.6181,62.4600,-16.5621,90.00,2.3819,0.661049,0.002647,0.018402,0.640000,1227,1.1052
1.1646,59,87.6181,62.2800,-16.5621,90.00,2.3819,0.661049,0.002647,0.018402,0.640000,1227,1.1052
1.1847,60,86.8418,61.9200,-13.4287,90.00,3.1582,0.658430,0.003509,0.014921,0.640000,1228,1.8816
1.2048,61,86.8418,61.7400,-13.4287,90.00,3.1582,0.658430,0.003509,0.014921,0.640000,1228,1.8816
1.2248,62,86.2121,61.3800,-13.4287,90.00,3.7879,0.659130,0.004209,0.014921,0.640000,1227,2.5113
1.2449,63,86.2121,61.2000,-9.2882,90.00,3.7879,0.654529,0.004209,0.010320,0.640000,1229,2.5113
1.2650,64,86.2121,61.2000,-9.2882,90.00,3.7879,0.654529,0.004209,0.010320,0.640000,1229,2.5113
1.2851,65,85.7922,61.0200,-5.4834,90.00,4.2078,0.650768,0.004675,0.006093,0.640000,1230,2.9311
1.3052,66,85.7922,61.0200,-5.4834,90.00,4.2078,0.650768,0.004675,0.006093,0.640000,1230,2.9311
