t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-0.1003,-0.436712,-0.557130,-0.000446,0.000000,0.120864,1520,16.2597
0.0070,2,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-0.2006,-0.437158,-0.557130,-0.000891,0.000000,0.120864,1540,16.2597
0.0121,3,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-0.3009,-0.437604,-0.557130,-0.001337,0.000000,0.120864,1560,16.2597
0.0172,4,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-0.4011,-0.438050,-0.557130,-0.001783,0.000000,0.120864,1580,16.2597
0.0223,5,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-0.5014,-0.438495,-0.557130,-0.002229,0.000000,0.120864,1600,16.2597
0.0274,6,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-0.6017,-0.438941,-0.557130,-0.002674,0.000000,0.120864,1620,16.2597
0.0325,7,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-0.7020,-0.439387,-0.557130,-0.003120,0.000000,0.120864,1640,16.2597
0.0375,8,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-0.8023,-0.439832,-0.557130,-0.003566,0.000000,0.120864,1660,16.2597
0.0426,9,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-0.9026,-0.440278,-0.557130,-0.004011,0.000000,0.120864,1680,16.2597
0.0477,10,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-1.0028,-0.440724,-0.557130,-0.004457,0.000000,0.120864,1690,16.2597
0.0529,11,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-1.1031,-0.441169,-0.557130,-0.004903,0.000000,0.120864,1690,16.2597
0.0580,12,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-1.2034,-0.441615,-0.557130,-0.005348,0.000000,0.120864,1690,16.2597
0.0631,13,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-1.3037,-0.442061,-0.557130,-0.005794,0.000000,0.120864,1690,16.2597
0.0682,14,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-1.4040,-0.442507,-0.557130,-0.006240,0.000000,0.120864,1690,16.2597
0.0733,15,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-1.5043,-0.442952,-0.557130,-0.006686,0.000000,0.120864,1691,16.2597
0.0784,16,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-1.6045,-0.443398,-0.557130,-0.007131,0.000000,0.120864,1691,16.2597
0.0835,17,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-1.7048,-0.443844,-0.557130,-0.007577,0.000000,0.120864,1691,16.2597
0.0886,18,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-1.8051,-0.444289,-0.557130,-0.008023,0.000000,0.120864,1691,16.2597
0.0948,19,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-1.9054,-0.444735,-0.557130,-0.008468,0.000000,0.120864,1691,16.2597
0.1000,20,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-2.0057,-0.445181,-0.557130,-0.008914,0.000000,0.120864,1691,16.2597
0.1064,21,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-2.1060,-0.445626,-0.557130,-0.009360,0.000000,0.120864,1692,16.2597
0.1115,22,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-2.2062,-0.446072,-0.557130,-0.009805,0.000000,0.120864,1692,16.2597
0.1166,23,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-2.3065,-0.446518,-0.557130,-0.010251,0.000000,0.120864,1692,16.2597
0.1217,24,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-2.4068,-0.446964,-0.557130,-0.010697,0.000000,0.120864,1692,16.2597
0.1268,25,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-2.5071,-0.447409,-0.557130,-0.011143,0.000000,0.120864,1692,16.2597
0.1319,26,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-2.6074,-0.447855,-0.557130,-0.011588,0.000000,0.120864,1692,16.2597
0.1370,27,0.0567,-0.0000,0.0099,-0.0000,-20.00,73.68,53.68,-20.0567,-2.7077,-0.448301,-0.557130,-0.012034,0.000000,0.120864,1693,16.266
0.1420,28,0.0505,-0.0000,0.0102,-0.0000,-20.00,73.68,53.68,-20.0505,-2.8079,-0.448573,-0.556957,-0.012480,0.000000,0.120864,1693,16.266
0.1471,29,0.0505,-0.0000,0.0102,-0.0000,-20.00,73.68,53.68,-20.0505,-2.9082,-0.449019,-0.556957,-0.012925,0.000000,0.120864,1693,16.266
0.1522,30,0.0505,-0.0000,0.0102,-0.0000,-20.00,73.68,53.68,-20.0505,-3.0084,-0.449464,-0.556957,-0.013371,0.000000,0.120864,1693,16.266
0.1573,31,0.0505,-0.0000,0.0102,-0.0000,-20.00,73.68,53.68,-20.0505,-3.1087,-0.449910,-0.556957,-0.013816,0.000000,0.120864,1693,16.266
0.1623,32,0.0505,-0.0000,0.0102,-0.0000,-20.00,73.68,53.68,-20.0505,-3.2089,-0.450356,-0.556957,-0.014262,0.000000,0.120864,1693,16.266
0.1674,33,0.0505,-0.0000,0.0102,-0.0000,-20.00,73.68,53.68,-20.0505,-3.3092,-0.450801,-0.556957,-0.014707,0.000000,0.120864,1694,16.266
0.1725,34,0.0505,-0.0000,0.0102,-0.0000,-20.00,73.68,53.68,-20.0505,-3.4094,-0.451247,-0.556957,-0.015153,0.000000,0.120864,1694,16.266
0.1776,35,0.0505,-0.0000,0.0102,-0.0000,-20.00,73.68,53.68,-20.0505,-3.5097,-0.451692,-0.556957,-0.015599,0.000000,0.120864,1694,16.266
0.1827,36,0.0505,-0.0000,0.0102,-0.0000,-20.00,73.68,53.68,-20.0505,-3.6099,-0.452138,-0.556957,-0.016044,0.000000,0.120864,1694,16.266
0.1878,37,0.0479,-0.0000,0.0091,-0.0000,-20.00,73.68,53.68,-20.0479,-3.7102,-0.452511,-0.556885,-0.016490,0.000000,0.120864,1694,16.2686
0.1928,38,0.0479,-0.0000,0.0091,-0.0000,-20.00,73.68,53.68,-20.0479,-3.8104,-0.452957,-0.556885,-0.016935,0.000000,0.120864,1694,16.2686
0.1979,39,0.0479,-0.0000,0.0091,-0.4476,-20.00,73.68,53.68,-20.0479,-3.9106,-0.450418,-0.556885,-0.017381,0.002984,0.120864,1693,16.2686
0.2032,40,0.0479,-0.0000,0.0091,-0.4476,-20.00,73.68,53.68,-20.0479,-4.0109,-0.450864,-0.556885,-0.017826,0.002984,0.120864,1694,16.2686
0.2083,41,0.0479,-0.0000,0.0091,-0.4476,-20.00,73.68,53.68,-20.0479,-4.1111,-0.451309,-0.556885,-0.018272,0.002984,0.120864,1694,16.2686
0.2135,42,0.0479,-0.0000,0.0091,-0.4476,-20.00,73.68,53.68,-20.0479,-4.2114,-0.451755,-0.556885,-0.018717,0.002984,0.120864,1694,16.2686
0.2186,43,0.0479,-0.0000,0.0091,-0.4476,-20.00,73.68,53.68,-20.0479,-4.3116,-0.452200,-0.556885,-0.019163,0.002984,0.120864,1694,16.2686
0.2237,44,0.0479,-0.0000,0.0091,-0.4476,-20.00,73.68,53.68,-20.0479,-4.4118,-0.452646,-0.556885,-0.019608,0.002984,0.120864,1694,16.2686
0.2288,45,0.0479,-0.0000,0.0091,-0.4476,-20.00,73.68,53.68,-20.0479,-4.5121,-0.453091,-0.556885,-0.020054,0.002984,0.120864,1694,16.2686
0.2339,46,0.0479,-0.0000,0.0091,-0.4476,-20.00,73.68,53.68,-20.0479,-4.6123,-0.453537,-0.556885,-0.020499,0.002984,0.120864,1695,16.2686
0.2390,47,0.0228,-0.0000,0.0037,-0.4476,-20.00,73.68,53.68,-20.0228,-4.7124,-0.453285,-0.556188,-0.020944,0.002984,0.120864,1694,16.2937
0.2457,48,0.0228,-0.0000,0.0037,-0.4476,-20.00,73.68,53.68,-20.0228,-4.8125,-0.453730,-0.556188,-0.021389,0.002984,0.120864,1695,16.2937
0.2509,49,0.0228,-0.0000,0.0037,-1.0072,-20.00,73.68,53.68,-20.0228,-4.9127,-0.450444,-0.556188,-0.021834,0.006714,0.120864,1693,16.2937
0.2568,50,0.0228,-0.0000,0.0037,-1.0072,-20.00,73.68,53.68,-20.0228,-5.0128,-0.450889,-0.556188,-0.022279,0.006714,0.120864,1694,16.2937
0.2618,51,0.0228,-0.1800,0.0037,-1.0072,-20.00,73.68,53.68,-20.0228,-5.1129,-0.451334,-0.556188,-0.022724,0.006714,0.120864,1694,16.2937
0.2669,52,0.0228,-0.1800,0.0037,-1.0072,-20.00,73.68,53.68,-20.0228,-5.2130,-0.451779,-0.556188,-0.023169,0.006714,0.120864,1694,16.2937
0.2720,53,0.0228,-0.1800,0.0037,-1.0072,-20.00,73.68,53.68,-20.0228,-5.3131,-0.452224,-0.556188,-0.023614,0.006714,0.120864,1694,16.2937
0.2771,54,0.0228,-0.1800,0.0037,-1.0072,-20.00,73.68,53.68,-20.0228,-5.4132,-0.452669,-0.556188,-0.024059,0.006714,0.120864,1694,16.2937
0.2822,55,0.0228,-0.1800,0.0037,-1.0072,-20.00,73.68,53.68,-20.0228,-5.5133,-0.453114,-0.556188,-0.024504,0.006714,0.120864,1694,16.2937
0.2873,56,0.0228,-0.1800,0.0037,-1.0072,-20.00,73.68,53.68,-20.0228,-5.6135,-0.453559,-0.556188,-0.024949,0.006714,0.120864,1695,16.376
