t_s,iteration,psi_imu_deg,psi_enc_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0558,-0.0000,-0.0000,30.00,30.0558,0.483395,0.033395,0.000000,0.450000,1293,88.6267
0.0201,2,-0.0558,-0.0000,-0.0000,30.00,30.0558,0.483395,0.033395,0.000000,0.450000,1293,88.6267
0.0402,3,-0.0558,-0.0000,-0.0000,30.00,30.0558,0.483395,0.033395,0.000000,0.450000,1293,88.6267
0.0603,4,-0.0558,-0.0000,-0.0000,30.00,30.0558,0.483395,0.033395,0.000000,0.450000,1293,88.6267
0.0803,5,-0.0558,-0.0000,-0.0000,30.00,30.0558,0.483395,0.033395,0.000000,0.450000,1293,88.6267
0.1005,6,-0.0558,-0.0000,-0.0000,30.00,30.0558,0.483395,0.033395,0.000000,0.450000,1293,88.6267
0.1205,7,-0.0558,-0.0000,-0.0000,30.00,30.0558,0.483395,0.033395,0.000000,0.450000,1293,88.6267
0.1406,8,-0.0558,-0.0000,-0.0000,30.00,30.0558,0.483395,0.033395,0.000000,0.450000,1293,88.6267
0.1607,9,-0.0558,-0.0000,-0.0000,30.00,30.0558,0.483395,0.033395,0.000000,0.450000,1293,88.6267
0.1808,10,-0.0558,-0.0000,-0.0000,30.00,30.0558,0.483395,0.033395,0.000000,0.450000,1293,88.6267
0.2009,11,-0.0558,-0.0000,-0.0000,30.00,30.0558,0.483395,0.033395,0.000000,0.450000,1293,88.6267
0.2209,12,-0.0558,-0.0000,-0.0000,30.00,30.0558,0.483395,0.033395,0.000000,0.450000,1293,88.6267
0.2410,13,-0.0558,-0.0000,-0.0000,30.00,30.0558,0.483395,0.033395,0.000000,0.450000,1293,88.6267
0.2611,14,-0.0558,-0.0000,-0.0000,30.00,30.0558,0.483395,0.033395,0.000000,0.450000,1293,88.6267
0.2812,15,-0.0817,0.1800,2.3500,30.00,30.0817,0.480813,0.033424,-0.002611,0.450000,1294,88.6526
0.3013,16,-0.0817,0.1800,2.3500,30.00,30.0817,0.480813,0.033424,-0.002611,0.450000,1294,88.6526
0.3214,17,-0.1711,0.3600,2.3500,30.00,30.1711,0.480912,0.033523,-0.002611,0.450000,1294,88.7421
0.3415,18,-0.1711,0.7200,9.2882,30.00,30.1711,0.473203,0.033523,-0.010320,0.450000,1297,88.7421
0.3615,19,-0.1711,1.0800,9.2882,30.00,30.1711,0.473203,0.033523,-0.010320,0.450000,1297,88.7421
0.3816,20,-0.8027,1.8000,29.5431,30.00,30.8027,0.451400,0.034225,-0.032826,0.450000,1305,89.3737
0.4017,21,-0.8027,2.7000,29.5431,30.00,30.8027,0.451400,0.034225,-0.032826,0.450000,1305,89.3737
0.4218,22,-0.0759,3.7800,29.5431,30.00,30.0759,0.450592,0.033418,-0.032826,0.450000,1306,88.6468
0.4418,23,-0.0759,5.2200,57.4077,30.00,30.0759,0.419631,0.033418,-0.063786,0.450000,1317,88.6468
0.4619,24,-0.0759,6.6600,57.4077,30.00,30.0759,0.419631,0.033418,-0.063786,0.450000,1317,88.6468
0.4820,25,3.2777,8.6400,85.0484,30.00,26.7223,0.385193,0.029691,-0.094498,0.450000,1330,85.2932
0.5021,26,3.2777,10.4400,85.0484,30.00,26.7223,0.385193,0.029691,-0.094498,0.450000,1330,85.2932
0.5221,27,7.9392,12.6000,85.0484,30.00,22.0608,0.380014,0.024512,-0.094498,0.450000,1332,80.6318
0.5422,28,7.9392,14.7600,106.7582,30.00,22.0608,0.355892,0.024512,-0.118620,0.450000,1341,80.6318
0.5623,29,7.9392,17.1000,106.7582,30.00,22.0608,0.355892,0.024512,-0.118620,0.450000,1341,80.6318
0.5823,30,13.5285,19.8000,118.5083,30.00,16.4715,0.336626,0.018302,-0.131676,0.450000,1348,75.0424
0.6024,31,13.5285,21.7800,118.5083,30.00,16.4715,0.336626,0.018302,-0.131676,0.450000,1348,75.0424
0.6225,32,19.4556,23.9400,118.5083,30.00,10.5444,0.330040,0.011716,-0.131676,0.450000,1351,69.1154
0.6426,33,19.4556,26.2800,118.0606,30.00,10.5444,0.330538,0.011716,-0.131178,0.450000,1351,69.1154
0.6626,34,19.4556,28.4400,118.0606,30.00,10.5444,0.330538,0.011716,-0.131178,0.450000,1351,69.1154
0.6827,35,25.2381,30.7800,108.5486,30.00,4.7619,0.334681,0.005291,-0.120610,0.450000,1349,63.3329
0.7028,36,25.2381,32.4000,108.5486,30.00,4.7619,0.334681,0.005291,-0.120610,0.450000,1349,63.3329
0.7229,37,30.4553,34.5600,108.5486,30.00,-0.4553,0.328884,-0.000506,-0.120610,0.450000,1351,58.1156
0.7429,38,30.4553,36.0000,89.1889,30.00,-0.4553,0.350395,-0.000506,-0.099099,0.450000,1343,58.1156
0.7630,39,30.4553,37.4400,89.1889,30.00,-0.4553,0.350395,-0.000506,-0.099099,0.450000,1343,58.1156
0.7834,40,34.5637,38.7000,65.2411,30.00,-4.5637,0.372439,-0.005071,-0.072490,0.450000,1335,54.0073
0.8035,41,34.5637,39.6000,65.2411,30.00,-4.5637,0.372439,-0.005071,-0.072490,0.450000,1335,54.0073
0.8236,42,37.4281,40.5000,65.2411,30.00,-7.4281,0.369256,-0.008253,-0.072490,0.450000,1336,51.1428
0.8436,43,37.4281,41.0400,38.6075,30.00,-7.4281,0.398849,-0.008253,-0.042897,0.450000,1325,51.1428
0.8637,44,37.4281,41.4000,38.6075,30.00,-7.4281,0.398849,-0.008253,-0.042897,0.450000,1325,51.1428
0.8838,45,38.9440,41.5800,11.5263,30.00,-8.9440,0.427255,-0.009938,-0.012807,0.450000,1314,49.6270
0.9039,46,38.9440,41.4000,11.5263,30.00,-8.9440,0.427255,-0.009938,-0.012807,0.450000,1314,49.6270
0.9239,47,39.1495,41.2200,11.5263,30.00,-9.1495,0.427027,-0.010166,-0.012807,0.450000,1314,49.4214
0.9440,48,39.1495,40.8600,-12.9811,30.00,-9.1495,0.454257,-0.010166,0.014423,0.450000,1304,49.4214
0.9641,49,39.1495,40.3200,-12.9811,30.00,-9.1495,0.454257,-0.010166,0.014423,0.450000,1304,49.4214
0.9842,50,38.2195,39.6000,-31.6693,30.00,-8.2195,0.476055,-0.009133,0.035188,0.450000,1296,50.3515
1.0042,51,38.2195,38.8800,-31.6693,30.00,-8.2195,0.476055,-0.009133,0.035188,0.450000,1296,50.3515
1.0243,52,36.4288,37.8000,-31.6693,30.00,-6.4288,0.478045,-0.007143,0.035188,0.450000,1295,52.1421
1.0444,53,36.4288,36.9000,-44.0909,30.00,-6.4288,0.491847,-0.007143,0.048990,0.450000,1290,52.1421
1.0645,54,36.4288,36.0000,-44.0909,30.00,-6.4288,0.491847,-0.007143,0.048990,0.450000,1290,52.1421
1.0845,55,34.0620,34.7400,-50.0219,30.00,-4.0620,0.501067,-0.004513,0.055580,0.450000,1287,54.5089
1.1046,56,34.0620,33.8400,-50.0219,30.00,-4.0620,0.501067,-0.004513,0.055580,0.450000,1287,54.5089
1.1247,57,31.4733,32.7600,-50.0219,30.00,-1.4733,0.503943,-0.001637,0.055580,0.450000,1286,57.0977
1.1448,58,31.4733,31.8600,-53.9386,30.00,-1.4733,0.508295,-0.001637,0.059932,0.450000,1284,57.0977
1.1648,59,31.4733,30.9600,-53.9386,30.00,-1.4733,0.508295,-0.001637,0.059932,0.450000,1284,57.0977
1.1849,60,29.0018,29.8800,-45.4338,30.00,0.9982,0.501591,0.001109,0.050482,0.450000,1286,59.5692
1.2050,61,29.0018,29.1600,-45.4338,30.00,0.9982,0.501591,0.001109,0.050482,0.450000,1286,59.5692
1.2250,62,26.9402,28.2600,-45.4338,30.00,3.0598,0.503882,0.003400,0.050482,0.450000,1286,61.6308
1.2451,63,26.9402,27.9000,-32.7884,30.00,3.0598,0.489831,0.003400,0.036432,0.450000,1291,61.6308
1.2652,64,26.9402,27.3600,-32.7884,30.00,3.0598,0.489831,0.003400,0.036432,0.450000,1291,61.6308
1.2853,65,25.2695,26.8200,-19.4716,30.00,4.7305,0.476891,0.005256,0.021635,0.450000,1296,63.3014
1.3053,66,25.2695,26.6400,-19.4716,30.00,4.7305,0.476891,0.005256,0.021635,0.450000,1296,63.3014
1.3254,67,24.4969,26.2800,-19.4716,30.00,5.5031,0.477750,0.006115,0.021635,0.450000,1295,64.0741
1.3455,68,24.4969,26.2800,-6.8263,30.00,5.5031,0.463699,0.006115,0.007585,0.450000,1301,64.0741
1.3656,69,24.4969,26.2800,-6.8263,30.00,5.5031,0.463699,0.006115,0.007585,0.450000,1301,64.0741
1.3856,70,24.3589,26.2800,-1.1191,30.00,5.6411,0.457511,0.006268,0.001243,0.450000,1303,64.2120
1.4057,71,24.3589,26.4600,-1.1191,30.00,5.6411,0.457511,0.006268,0.001243,0.450000,1303,64.2120
1.4258,72,24.6048,26.8200,14.4359,30.00,5.3952,0.439955,0.005995,-0.016040,0.450000,1310,63.9662
1.4459,73,24.6048,27.0000,14.4359,30.00,5.3952,0.439955,0.005995,-0.016040,0.450000,1310,63.9662
1.4660,74,24.6048,27.3600,14.4359,30.00,5.3952,0.439955,0.005995,-0.016040,0.450000,1310,63.9662
1.4861,75,25.3203,27.9000,18.2406,30.00,4.6797,0.434932,0.005200,-0.020267,0.450000,1311,63.2506
1.5062,76,25.3203,28.2600,18.2406,30.00,4.6797,0.434932,0.005200,-0.020267,0.450000,1311,63.2506
1.5263,77,26.3330,28.8000,21.8216,30.00,3.6670,0.429828,0.004074,-0.024246,0.450000,1313,62.2379
1.5464,78,26.3330,29.1600,21.8216,30.00,3.6670,0.429828,0.004074,-0.024246,0.450000,1313,62.2379
1.5665,79,26.3330,29.5200,21.8216,30.00,3.6670,0.429828,0.004074,-0.024246,0.450000,1313,61.1386
1.5866,80,27.4324,30.0600,21.9335,30.00,2.5676,0.428482,0.002853,-0.024371,0.450000,1314,61.1386
1.6066,81,27.4324,30.4200,21.9335,30.00,2.5676,0.428482,0.002853,-0.024371,0.450000,1314,61.1386
1.6267,82,28.4903,30.9600,19.6954,30.00,1.5097,0.429794,0.001677,-0.021884,0.450000,1313,60.0806
1.6468,83,28.4903,31.1400,19.6954,30.00,1.5097,0.429794,0.001677,-0.021884,0.450000,1313,60.0806
1.6669,84,29.4386,31.6800,19.6954,30.00,0.5614,0.428740,0.000624,-0.021884,0.450000,1314,59.1323
1.6870,85,29.4386,31.8600,17.2335,30.00,0.5614,0.431475,0.000624,-0.019148,0.450000,1313,59.1323
1.7070,86,29.4386,32.2200,17.2335,30.00,0.5614,0.431475,0.000624,-0.019148,0.450000,1313,59.1323
1.7271,87,30.2043,32.4000,11.6382,30.00,-0.2043,0.436842,-0.000227,-0.012931,0.450000,1311,58.3667
1.7472,88,30.2043,32.5800,11.6382,30.00,-0.2043,0.436842,-0.000227,-0.012931,0.450000,1311,58.3667
1.7673,89,30.7250,32.7600,11.6382,30.00,-0.7250,0.436263,-0.000806,-0.012931,0.450000,1311,57.8459
1.7874,90,30.7250,32.9400,6.3786,30.00,-0.7250,0.442107,-0.000806,-0.007087,0.450000,1309,57.8459
1.8074,91,30.7250,32.9400,6.3786,30.00,-0.7250,0.442107,-0.000806,-0.007087,0.450000,1309,57.8459
1.8275,92,30.9565,32.9400,0.8952,30.00,-0.9565,0.447942,-0.001063,-0.000995,0.450000,1307,57.6144
