t_s,iteration,psi_imu_deg,psi_enc_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0007,-0.0000,-0.0000,30.00,30.0007,0.493334,0.033334,0.000000,0.460000,1289,88.7706
0.0201,2,-0.0007,-0.0000,-0.0000,30.00,30.0007,0.493334,0.033334,0.000000,0.460000,1289,88.7706
0.0402,3,-0.0007,-0.0000,-0.0000,30.00,30.0007,0.493334,0.033334,0.000000,0.460000,1289,88.7706
0.0603,4,-0.0007,-0.0000,-0.0000,30.00,30.0007,0.493334,0.033334,0.000000,0.460000,1289,88.7706
0.0803,5,-0.0007,-0.0000,-0.0000,30.00,30.0007,0.493334,0.033334,0.000000,0.460000,1289,88.7706
0.1005,6,-0.0007,-0.0000,-0.0000,30.00,30.0007,0.493334,0.033334,0.000000,0.460000,1289,88.7706
0.1205,7,-0.0007,-0.0000,-0.0000,30.00,30.0007,0.493334,0.033334,0.000000,0.460000,1289,88.7706
0.1406,8,-0.0007,-0.0000,-0.0000,30.00,30.0007,0.493334,0.033334,0.000000,0.460000,1289,88.7706
0.1607,9,-0.0007,-0.0000,-0.0000,30.00,30.0007,0.493334,0.033334,0.000000,0.460000,1289,88.7706
0.1808,10,-0.0007,-0.0000,-0.0000,30.00,30.0007,0.493334,0.033334,0.000000,0.460000,1289,88.7706
0.2009,11,-0.0007,-0.0000,-0.0000,30.00,30.0007,0.493334,0.033334,0.000000,0.460000,1289,88.7706
0.2209,12,-0.0007,-0.0000,-0.0000,30.00,30.0007,0.493334,0.033334,0.000000,0.460000,1289,88.7706
0.2410,13,-0.0007,0.1800,-0.0000,30.00,30.0007,0.493334,0.033334,0.000000,0.460000,1289,88.7706
0.2612,14,-0.0007,0.1800,-0.0000,30.00,30.0007,0.493334,0.033334,0.000000,0.460000,1289,88.7706
0.2813,15,-0.2904,0.1800,-0.0000,30.00,30.2904,0.493656,0.033656,0.000000,0.460000,1289,89.0604
0.3013,16,-0.2904,0.3600,3.1334,30.00,30.2904,0.490174,0.033656,-0.003482,0.460000,1291,89.0604
