t_s,psi_deg,psi_dot_dps,pwm_us
3.3958,48.9072,-12.0858,1300
3.4159,48.0217,-30.7741,1300
3.4360,48.0217,-30.7741,1300
3.4561,46.2250,-30.7741,1300
3.4762,46.2250,-47.7838,1300
3.4963,46.2250,-47.7838,1300
3.5164,43.6483,-60.8768,1300
3.5364,43.6483,-60.8768,1300
3.5565,40.4469,-60.8768,1300
3.5766,40.4469,-72.2912,1300
3.5967,40.4469,-72.2912,1300
3.6168,36.7722,-79.2293,1300
3.6368,36.7722,-79.2293,1300
3.6569,32.7375,-79.2293,1300
3.6770,32.7375,-80.7960,1300
3.6971,32.7375,-80.7960,1300
3.7171,28.7313,-77.6626,1300
3.7372,28.7313,-77.6626,1300
3.7573,24.9433,-77.6626,1300
3.7773,24.9433,-71.2840,1300
3.7974,24.9433,-71.2840,1300
3.8175,21.5594,-59.0863,1300
3.8376,21.5594,-59.0863,1300
3.8576,18.8393,-59.0863,1300
3.8777,18.8393,-43.3076,1300
3.8978,18.8393,-43.3076,1300
3.9179,16.9338,-24.9550,1300
3.9379,16.9338,-24.9550,1300
3.9580,15.9760,-24.9550,1300
3.9781,15.9760,-5.8191,1300
3.9981,15.9760,-5.8191,1300
4.0182,16.0001,12.8692,1300
4.0383,16.0001,12.8692,1300
4.0584,16.9344,12.8692,1300
4.0784,16.9344,30.6622,1300
4.0985,16.9344,30.6622,1300
4.1186,18.7276,45.2100,1300
4.1387,18.7276,45.2100,1300
4.1587,21.2274,45.2100,1300
4.1788,21.2274,57.7434,1300
4.1989,21.2274,57.7434,1300
4.2190,24.2108,64.1220,1300
4.2390,24.2108,64.1220,1300
4.2591,27.5590,64.1220,1300
4.2792,27.5590,68.2625,1300
4.2992,27.5590,68.2625,1300
4.3193,30.9600,66.3602,1300
4.3394,30.9600,66.3602,1300
4.3595,34.2355,66.3602,1300
4.3795,34.2355,60.9887,1300
4.3996,34.2355,60.9887,1300
4.4197,37.1837,52.3719,1300
4.4397,37.1837,52.3719,1300
4.4598,39.6487,52.3719,1300
4.4799,39.6487,41.2932,1300
4.4999,39.6487,41.2932,1300
4.5200,41.5280,27.5288,1300
4.5401,41.5280,27.5288,1300
4.5601,42.7131,27.5288,1300
