t_s,iteration,psi_imu_deg,psi_enc_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0002,-0.0000,-0.0000,90.00,89.9998,0.740000,0.100000,0.000000,0.640000,1197,88.7038
0.0201,2,0.0052,-0.0000,-0.0000,90.00,89.9948,0.739994,0.099994,0.000000,0.640000,1197,88.7038
0.0402,3,0.0052,-0.0000,-0.0000,90.00,89.9948,0.739994,0.099994,0.000000,0.640000,1197,88.7038
0.0603,4,0.0052,-0.0000,0.1119,90.00,89.9948,0.739870,0.099994,-0.000124,0.640000,1197,88.7038
0.0805,5,0.0052,-0.0000,0.1119,90.00,89.9948,0.739870,0.099994,-0.000124,0.640000,1197,88.7038
0.1006,6,0.0052,-0.0000,0.1119,90.00,89.9948,0.739870,0.099994,-0.000124,0.640000,1197,88.7038
0.1209,7,0.0054,-0.0000,0.1119,90.00,89.9946,0.739870,0.099994,-0.000124,0.640000,1197,88.7036
0.1410,8,0.0054,-0.0000,0.1119,90.00,89.9946,0.739870,0.099994,-0.000124,0.640000,1197,88.7036
0.1611,9,0.0053,-0.0000,-0.0000,90.00,89.9947,0.739994,0.099994,0.000000,0.640000,1197,88.7037
0.1813,10,0.0053,-0.0000,-0.0000,90.00,89.9947,0.739994,0.099994,0.000000,0.640000,1197,88.7037
0.2014,11,0.0053,-0.0000,-0.0000,90.00,89.9947,0.739994,0.099994,0.000000,0.640000,1197,88.7087
0.2214,12,0.0003,-0.0000,0.2238,90.00,89.9997,0.739751,0.100000,-0.000249,0.640000,1197,88.7087
0.2417,13,0.0003,-0.0000,0.2238,90.00,89.9997,0.739751,0.100000,-0.000249,0.640000,1197,88.7087
0.2618,14,-0.0194,0.1800,1.9024,90.00,90.0194,0.737908,0.100022,-0.002114,0.640000,1198,88.7284
0.2819,15,-0.0194,0.1800,1.9024,90.00,90.0194,0.737908,0.100022,-0.002114,0.640000,1198,88.7284
0.3020,16,-0.0989,0.3600,1.9024,90.00,90.0989,0.737996,0.100110,-0.002114,0.640000,1198,88.8079
0.3224,17,-0.0989,0.7200,9.0644,90.00,90.0989,0.730038,0.100110,-0.010072,0.640000,1201,88.8079
0.3425,18,-0.0989,1.0800,9.0644,90.00,90.0989,0.730038,0.100110,-0.010072,0.640000,1201,88.8079
0.3626,19,-0.7329,2.3400,34.6908,90.00,90.7329,0.702269,0.100814,-0.038545,0.640000,1211,89.4419
0.3827,20,-0.7329,3.2400,34.6908,90.00,90.7329,0.702269,0.100814,-0.038545,0.640000,1211,89.4419
0.4029,21,1.2483,5.5800,34.6908,90.00,88.7517,0.700068,0.098613,-0.038545,0.640000,1212,87.4607
0.4230,22,1.2483,7.5600,102.5057,90.00,88.7517,0.624718,0.098613,-0.113895,0.640000,1240,87.4607
0.4431,23,1.2483,9.1800,102.5057,90.00,88.7517,0.624718,0.098613,-0.113895,0.640000,1240,87.4607
0.4632,24,7.4366,13.1400,168.4183,90.00,82.5634,0.544606,0.091737,-0.187131,0.640000,1270,81.2724
0.4833,25,7.4366,14.7600,168.4183,90.00,82.5634,0.544606,0.091737,-0.187131,0.640000,1270,81.2724
0.5060,26,16.6417,16.2000,168.4183,90.00,73.3583,0.534378,0.081509,-0.187131,0.640000,1274,72.0673
0.5261,27,16.6417,17.6400,217.2092,90.00,73.3583,0.480166,0.081509,-0.241344,0.640000,1294,72.0673
0.5463,28,16.6417,20.5200,217.2092,90.00,73.3583,0.480166,0.081509,-0.241344,0.640000,1294,72.0673
0.5665,29,27.9106,22.6800,241.3809,90.00,62.0894,0.440787,0.068988,-0.268201,0.640000,1309,60.7984
0.5870,30,27.9106,23.9400,241.3809,90.00,62.0894,0.440787,0.068988,-0.268201,0.640000,1309,60.7984
0.6072,31,40.1487,26.6400,241.3809,90.00,49.8513,0.427189,0.055390,-0.268201,0.640000,1314,48.5603
0.6280,32,40.1487,27.1800,241.9404,90.00,49.8513,0.426568,0.055390,-0.268823,0.640000,1315,48.5603
0.6483,33,40.1487,27.3600,241.9404,90.00,49.8513,0.426568,0.055390,-0.268823,0.640000,1315,48.5603
0.6684,34,51.9346,30.2400,217.8806,90.00,38.0654,0.440205,0.042295,-0.242090,0.640000,1309,36.7744
0.6885,35,51.9346,31.6800,217.8806,90.00,38.0654,0.440205,0.042295,-0.242090,0.640000,1309,36.7744
