t_s,iteration,psi_enc_deg,psi_dot_enc_dps,phi_yaw_deg,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.2154,37,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2238,38,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2290,39,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2341,40,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2392,41,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2443,42,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2497,43,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2547,44,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2599,45,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2650,46,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2701,47,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2752,48,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2803,49,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2854,50,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2905,51,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2956,52,-0.0000,0.0000,0.1963,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.3007,53,-0.0000,0.0000,0.1963,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.3059,54,-0.0000,0.0000,0.1963,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.3110,55,-0.0000,0.0000,0.1963,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.3161,56,0.1800,10.8000,0.1963,90.00,84.79,174.79,89.8200,0.0000,0.700000,0.798400,0.001497,-0.060000,0.022713,1212
0.3212,57,0.1800,7.5600,0.1963,90.00,84.79,174.79,89.8200,0.0000,0.700000,0.798400,0.001497,-0.042000,0.022713,1212
0.3263,58,0.1800,5.2920,0.1963,90.00,84.79,174.79,89.8200,0.0000,0.700000,0.798400,0.001497,-0.029400,0.022713,1212
0.3314,59,0.1800,3.7044,0.1963,90.00,84.79,174.79,89.8200,0.0000,0.700000,0.798400,0.001497,-0.020580,0.022713,1212
0.3365,60,0.1800,2.5931,0.1963,90.00,84.79,174.79,89.8200,0.0000,0.700000,0.798400,0.001497,-0.014406,0.022713,1212
0.3417,61,0.1800,1.8152,0.1963,90.00,84.79,174.79,89.8200,0.0000,0.700000,0.798400,0.001497,-0.010084,0.022713,1212
0.3467,62,0.3600,12.0706,-0.0306,90.00,84.79,174.79,89.6400,0.0000,0.700000,0.796800,0.001494,-0.067059,0.022713,1212
0.3519,63,0.3600,8.4494,-0.0306,90.00,84.79,174.79,89.6400,0.0000,0.700000,0.796800,0.001494,-0.046941,0.022713,1212
0.3571,64,0.3600,5.9146,-0.0306,90.00,84.79,174.79,89.6400,0.0000,0.700000,0.796800,0.001494,-0.032859,0.022713,1212
0.3622,65,0.5400,14.9402,-0.0306,90.00,84.79,174.79,89.4600,0.0000,0.700000,0.795200,0.001491,-0.083001,0.022713,1212
0.3673,66,0.5400,10.4582,-0.0306,90.00,84.79,174.79,89.4600,0.0000,0.700000,0.795200,0.001491,-0.058101,0.022713,1212
0.3724,67,0.7200,18.1207,-0.0306,90.00,84.79,174.79,89.2800,0.0000,0.700000,0.793600,0.001488,-0.100671,0.022713,1212
0.3775,68,0.7200,12.6845,-0.0306,90.00,84.79,174.79,89.2800,0.0000,0.700000,0.793600,0.001488,-0.070469,0.022713,1212
0.3862,69,0.9000,19.6791,-0.0306,90.00,84.79,174.79,89.1000,0.0000,0.700000,0.792000,0.001485,-0.109329,0.022713,1212
0.3932,70,1.0800,24.5754,0.0003,90.00,84.79,174.79,88.9200,0.4446,0.678065,0.790400,0.001482,-0.136530,0.022713,1220
0.4070,71,1.4400,38.8028,0.0003,90.00,84.79,174.79,88.5600,0.8874,0.597300,0.787200,0.002958,-0.215571,0.022713,1240
0.4157,72,1.6200,37.9619,0.0003,90.00,84.79,174.79,88.3800,1.3293,0.601844,0.785600,0.004431,-0.210900,0.022713,1249
0.4208,73,1.8000,37.3734,0.0003,90.00,84.79,174.79,88.2000,1.7703,0.604984,0.784000,0.005901,-0.207630,0.022713,1248
0.4259,74,2.1600,47.7614,0.0003,90.00,84.79,174.79,87.8400,2.2095,0.545537,0.780800,0.007365,-0.265341,0.022713,1268
0.4310,75,2.3400,44.2329,0.0003,90.00,84.79,174.79,87.6600,2.6478,0.565001,0.779200,0.008826,-0.245739,0.022713,1263
0.4361,76,2.5200,41.7631,0.0003,90.00,84.79,174.79,87.4800,3.0852,0.578580,0.777600,0.010284,-0.232017,0.022713,1258
0.4412,77,2.7000,40.0341,0.0003,90.00,84.79,174.79,87.3000,3.5217,0.588040,0.776000,0.011739,-0.222412,0.022713,1254
0.4464,78,2.8800,38.8239,-0.1834,90.00,84.79,174.79,87.1200,3.9573,0.594616,0.774400,0.013191,-0.215688,0.022713,1252
0.4515,79,3.2400,48.7767,-0.1834,90.00,84.79,174.79,86.7600,4.3911,0.537568,0.771200,0.014637,-0.270982,0.022713,1272
0.4569,80,3.4200,44.9437,-0.1834,90.00,84.79,174.79,86.5800,4.8240,0.558706,0.769600,0.016080,-0.249687,0.022713,1265
0.4621,81,3.6000,42.2606,-0.1834,90.00,84.79,174.79,86.4000,5.2560,0.573452,0.768000,0.017520,-0.234781,0.022713,1259
