t_s,angle_deg
0.0000,0.3600
0.0051,0.1800
0.0102,0.1800
0.0152,0.1800
0.0203,0.1800
0.0253,0.1800
0.0304,0.1800
0.0355,0.1800
0.0405,0.1800
0.0456,0.1800
0.0506,0.1800
0.0557,-0.0000
0.0608,-0.0000
0.0658,-0.0000
0.0709,-0.0000
0.0759,-0.0000
0.0810,-0.0000
0.0861,-0.1800
0.0911,-0.1800
0.0962,-0.1800
0.1012,-0.1800
0.1063,-0.1800
0.1114,-0.3600
0.1164,-0.3600
0.1215,-0.3600
0.1265,-0.3600
0.1316,-0.5400
0.1367,-0.5400
0.1417,-0.5400
0.1468,-0.5400
0.1519,-0.7200
0.1569,-0.7200
0.1620,-0.7200
0.1670,-0.9000
0.1721,-0.9000
0.1772,-0.9000
0.1822,-1.0800
0.1873,-1.0800
0.1923,-1.0800
0.1974,-1.2600
0.2025,-1.2600
0.2076,-1.2600
0.2126,-1.4400
0.2177,-1.4400
0.2228,-1.6200
0.2278,-1.6200
0.2329,-1.6200
0.2380,-1.8000
0.2430,-1.8000
0.2481,-1.9800
0.2531,-1.9800
0.2582,-2.1600
0.2633,-2.1600
0.2683,-2.3400
0.2734,-2.3400
0.2785,-2.3400
0.2835,-2.5200
0.2886,-2.5200
0.2937,-2.7000
0.2987,-2.7000
0.3038,-2.8800
0.3088,-2.8800
0.3139,-3.0600
0.3190,-3.2400
0.3240,-3.2400
0.3291,-3.4200
0.3341,-3.4200
0.3392,-3.6000
0.3443,-3.6000
0.3493,-3.7800
0.3544,-3.7800
0.3594,-3.9600
0.3645,-4.1400
0.3696,-4.1400
0.3746,-4.3200
0.3797,-4.3200
0.3847,-4.5000
0.3898,-4.6800
0.3949,-4.6800
0.3999,-4.8600
0.4050,-5.0400
0.4100,-5.0400
0.4151,-5.2200
0.4202,-5.4000
0.4252,-5.4000
0.4303,-5.5800
0.4354,-5.7600
0.4404,-5.7600
0.4455,-5.9400
0.4506,-6.1200
0.4556,-6.1200
0.4607,-6.3000
0.4658,-6.4800
0.4708,-6.6600
0.4759,-6.6600
0.4809,-6.8400
0.4860,-7.0200
0.4911,-7.2000
0.4961,-7.2000
0.5012,-7.3800
0.5062,-7.5600
0.5113,-7.7400
0.5164,-7.7400
0.5214,-7.9200
0.5265,-8.1000
0.5316,-8.2800
0.5367,-8.4600
0.5418,-8.4600
0.5469,-8.6400
0.5520,-8.8200
0.5571,-9.0000
0.5622,-9.1800
0.5672,-9.3600
0.5723,-9.5400
0.5774,-9.5400
0.5825,-9.7200
0.5876,-9.9000
0.5926,-10.0800
0.5977,-10.2600
0.6028,-10.4400
0.6078,-10.6200
0.6129,-10.8000
0.6180,-10.9800
0.6230,-11.1600
0.6281,-11.1600
0.6331,-11.3400
0.6382,-11.5200
0.6433,-11.7000
0.6483,-11.8800
0.6534,-12.0600
0.6584,-12.2400
0.6635,-12.4200
0.6686,-12.6000
0.6736,-12.7800
0.6787,-12.9600
0.6837,-13.1400
0.6888,-13.3200
0.6939,-13.5000
0.6990,-13.6800
0.7040,-13.8600
0.7091,-14.0400
0.7141,-14.2200
0.7192,-14.4000
0.7243,-14.5800
0.7293,-14.7600
0.7344,-14.9400
0.7394,-15.3000
0.7445,-15.4800
0.7496,-15.6600
0.7546,-15.8400
0.7597,-16.0200
0.7647,-16.2000
0.7698,-16.3800
0.7748,-16.5600
0.7799,-16.7400
0.7850,-16.9200
0.7900,-17.1000
0.7951,-17.4600
0.8001,-17.6400
0.8052,-17.8200
0.8103,-18.0000
0.8153,-18.1800
0.8204,-18.3600
0.8255,-18.7200
0.8305,-18.9000
0.8356,-19.0800
0.8407,-19.2600
0.8457,-19.4400
0.8508,-19.6200
0.8559,-19.9800
0.8609,-20.1600
0.8660,-20.3400
0.8711,-20.5200
0.8761,-20.8800
0.8812,-21.0600
0.8862,-21.2400
0.8913,-21.4200
0.8964,-21.6000
0.9014,-21.9600
0.9065,-22.1400
0.9115,-22.3200
0.9166,-22.6800
0.9217,-22.8600
0.9267,-23.0400
0.9318,-23.2200
0.9368,-23.5800
0.9419,-23.7600
0.9470,-23.9400
0.9520,-24.1200
0.9571,-24.4800
0.9621,-24.6600
0.9672,-25.0200
0.9723,-25.2000
0.9773,-25.3800
0.9824,-25.5600
0.9874,-25.9200
0.9925,-26.1000
0.9976,-26.2800
1.0026,-26.6400
1.0077,-26.8200
1.0127,-27.1800
1.0178,-27.3600
1.0229,-27.7200
1.0279,-27.9000
1.0330,-28.0800
1.0381,-28.4400
1.0431,-28.6200
1.0482,-28.8000
1.0533,-29.1600
1.0583,-29.3400
1.0634,-29.7000
1.0685,-29.8800
1.0735,-30.2400
1.0786,-30.4200
1.0836,-30.7800
1.0887,-30.9600
1.0938,-31.1400
1.0988,-31.5000
1.1039,-31.6800
1.1090,-32.0400
1.1140,-32.2200
1.1191,-32.5800
1.1241,-32.7600
1.1292,-33.1200
1.1343,-33.3000
1.1393,-33.6600
1.1444,-33.8400
1.1495,-34.2000
1.1545,-34.3800
1.1596,-34.7400
1.1646,-35.1000
1.1697,-35.2800
1.1748,-35.6400
1.1798,-35.8200
