t_s,iteration,sensor_mode,new_data,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1480
0.0105,2,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1460
0.0158,3,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1440
0.0208,4,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1420
0.0259,5,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1400
0.0310,6,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1380
0.0361,7,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1360
0.0412,8,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1340
0.0463,9,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1320
0.0513,10,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1300
0.0564,11,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1280
0.0615,12,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1260
0.0666,13,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.0717,14,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.0767,15,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.0818,16,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.0869,17,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.0920,18,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.0971,19,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1029,20,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1080,21,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1131,22,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1182,23,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1233,24,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1284,25,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1335,26,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1385,27,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1436,28,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1487,29,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1538,30,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1589,31,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1642,32,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1692,33,enc,1,-0.0000,0.0000,-0.0000,-0.0301,0.1365,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1743,34,enc,0,-0.0000,0.0000,-0.0000,-0.0301,0.1365,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1794,35,enc,0,-0.0000,0.0000,-0.0000,-0.0301,0.1365,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1845,36,enc,0,-0.0000,0.0000,-0.0000,-0.0301,0.1365,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1896,37,enc,0,-0.0000,0.0000,-0.0000,-0.0301,0.1365,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1947,38,enc,0,-0.0000,0.0000,-0.0000,-0.0301,0.1365,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.1997,39,enc,1,-0.0000,0.0000,-0.0000,-0.0224,0.1751,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2048,40,enc,0,-0.0000,0.0000,-0.0000,-0.0224,0.1751,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2099,41,enc,1,-0.0000,0.0000,-0.0000,-0.0301,0.1365,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2150,42,enc,1,-0.0000,0.0000,-0.0000,-0.0339,0.0941,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2201,43,enc,1,-0.0000,0.0000,-0.0000,-0.0231,0.0754,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2251,44,enc,1,-0.0000,0.0000,-0.0000,-0.0556,0.0691,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2302,45,enc,1,-0.0000,0.0000,-0.0000,-0.0231,0.0754,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2353,46,enc,0,-0.0000,0.0000,-0.0000,-0.0231,0.0754,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2404,47,enc,0,-0.0000,0.0000,-0.0000,-0.0231,0.0754,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2455,48,enc,1,-0.0000,0.0000,-0.0000,-0.0416,0.0554,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2506,49,enc,1,-0.0000,0.0000,-0.0000,-0.0339,0.0941,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2556,50,enc,0,-0.0000,0.0000,-0.0000,-0.0339,0.0941,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2607,51,enc,1,-0.0000,0.0000,-0.0000,0.0131,0.124,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2658,52,enc,1,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2710,53,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2761,54,enc,1,-0.0000,0.0000,-0.0000,-0.0301,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2815,55,enc,0,-0.0000,0.0000,-0.0000,-0.0192,0.1178,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2869,56,enc,1,-0.0000,0.0000,-0.0000,-0.0307,0.0367,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2920,57,enc,0,-0.0000,0.0000,-0.0000,-0.0307,0.0367,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.2971,58,enc,0,-0.0000,0.0000,-0.0000,-0.0307,0.0367,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.3022,59,enc,0,-0.0000,0.0000,-0.0000,-0.0307,0.0367,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.3073,60,enc,1,-0.0000,0.0000,-0.0000,-0.0454,0.0129,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.3124,61,enc,0,-0.0000,0.0000,-0.0000,-0.0454,0.0129,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.3175,62,enc,1,-0.0000,0.0000,-0.0000,-0.0486,0.0703,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.3225,63,enc,0,-0.0000,0.0000,-0.0000,-0.0486,0.0703,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.3276,64,enc,0,-0.0000,0.0000,-0.0000,-0.0486,0.0691,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.3327,65,enc,1,-0.0000,0.0000,-0.0000,-0.0007,0.1377,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.3378,66,enc,1,-0.0000,0.0000,-0.0000,-0.0447,0.0505,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.3429,67,enc,0,-0.0000,0.0000,-0.0000,-0.0447,0.0505,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.3480,68,enc,1,-0.0000,0.0000,-0.0000,-0.0261,0.0704,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
0.3530,69,enc,1,-0.0000,0.0000,-0.0000,-0.0408,0.0466,20.00,82.01,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195623,1250
