t_s,angle_deg
1.4175,33.6600
1.4225,33.3000
1.4276,32.9400
1.4327,32.5800
1.4378,32.4000
1.4429,32.0400
1.4480,31.6800
1.4530,31.3200
1.4581,30.9600
1.4632,30.6000
1.4683,30.2400
1.4734,29.8800
1.4784,29.5200
1.4835,29.1600
1.4886,28.8000
1.4937,28.4400
1.4987,28.0800
1.5038,27.7200
1.5089,27.3600
1.5140,27.0000
1.5191,26.6400
1.5242,26.1000
1.5292,25.9200
1.5343,25.5600
1.5394,25.2000
1.5445,24.8400
1.5495,24.3000
1.5546,23.9400
1.5597,23.5800
1.5648,23.2200
1.5698,22.8600
1.5749,22.5000
1.5800,22.1400
1.5850,21.7800
1.5901,21.4200
1.5952,20.8800
1.6003,20.5200
1.6053,20.1600
1.6104,19.8000
1.6155,19.4400
1.6205,19.0800
1.6256,18.5400
1.6307,18.1800
1.6358,17.8200
1.6409,17.4600
1.6459,17.1000
1.6510,16.7400
1.6561,16.3800
1.6612,15.8400
1.6663,15.4800
1.6714,15.1200
1.6765,14.7600
1.6815,14.2200
1.6866,13.8600
1.6917,13.5000
1.6968,13.1400
1.7018,12.6000
1.7069,12.2400
1.7120,11.8800
1.7171,11.5200
1.7221,10.9800
1.7272,10.6200
1.7323,10.2600
1.7374,9.9000
1.7424,9.3600
1.7475,9.0000
1.7526,8.6400
1.7577,8.2800
1.7627,7.7400
1.7678,7.3800
1.7729,7.0200
1.7780,6.4800
1.7830,6.1200
1.7881,5.7600
1.7932,5.2200
1.7983,4.8600
1.8033,4.3200
1.8084,3.9600
1.8135,3.6000
1.8186,3.0600
1.8236,2.7000
1.8287,2.3400
1.8338,1.9800
1.8389,1.4400
1.8440,1.0800
1.8491,0.5400
1.8542,0.1800
1.8593,-0.3600
1.8644,-0.7200
1.8695,-1.0800
1.8745,-1.4400
1.8796,-1.4400
1.8847,-1.4400
1.8898,-1.2600
1.8948,-1.0800
1.8999,-0.9000
1.9050,-0.7200
1.9101,-0.5400
1.9152,-0.1800
1.9202,0.1800
1.9253,0.5400
1.9304,0.7200
1.9355,1.0800
1.9405,1.2600
1.9456,1.4400
1.9507,1.6200
1.9558,1.8000
1.9608,2.1600
1.9659,2.5200
1.9710,2.8800
1.9761,3.0600
1.9811,3.2400
1.9862,3.4200
1.9913,3.6000
1.9964,3.7800
2.0015,4.1400
2.0066,4.5000
2.0117,4.6800
2.0168,5.0400
2.0219,5.2200
2.0269,5.4000
2.0320,5.5800
2.0371,5.7600
2.0422,6.1200
2.0472,6.3000
2.0523,6.6600
2.0574,6.8400
2.0625,7.0200
2.0675,7.2000
2.0726,7.3800
2.0777,7.5600
2.0828,7.9200
2.0878,8.1000
2.0929,8.4600
2.0980,8.6400
2.1031,8.8200
2.1082,9.0000
2.1133,9.1800
2.1183,9.3600
2.1234,9.5400
2.1285,9.7200
2.1336,10.0800
2.1387,10.2600
2.1437,10.4400
2.1488,10.6200
2.1539,10.8000
2.1590,10.9800
2.1640,11.1600
2.1691,11.3400
2.1742,11.5200
2.1793,11.8800
2.1844,12.0600
2.1895,12.2400
2.1946,12.4200
2.1997,12.4200
2.2047,12.6000
2.2098,12.7800
2.2149,12.9600
2.2200,13.3200
2.2250,13.5000
2.2301,13.6800
2.2352,13.8600
2.2403,13.8600
2.2453,14.0400
2.2504,14.2200
2.2555,14.4000
2.2606,14.5800
2.2656,14.7600
2.2707,14.9400
2.2758,15.1200
2.2809,15.3000
2.2860,15.3000
2.2911,15.4800
2.2962,15.6600
2.3012,15.8400
2.3063,16.0200
2.3114,16.2000
2.3165,16.3800
2.3215,16.5600
2.3266,16.5600
2.3317,16.7400
2.3368,16.9200
2.3419,17.1000
2.3469,17.2800
2.3520,17.4600
2.3571,17.4600
2.3622,17.6400
2.3672,17.6400
2.3723,17.8200
2.3774,18.0000
2.3825,18.1800
2.3876,18.1800
2.3926,18.3600
2.3977,18.5400
2.4028,18.7200
2.4079,18.7200
2.4129,18.9000
2.4180,18.9000
2.4231,19.0800
2.4282,19.2600
2.4332,19.4400
2.4383,19.4400
2.4434,19.6200
2.4485,19.6200
2.4536,19.8000
2.4587,19.8000
2.4638,19.9800
2.4688,20.1600
2.4739,20.1600
2.4790,20.3400
2.4841,20.3400
2.4892,20.3400
2.4943,20.5200
2.4993,20.5200
2.5044,20.7000
2.5095,20.8800
2.5146,20.8800
2.5197,21.0600
2.5247,21.0600
2.5298,21.0600
2.5349,21.2400
2.5400,21.2400
2.5451,21.4200
2.5501,21.4200
2.5552,21.6000
2.5603,21.6000
2.5654,21.6000
2.5704,21.7800
2.5755,21.7800
2.5806,21.7800
2.5857,21.9600
2.5907,21.9600
2.5958,21.9600
2.6009,22.1400
2.6060,22.1400
2.6110,22.1400
2.6161,22.3200
2.6212,22.3200
2.6262,22.3200
2.6313,22.3200
2.6364,22.5000
2.6415,22.5000
2.6466,22.5000
2.6517,22.5000
2.6567,22.6800
2.6618,22.6800
2.6669,22.6800
2.6720,22.6800
2.6771,22.6800
2.6821,22.8600
2.6872,22.8600
2.6923,22.8600
2.6974,22.8600
2.7024,22.8600
2.7075,22.8600
2.7126,22.8600
2.7177,22.8600
2.7227,23.0400
2.7278,23.0400
2.7329,23.0400
2.7380,23.0400
2.7431,23.0400
2.7481,23.0400
2.7532,23.0400
2.7583,23.0400
2.7634,23.0400
2.7685,23.0400
2.7735,23.0400
2.7786,23.0400
2.7837,23.0400
2.7888,23.0400
