t_s,iteration,psi_enc_deg,psi_dot_enc_dps,phi_yaw_deg,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,0.1500,0.267167,0.266667,0.000500,-0.000000,0.000000,1480
0.0064,2,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,0.3000,0.267667,0.266667,0.001000,-0.000000,0.000000,1460
0.0119,3,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,0.4500,0.268167,0.266667,0.001500,-0.000000,0.000000,1440
0.0170,4,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,0.6000,0.268667,0.266667,0.002000,-0.000000,0.000000,1420
0.0220,5,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,0.7500,0.269167,0.266667,0.002500,-0.000000,0.000000,1400
0.0271,6,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,0.9000,0.269667,0.266667,0.003000,-0.000000,0.000000,1380
0.0322,7,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,1.0500,0.270167,0.266667,0.003500,-0.000000,0.000000,1373
0.0373,8,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,1.2000,0.270667,0.266667,0.004000,-0.000000,0.000000,1373
0.0424,9,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,1.3500,0.271167,0.266667,0.004500,-0.000000,0.000000,1373
0.0475,10,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,1.5000,0.271667,0.266667,0.005000,-0.000000,0.000000,1373
0.0525,11,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,1.6500,0.272167,0.266667,0.005500,-0.000000,0.000000,1372
0.0576,12,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,1.8000,0.272667,0.266667,0.006000,-0.000000,0.000000,1372
0.0627,13,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,1.9500,0.273167,0.266667,0.006500,-0.000000,0.000000,1372
0.0678,14,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,2.1000,0.273667,0.266667,0.007000,-0.000000,0.000000,1372
0.0731,15,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,2.2500,0.274167,0.266667,0.007500,-0.000000,0.000000,1372
0.0782,16,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,2.4000,0.274667,0.266667,0.008000,-0.000000,0.000000,1372
0.0833,17,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,2.5500,0.275167,0.266667,0.008500,-0.000000,0.000000,1371
0.0884,18,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,2.7000,0.275667,0.266667,0.009000,-0.000000,0.000000,1371
0.0934,19,-0.0000,0.0000,0.1724,30.00,84.80,114.80,30.0000,2.8500,0.276167,0.266667,0.009500,-0.000000,0.000000,1371
