t_s,iteration,freq_hz,phase,setpoint_deg,psi_deg,psi_dot_dps,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
7605.1645,1,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1498
7605.1696,2,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1496
7605.1747,3,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1494
7605.1797,4,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1492
7605.1848,5,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1490
7605.1899,6,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1488
7605.1950,7,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1486
7605.2000,8,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1484
7605.2051,9,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1482
7605.2101,10,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1480
7605.2152,11,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1478
7605.2203,12,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1476
7605.2253,13,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1474
7605.2304,14,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1472
7605.2354,15,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1470
7605.2405,16,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1468
7605.2456,17,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1466
7605.2506,18,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1464
7605.2557,19,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1462
7605.2608,20,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1460
7605.2658,21,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1458
7605.2709,22,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1456
7605.2759,23,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1454
7605.2810,24,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1452
7605.2861,25,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1450
7605.2912,26,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1448
7605.2962,27,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1446
7605.3013,28,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1444
7605.3064,29,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1442
7605.3114,30,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1440
7605.3165,31,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1438
7605.3215,32,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1436
7605.3266,33,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1434
7605.3317,34,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1432
7605.3367,35,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1430
7605.3418,36,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1428
7605.3468,37,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1426
7605.3519,38,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1424
7605.3569,39,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1422
7605.3620,40,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1420
7605.3671,41,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1418
7605.3721,42,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1416
7605.3772,43,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1414
7605.3823,44,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1412
7605.3874,45,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1410
7605.3924,46,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0000,1.000000,0.222222,0.000000,-0.000000,0.846767,1408
