t_s,iteration,psi_enc_deg,psi_dot_enc_dps,phi_yaw_deg,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,-0.0000,0.0000,-0.1146,10.00,84.43,94.43,10.0000,0.0500,0.415975,0.166667,0.000056,-0.000000,0.249253,1480
0.0084,2,-0.0000,0.0000,-0.1146,10.00,84.43,94.43,10.0000,0.1000,0.416031,0.166667,0.000111,-0.000000,0.249253,1460
0.0135,3,-0.0000,0.0000,-0.1146,10.00,84.43,94.43,10.0000,0.1500,0.416086,0.166667,0.000167,-0.000000,0.249253,1440
0.0186,4,-0.0000,0.0000,-0.1146,10.00,84.43,94.43,10.0000,0.2000,0.416142,0.166667,0.000222,-0.000000,0.249253,1420
0.0237,5,-0.0000,0.0000,-0.1146,10.00,84.43,94.43,10.0000,0.2500,0.416198,0.166667,0.000278,-0.000000,0.249253,1400
0.0288,6,-0.0000,0.0000,-0.1146,10.00,84.43,94.43,10.0000,0.3000,0.416253,0.166667,0.000333,-0.000000,0.249253,1380
0.0339,7,-0.0000,0.0000,-0.1146,10.00,84.43,94.43,10.0000,0.3500,0.416309,0.166667,0.000389,-0.000000,0.249253,1360
0.0390,8,-0.0000,0.0000,-0.1146,10.00,84.43,94.43,10.0000,0.4000,0.416364,0.166667,0.000444,-0.000000,0.249253,1340
0.0441,9,-0.0000,0.0000,-0.1146,10.00,84.43,94.43,10.0000,0.4500,0.416420,0.166667,0.000500,-0.000000,0.249253,1320
0.0492,10,-0.0000,0.0000,-0.1146,10.00,84.43,94.43,10.0000,0.5000,0.416475,0.166667,0.000556,-0.000000,0.249253,1318
0.0543,11,-0.0000,0.0000,-0.1146,10.00,84.43,94.43,10.0000,0.5500,0.416531,0.166667,0.000611,-0.000000,0.249253,1318
0.0594,12,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,0.6000,0.416586,0.166667,0.000667,-0.000000,0.249253,1318
0.0645,13,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,0.6500,0.416642,0.166667,0.000722,-0.000000,0.249253,1318
0.0696,14,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,0.7000,0.416698,0.166667,0.000778,-0.000000,0.249253,1318
0.0747,15,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,0.7500,0.416753,0.166667,0.000833,-0.000000,0.249253,1318
0.0798,16,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,0.8000,0.416809,0.166667,0.000889,-0.000000,0.249253,1318
0.0849,17,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,0.8500,0.416864,0.166667,0.000944,-0.000000,0.249253,1318
0.0900,18,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,0.9000,0.416920,0.166667,0.001000,-0.000000,0.249253,1318
0.0951,19,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,0.9500,0.416975,0.166667,0.001056,-0.000000,0.249253,1318
0.1002,20,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,1.0000,0.417031,0.166667,0.001111,-0.000000,0.249253,1318
0.1060,21,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,1.0500,0.417086,0.166667,0.001167,-0.000000,0.249253,1318
0.1111,22,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,1.1000,0.417142,0.166667,0.001222,-0.000000,0.249253,1318
0.1162,23,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,1.1500,0.417198,0.166667,0.001278,-0.000000,0.249253,1318
0.1213,24,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,1.2000,0.417253,0.166667,0.001333,-0.000000,0.249253,1318
0.1264,25,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,1.2500,0.417309,0.166667,0.001389,-0.000000,0.249253,1318
0.1314,26,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,1.3000,0.417364,0.166667,0.001444,-0.000000,0.249253,1318
0.1365,27,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,1.3500,0.417420,0.166667,0.001500,-0.000000,0.249253,1318
0.1416,28,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,1.4000,0.417475,0.166667,0.001556,-0.000000,0.249253,1318
0.1467,29,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,1.4500,0.417531,0.166667,0.001611,-0.000000,0.249253,1318
0.1518,30,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,1.5000,0.417586,0.166667,0.001667,-0.000000,0.249253,1318
0.1569,31,-0.0000,0.0000,-0.1625,10.00,84.43,94.43,10.0000,1.5500,0.417642,0.166667,0.001722,-0.000000,0.249253,1318
0.1620,32,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,1.6000,0.417698,0.166667,0.001778,-0.000000,0.249253,1318
0.1671,33,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,1.6500,0.417753,0.166667,0.001833,-0.000000,0.249253,1318
0.1722,34,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,1.7000,0.417809,0.166667,0.001889,-0.000000,0.249253,1318
0.1773,35,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,1.7500,0.417864,0.166667,0.001944,-0.000000,0.249253,1318
0.1824,36,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,1.8000,0.417920,0.166667,0.002000,-0.000000,0.249253,1318
0.1875,37,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,1.8500,0.417975,0.166667,0.002056,-0.000000,0.249253,1318
0.1926,38,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,1.9000,0.418031,0.166667,0.002111,-0.000000,0.249253,1318
0.1976,39,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,1.9500,0.418086,0.166667,0.002167,-0.000000,0.249253,1318
0.2027,40,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,2.0000,0.418142,0.166667,0.002222,-0.000000,0.249253,1318
0.2078,41,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,2.0500,0.418198,0.166667,0.002278,-0.000000,0.249253,1318
0.2129,42,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,2.1000,0.418253,0.166667,0.002333,-0.000000,0.249253,1318
0.2180,43,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,2.1500,0.418309,0.166667,0.002389,-0.000000,0.249253,1318
0.2231,44,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,2.2000,0.418364,0.166667,0.002444,-0.000000,0.249253,1318
0.2282,45,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,2.2500,0.418420,0.166667,0.002500,-0.000000,0.249253,1318
0.2333,46,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,2.3000,0.418475,0.166667,0.002556,-0.000000,0.249253,1318
0.2384,47,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,2.3500,0.418531,0.166667,0.002611,-0.000000,0.249253,1318
0.2434,48,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,2.4000,0.418586,0.166667,0.002667,-0.000000,0.249253,1318
0.2485,49,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,2.4500,0.418642,0.166667,0.002722,-0.000000,0.249253,1318
0.2536,50,-0.0000,0.0000,-0.1491,10.00,84.43,94.43,10.0000,2.5000,0.418698,0.166667,0.002778,-0.000000,0.249253,1317
0.2587,51,-0.0000,0.0000,-0.1269,10.00,84.43,94.43,10.0000,2.5500,0.418753,0.166667,0.002833,-0.000000,0.249253,1317
0.2638,52,-0.0000,0.0000,-0.1269,10.00,84.43,94.43,10.0000,2.6000,0.418809,0.166667,0.002889,-0.000000,0.249253,1317
0.2689,53,-0.0000,0.0000,-0.1269,10.00,84.43,94.43,10.0000,2.6500,0.418864,0.166667,0.002944,-0.000000,0.249253,1317
0.2740,54,-0.0000,0.0000,-0.1269,10.00,84.43,94.43,10.0000,2.7000,0.418920,0.166667,0.003000,-0.000000,0.249253,1317
0.2791,55,-0.0000,0.0000,-0.1269,10.00,84.43,94.43,10.0000,2.7500,0.418975,0.166667,0.003056,-0.000000,0.249253,1317
0.2841,56,-0.0000,0.0000,-0.1269,10.00,84.43,94.43,10.0000,2.8000,0.419031,0.166667,0.003111,-0.000000,0.249253,1317
0.2892,57,-0.0000,0.0000,-0.1269,10.00,84.43,94.43,10.0000,2.8500,0.419086,0.166667,0.003167,-0.000000,0.249253,1317
0.2943,58,-0.0000,0.0000,-0.1269,10.00,84.43,94.43,10.0000,2.9000,0.419142,0.166667,0.003222,-0.000000,0.249253,1317
0.2994,59,-0.0000,0.0000,-0.1269,10.00,84.43,94.43,10.0000,2.9500,0.419198,0.166667,0.003278,-0.000000,0.249253,1317
0.3045,60,-0.0000,0.0000,-0.1269,10.00,84.43,94.43,10.0000,3.0000,0.419253,0.166667,0.003333,-0.000000,0.249253,1317
0.3096,61,-0.0000,0.0000,-0.0118,10.00,84.43,94.43,10.0000,3.0500,0.419309,0.166667,0.003389,-0.000000,0.249253,1317
0.3147,62,-0.0000,0.0000,-0.0118,10.00,84.43,94.43,10.0000,3.1000,0.419364,0.166667,0.003444,-0.000000,0.249253,1317
0.3198,63,-0.0000,0.0000,-0.0118,10.00,84.43,94.43,10.0000,3.1500,0.419420,0.166667,0.003500,-0.000000,0.249253,1317
0.3248,64,-0.0000,0.0000,-0.0118,10.00,84.43,94.43,10.0000,3.2000,0.419475,0.166667,0.003556,-0.000000,0.249253,1317
0.3299,65,-0.0000,0.0000,-0.0118,10.00,84.43,94.43,10.0000,3.2500,0.419531,0.166667,0.003611,-0.000000,0.249253,1317
0.3350,66,0.1800,10.8000,-0.0118,10.00,84.43,94.43,9.8200,3.2991,0.410585,0.163667,0.003666,-0.006000,0.249253,1321
0.3401,67,0.1800,7.5600,-0.0118,10.00,84.43,94.43,9.8200,3.3482,0.412440,0.163667,0.003720,-0.004200,0.249253,1320
0.3452,68,0.1800,5.2920,-0.0118,10.00,84.43,94.43,9.8200,3.3973,0.413755,0.163667,0.003775,-0.002940,0.249253,1319
0.3502,69,0.1800,3.7044,-0.0118,10.00,84.43,94.43,9.8200,3.4464,0.414691,0.163667,0.003829,-0.002058,0.249253,1319
0.3553,70,0.1800,2.5931,-0.0118,10.00,84.43,94.43,9.8200,3.4955,0.415363,0.163667,0.003884,-0.001441,0.249253,1319
0.3604,71,0.1800,1.8152,0.1992,10.00,84.43,94.43,9.8200,3.5446,0.415850,0.163667,0.003938,-0.001008,0.249253,1319
0.3655,72,0.3600,12.0706,0.1992,10.00,84.43,94.43,9.6400,3.5928,0.407206,0.160667,0.003992,-0.006706,0.249253,1322
0.3706,73,0.3600,8.4494,0.1992,10.00,84.43,94.43,9.6400,3.6410,0.409271,0.160667,0.004046,-0.004694,0.249253,1321
0.3757,74,0.3600,5.9146,0.1992,10.00,84.43,94.43,9.6400,3.6892,0.410733,0.160667,0.004099,-0.003286,0.249253,1320
0.3808,75,0.3600,4.1402,0.1992,10.00,84.43,94.43,9.6400,3.7374,0.411772,0.160667,0.004153,-0.002300,0.249253,1320
0.3858,76,0.5400,13.6982,0.1992,10.00,84.43,94.43,9.4600,3.7847,0.403515,0.157667,0.004205,-0.007610,0.249253,1323
0.3909,77,0.5400,9.5887,0.1992,10.00,84.43,94.43,9.4600,3.8320,0.405850,0.157667,0.004258,-0.005327,0.249253,1322
0.3960,78,0.5400,6.7121,0.1992,10.00,84.43,94.43,9.4600,3.8793,0.407501,0.157667,0.004310,-0.003729,0.249253,1322
0.4011,79,0.5400,4.6985,0.1992,10.00,84.43,94.43,9.4600,3.9266,0.408672,0.157667,0.004363,-0.002610,0.249253,1321
0.4062,80,0.7200,14.0889,0.1992,10.00,84.43,94.43,9.2800,3.9730,0.400507,0.154667,0.004414,-0.007827,0.249253,1324
0.4113,81,0.7200,9.8622,0.3486,10.00,84.43,94.43,9.2800,4.0194,0.402907,0.154667,0.004466,-0.005479,0.249253,1323
0.4164,82,0.9000,17.7036,0.3486,10.00,84.43,94.43,9.1000,4.0649,0.395601,0.151667,0.004517,-0.009835,0.249253,1326
0.4215,83,0.9000,12.3925,0.3486,10.00,84.43,94.43,9.1000,4.1104,0.398602,0.151667,0.004567,-0.006885,0.249253,1325
0.4266,84,1.0800,19.4748,0.3486,10.00,84.43,94.43,8.9200,4.1550,0.391717,0.148667,0.004617,-0.010819,0.249253,1328
0.4317,85,1.0800,13.6323,0.3486,10.00,84.43,94.43,8.9200,4.1996,0.395012,0.148667,0.004666,-0.007574,0.249253,1326
0.4368,86,1.2600,20.3426,0.3486,10.00,84.43,94.43,8.7400,4.2433,0.388333,0.145667,0.004715,-0.011301,0.249253,1329
0.4419,87,1.2600,14.2398,0.3486,10.00,84.43,94.43,8.7400,4.2870,0.391772,0.145667,0.004763,-0.007911,0.249253,1328
0.4469,88,1.4400,20.7679,0.3486,10.00,84.43,94.43,8.5600,4.3298,0.385193,0.142667,0.004811,-0.011538,0.249253,1330
0.4520,89,1.4400,14.5375,0.3486,10.00,84.43,94.43,8.5600,4.3726,0.388702,0.142667,0.004858,-0.008076,0.249253,1329
0.4571,90,1.6200,20.9763,0.3486,10.00,84.43,94.43,8.3800,4.4145,0.382171,0.139667,0.004905,-0.011653,0.249253,1331
0.4622,91,1.6200,14.6834,0.6503,10.00,84.43,94.43,8.3800,4.4564,0.385714,0.139667,0.004952,-0.008157,0.249253,1330
0.4673,92,1.8000,21.0784,0.6503,10.00,84.43,94.43,8.2000,4.4974,0.379207,0.136667,0.004997,-0.011710,0.249253,1332
0.4725,93,1.9800,25.5549,0.6503,10.00,84.43,94.43,8.0200,4.5375,0.373764,0.133667,0.005042,-0.014197,0.249253,1334
0.4776,94,2.1600,28.6884,0.6503,10.00,84.43,94.43,7.8400,4.5767,0.369067,0.130667,0.005085,-0.015938,0.249253,1336
