t_s,iteration,sensor_mode,new_data,quat_changed,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,enc,1,0,-0.0000,0.0000,-0.0000,-0.0152,-0.0004,80.00,83.21,80.0000,0.4000,0.711778,0.711111,0.000667,-0.000000,0.000000,1498
0.0095,2,enc,1,0,-0.0000,0.0000,-0.0000,-0.0152,-0.0004,80.00,83.21,80.0000,0.8000,0.712444,0.711111,0.001333,-0.000000,0.000000,1496
0.0146,3,enc,1,0,-0.0000,0.0000,-0.0000,-0.0152,-0.0004,80.00,83.21,80.0000,1.2000,0.713111,0.711111,0.002000,-0.000000,0.000000,1494
0.0197,4,enc,1,0,-0.0000,0.0000,-0.0000,-0.0152,-0.0004,80.00,83.21,80.0000,1.6000,0.713778,0.711111,0.002667,-0.000000,0.000000,1492
0.0248,5,enc,1,1,-0.0000,0.0000,-0.0000,-0.0597,-0.0001,80.00,83.21,80.0000,2.0000,0.714444,0.711111,0.003333,-0.000000,0.000000,1490
0.0298,6,enc,1,0,-0.0000,0.0000,-0.0000,-0.0597,-0.0001,80.00,83.21,80.0000,2.4000,0.715111,0.711111,0.004000,-0.000000,0.000000,1488
0.0349,7,enc,1,0,-0.0000,0.0000,-0.0000,-0.0597,-0.0001,80.00,83.21,80.0000,2.8000,0.715778,0.711111,0.004667,-0.000000,0.000000,1486
0.0400,8,enc,1,0,-0.0000,0.0000,-0.0000,-0.0597,-0.0001,80.00,83.21,80.0000,3.2000,0.716444,0.711111,0.005333,-0.000000,0.000000,1484
0.0451,9,enc,1,0,-0.0000,0.0000,-0.0000,-0.0597,-0.0001,80.00,83.21,80.0000,3.6000,0.717111,0.711111,0.006000,-0.000000,0.000000,1482
0.0502,10,enc,1,0,-0.0000,0.0000,-0.0000,-0.0597,-0.0001,80.00,83.21,80.0000,4.0000,0.717778,0.711111,0.006667,-0.000000,0.000000,1480
0.0553,11,enc,1,0,-0.0000,0.0000,-0.0000,-0.0597,-0.0001,80.00,83.21,80.0000,4.4000,0.718444,0.711111,0.007333,-0.000000,0.000000,1478
0.0604,12,enc,1,1,-0.0000,0.0000,-0.0000,-0.0201,0.0121,80.00,83.21,80.0000,4.8000,0.719111,0.711111,0.008000,-0.000000,0.000000,1476
0.0655,13,enc,1,0,-0.0000,0.0000,-0.0000,-0.0201,0.0121,80.00,83.21,80.0000,5.2000,0.719778,0.711111,0.008667,-0.000000,0.000000,1474
0.0706,14,enc,1,0,-0.0000,0.0000,-0.0000,-0.0201,0.0121,80.00,83.21,80.0000,5.6000,0.720444,0.711111,0.009333,-0.000000,0.000000,1472
0.0757,15,enc,1,0,-0.0000,0.0000,-0.0000,-0.0201,0.0121,80.00,83.21,80.0000,6.0000,0.721111,0.711111,0.010000,-0.000000,0.000000,1470
0.0808,16,enc,1,0,-0.0000,0.0000,-0.0000,-0.0201,0.0121,80.00,83.21,80.0000,6.4000,0.721778,0.711111,0.010667,-0.000000,0.000000,1468
0.0859,17,enc,1,0,-0.0000,0.0000,-0.0000,-0.0201,0.0121,80.00,83.21,80.0000,6.8000,0.722444,0.711111,0.011333,-0.000000,0.000000,1466
0.0909,18,enc,1,0,-0.0000,0.0000,-0.0000,-0.0201,0.0121,80.00,83.21,80.0000,7.2000,0.723111,0.711111,0.012000,-0.000000,0.000000,1464
0.0960,19,enc,1,0,-0.0000,0.0000,-0.0000,-0.0201,0.0121,80.00,83.21,80.0000,7.6000,0.723778,0.711111,0.012667,-0.000000,0.000000,1462
0.1011,20,enc,1,0,-0.0000,0.0000,-0.0000,-0.0201,0.0121,80.00,83.21,80.0000,8.0000,0.724444,0.711111,0.013333,-0.000000,0.000000,1460
