t_s,iteration,psi_imu_deg,psi_enc_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_norm_unsat,u_p,u_d,u_g,pwm_target_us,pwm_actual_us,pitch_raw_deg
0.0000,1,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.215698,0.215698,0.111111,0.000000,0.104587,1394,1497,-81.9941
0.0201,2,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.215698,0.215698,0.111111,0.000000,0.104587,1394,1494,-81.9941
0.0402,3,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.215698,0.215698,0.111111,0.000000,0.104587,1394,1491,-81.9941
0.0603,4,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.215698,0.215698,0.111111,0.000000,0.104587,1394,1488,-81.9941
0.0804,5,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.215698,0.215698,0.111111,0.000000,0.104587,1394,1485,-81.9875
0.1005,6,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.215698,0.215698,0.111111,0.000000,0.104587,1394,1482,-81.9875
0.1207,7,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.215698,0.215698,0.111111,0.000000,0.104587,1394,1479,-81.9875
0.1408,8,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.215698,0.215698,0.111111,0.000000,0.104587,1394,1476,-81.9875
0.1609,9,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.215698,0.215698,0.111111,0.000000,0.104587,1394,1473,-81.9875
0.1810,10,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.215698,0.215698,0.111111,0.000000,0.104587,1394,1470,-81.9980
0.2011,11,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.215698,0.215698,0.111111,0.000000,0.104587,1394,1467,-81.9980
0.2212,12,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.215698,0.215698,0.111111,0.000000,0.104587,1394,1464,-81.9980
0.2413,13,-0.0000,-0.0000,-0.1119,5.00,5.0000,0.216693,0.216693,0.111111,0.000995,0.104587,1393,1461,-81.9980
0.2614,14,-0.0000,-0.0000,-0.1119,5.00,5.0000,0.216693,0.216693,0.111111,0.000995,0.104587,1393,1458,-81.9980
0.2815,15,-0.0000,-0.0000,-0.1119,5.00,5.0000,0.216693,0.216693,0.111111,0.000995,0.104587,1393,1455,-82.0018
