t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0294,-0.0000,0.0031,-0.0000,45.00,45.0294,0.600000,1.751145,0.000000,1.343503,1250,51.4130
0.0201,2,-0.0296,-0.0000,0.0181,-0.1119,45.00,45.0296,0.600000,1.751153,0.001492,1.343503,1250,51.4130
0.0402,3,-0.0296,-0.0000,0.0181,-0.1119,45.00,45.0296,0.600000,1.751153,0.001492,1.343503,1250,51.4130
0.0603,4,-0.0296,-0.0000,0.0181,-0.0000,45.00,45.0296,0.600000,1.751153,0.000000,1.343503,1250,51.4130
0.0808,5,-0.0296,-0.0000,0.0181,-0.0000,45.00,45.0296,0.600000,1.751153,0.000000,1.343503,1250,51.4130
0.1041,6,-0.0304,-0.0000,0.0114,-0.0000,45.00,45.0304,0.600000,1.751182,0.000000,1.343503,1250,51.4138
0.1242,7,-0.0304,-0.0000,0.0114,-0.1119,45.00,45.0304,0.600000,1.751182,0.001492,1.343503,1250,51.4138
0.1443,8,-0.0304,-0.0000,0.0114,-0.1119,45.00,45.0304,0.600000,1.751182,0.001492,1.343503,1250,51.4138
0.1644,9,-0.0304,-0.0000,0.0114,-0.1119,45.00,45.0304,0.600000,1.751182,0.001492,1.343503,1250,51.4138
0.1869,10,-0.0304,-0.0000,0.0114,-0.1119,45.00,45.0304,0.600000,1.751182,0.001492,1.343503,1250,51.4138
0.2070,11,-0.0304,-0.0000,0.0114,-0.1119,45.00,45.0304,0.600000,1.751182,0.001492,1.343503,1250,51.4138
0.2271,12,-0.0304,-0.0000,0.0114,0.2238,45.00,45.0304,0.600000,1.751182,-0.002984,1.343503,1250,51.4138
0.2472,13,-0.0304,-0.0000,0.0114,0.2238,45.00,45.0304,0.600000,1.751182,-0.002984,1.343503,1250,51.4138
0.2673,14,-0.0163,-0.0000,0.0101,0.7833,45.00,45.0163,0.600000,1.750632,-0.010445,1.343503,1250,51.3996
0.2874,15,-0.0163,-0.0000,0.0101,0.7833,45.00,45.0163,0.600000,1.750632,-0.010445,1.343503,1250,51.3996
0.3078,16,0.0411,0.1800,0.0143,0.7833,45.00,44.9589,0.600000,1.748402,-0.010445,1.343503,1250,51.3423
0.3279,17,0.0411,0.3600,0.0143,5.2596,45.00,44.9589,0.600000,1.748402,-0.070128,1.343503,1250,51.3423
0.3480,18,0.0411,0.9000,0.0143,5.2596,45.00,44.9589,0.600000,1.748402,-0.070128,1.343503,1250,51.3423
