t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0055,-0.0000,-0.0008,-0.0000,-20.00,88.49,68.49,-19.9945,-0.3999,0.009765,-0.222161,-0.000666,0.000000,0.232592,1471,1.5132
0.0201,2,-0.0055,-0.0000,-0.0008,-0.0000,-20.00,88.49,68.49,-19.9945,-0.7998,0.009098,-0.222161,-0.001333,0.000000,0.232592,1471,1.5132
0.0402,3,-0.0098,-0.0000,-0.0008,-0.0000,-20.00,88.49,68.49,-19.9902,-1.1996,0.008479,-0.222114,-0.001999,0.000000,0.232592,1471,1.5174
0.0603,4,-0.0098,-0.0000,-0.0008,-0.0000,-20.00,88.49,68.49,-19.9902,-1.5994,0.007813,-0.222114,-0.002666,0.000000,0.232592,1472,1.5174
0.0804,5,-0.0098,-0.0000,-0.0008,-0.0000,-20.00,88.49,68.49,-19.9902,-1.9992,0.007146,-0.222114,-0.003332,0.000000,0.232592,1472,1.5174
0.1005,6,-0.0098,-0.0000,-0.0008,-0.0000,-20.00,88.49,68.49,-19.9902,-2.3990,0.006480,-0.222114,-0.003998,0.000000,0.232592,1472,1.5174
0.1206,7,-0.0098,-0.0000,-0.0008,-0.0000,-20.00,88.49,68.49,-19.9902,-2.7988,0.005814,-0.222114,-0.004665,0.000000,0.232592,1472,1.5174
0.1407,8,-0.0098,-0.0000,-0.0008,-0.0000,-20.00,88.49,68.49,-19.9902,-3.1986,0.005147,-0.222114,-0.005331,0.000000,0.232592,1473,1.5174
0.1608,9,-0.0098,-0.0000,-0.0008,-0.0000,-20.00,88.49,68.49,-19.9902,-3.5984,0.004481,-0.222114,-0.005997,0.000000,0.232592,1473,1.5174
0.1809,10,-0.0098,-0.0000,-0.0008,-0.0000,-20.00,88.49,68.49,-19.9902,-3.9982,0.003815,-0.222114,-0.006664,0.000000,0.232592,1473,1.5174
0.2010,11,-0.0055,-0.0000,-0.0008,-0.0000,-20.00,88.49,68.49,-19.9945,-4.3981,0.003101,-0.222161,-0.007330,0.000000,0.232592,1473,1.5132
0.2211,12,-0.0055,-0.0000,-0.0008,-0.0000,-20.00,88.49,68.49,-19.9945,-4.7980,0.002435,-0.222161,-0.007997,0.000000,0.232592,1474,1.5132
0.2412,13,-0.0055,-0.0000,-0.0008,-0.0000,-20.00,88.49,68.49,-19.9945,-5.1979,0.001768,-0.222161,-0.008663,0.000000,0.232592,1474,1.5132
0.2613,14,-0.0055,-0.0000,-0.0008,-0.0000,-20.00,88.49,68.49,-19.9945,-5.5978,0.001102,-0.222161,-0.009330,0.000000,0.232592,1474,1.5132
0.2814,15,-0.0055,-0.0000,-0.0008,-0.0000,-20.00,88.49,68.49,-19.9945,-5.9977,0.000435,-0.222161,-0.009996,0.000000,0.232592,1474,1.5132
0.3015,16,0.0000,-0.0000,-0.0008,-0.0000,-20.00,88.49,68.49,-20.0000,-6.3977,-0.000293,-0.222223,-0.010663,0.000000,0.232592,1524,1.5076
