t_s,valid,quat_changed,roll_raw_deg,pitch_raw_deg,yaw_raw_deg,d_roll_deg,d_pitch_deg,d_yaw_deg,enc_deg
1.165999947261298e-06,1,1,-144.04436308396757,-78.7189639860504,144.6109073888335,0.28695173549709807,-0.05065553402133105,-0.2918400535909882,
0.010040016999937507,1,0,-144.04436308396757,-78.7189639860504,144.6109073888335,0.28695173549709807,-0.05065553402133105,-0.2918400535909882,
0.015110358000015367,1,0,-144.04436308396757,-78.7189639860504,144.6109073888335,0.28695173549709807,-0.05065553402133105,-0.2918400535909882,
0.020175939999944603,1,0,-144.04436308396757,-78.7189639860504,144.6109073888335,0.28695173549709807,-0.05065553402133105,-0.2918400535909882,
0.02524296699994011,1,0,-144.04436308396757,-78.7189639860504,144.6109073888335,0.28695173549709807,-0.05065553402133105,-0.2918400535909882,
0.03030414199997722,1,0,-144.04436308396757,-78.7189639860504,144.6109073888335,0.28695173549709807,-0.05065553402133105,-0.2918400535909882,
0.035373038999978235,1,0,-144.04436308396757,-78.7189639860504,144.6109073888335,0.28695173549709807,-0.05065553402133105,-0.2918400535909882,
0.04043482499992024,1,0,-144.04436308396757,-78.7189639860504,144.6109073888335,0.28695173549709807,-0.05065553402133105,-0.2918400535909882,
0.04549433299996508,1,0,-144.04436308396757,-78.7189639860504,144.6109073888335,0.28695173549709807,-0.05065553402133105,-0.2918400535909882,
0.050554488999978275,1,0,-144.04436308396757,-78.7189639860504,144.6109073888335,0.28695173549709807,-0.05065553402133105,-0.2918400535909882,
0.055615127000010034,1,0,-144.04436308396757,-78.7189639860504,144.6109073888335,0.28695173549709807,-0.05065553402133105,-0.2918400535909882,
0.06067396899993582,1,0,-144.04436308396757,-78.7189639860504,144.6109073888335,0.28695173549709807,-0.05065553402133105,-0.2918400535909882,
0.0657322549999435,1,0,-144.04436308396757,-78.7189639860504,144.6109073888335,0.28695173549709807,-0.05065553402133105,-0.2918400535909882,
0.0707910589999301,1,0,-144.04436308396757,-78.7189639860504,144.6109073888335,0.28695173549709807,-0.05065553402133105,-0.2918400535909882,
0.07585275299993555,1,1,-144.0663689796925,-78.72028866269348,144.62795620434062,0.26494583977216735,-0.05198021066441072,-0.2747912380838784,
0.08091272399997251,1,0,-144.0663689796925,-78.72028866269348,144.62795620434062,0.26494583977216735,-0.05198021066441072,-0.2747912380838784,
0.08597124999994321,1,0,-144.0663689796925,-78.72028866269348,144.62795620434062,0.26494583977216735,-0.05198021066441072,-0.2747912380838784,
0.09103960999993888,1,0,-144.0663689796925,-78.72028866269348,144.62795620434062,0.26494583977216735,-0.05198021066441072,-0.2747912380838784,
0.09610213700000259,1,0,-144.0663689796925,-78.72028866269348,144.62795620434062,0.26494583977216735,-0.05198021066441072,-0.2747912380838784,
0.1011614419999205,1,0,-144.0663689796925,-78.72028866269348,144.62795620434062,0.26494583977216735,-0.05198021066441072,-0.2747912380838784,
0.10623096799997711,1,1,-144.0835620405739,-78.72186014218127,144.65012963336645,0.24775277889077074,-0.0535516901522044,-0.25261780905805153,
0.11129956899992521,1,0,-144.0835620405739,-78.72186014218127,144.65012963336645,0.24775277889077074,-0.0535516901522044,-0.25261780905805153,
0.11636157700002059,1,0,-144.0835620405739,-78.72186014218127,144.65012963336645,0.24775277889077074,-0.0535516901522044,-0.25261780905805153,
0.1213856780000242,1,0,-144.0835620405739,-78.72186014218127,144.65012963336645,0.24775277889077074,-0.0535516901522044,-0.25261780905805153,
0.12644405699995787,1,0,-144.0835620405739,-78.72186014218127,144.65012963336645,0.24775277889077074,-0.0535516901522044,-0.25261780905805153,
0.1315045100000134,1,0,-144.0835620405739,-78.72186014218127,144.65012963336645,0.24775277889077074,-0.0535516901522044,-0.25261780905805153,
0.13656485100000282,1,0,-144.0835620405739,-78.72186014218127,144.65012963336645,0.24775277889077074,-0.0535516901522044,-0.25261780905805153,
0.14164084100002583,1,0,-144.0835620405739,-78.72186014218127,144.65012963336645,0.24775277889077074,-0.0535516901522044,-0.25261780905805153,
0.14670325600002343,1,1,-144.1055910274159,-78.72318297161284,144.66720134346872,0.22572379204876825,-0.05487451958377676,-0.23554609895577983,
0.15176652399998147,1,0,-144.1055910274159,-78.72318297161284,144.66720134346872,0.22572379204876825,-0.05487451958377676,-0.23554609895577983,
0.15682634699999198,1,0,-144.1055910274159,-78.72318297161284,144.66720134346872,0.22572379204876825,-0.05487451958377676,-0.23554609895577983,
0.16188539199993102,1,0,-144.1055910274159,-78.72318297161284,144.66720134346872,0.22572379204876825,-0.05487451958377676,-0.23554609895577983,
0.16694401099994138,1,0,-144.1055910274159,-78.72318297161284,144.66720134346872,0.22572379204876825,-0.05487451958377676,-0.23554609895577983,
0.17200224199996228,1,0,-144.1055910274159,-78.72318297161284,144.66720134346872,0.22572379204876825,-0.05487451958377676,-0.23554609895577983,
0.17706228700001247,1,0,-144.1055910274159,-78.72318297161284,144.66720134346872,0.22572379204876825,-0.05487451958377676,-0.23554609895577983,
0.18212272099992788,1,0,-144.1055910274159,-78.72318297161284,144.66720134346872,0.22572379204876825,-0.05487451958377676,-0.23554609895577983,
0.18718685900000764,1,0,-144.1055910274159,-78.72318297161284,144.66720134346872,0.22572379204876825,-0.05487451958377676,-0.23554609895577983,
0.19224838499997077,1,0,-144.1055910274159,-78.72318297161284,144.66720134346872,0.22572379204876825,-0.05487451958377676,-0.23554609895577983,
0.19730739399994945,1,1,-144.12280692753336,-78.72475266595562,144.68939782175244,0.2085078919313048,-0.056444213926553743,-0.2133496206720622,
0.20237790199996653,1,0,-144.12280692753336,-78.72475266595562,144.68939782175244,0.2085078919313048,-0.056444213926553743,-0.2133496206720622,
0.20744268800001464,1,0,-144.12280692753336,-78.72475266595562,144.68939782175244,0.2085078919313048,-0.056444213926553743,-0.2133496206720622,
0.21251678800001628,1,0,-144.12280692753336,-78.72475266595562,144.68939782175244,0.2085078919313048,-0.056444213926553743,-0.2133496206720622,
0.21757849999994505,1,0,-144.12280692753336,-78.72475266595562,144.68939782175244,0.2085078919313048,-0.056444213926553743,-0.2133496206720622,
0.22263852699995823,1,1,-144.14485902180095,-78.7260736468225,144.70649244261156,0.18645579766371156,-0.057765194793432784,-0.19625499981293615,
0.22770938700000443,1,0,-144.14485902180095,-78.7260736468225,144.70649244261156,0.18645579766371156,-0.057765194793432784,-0.19625499981293615,
0.23277209899993068,1,0,-144.14485902180095,-78.7260736468225,144.70649244261156,0.18645579766371156,-0.057765194793432784,-0.19625499981293615,
0.23783110699991994,1,0,-144.14485902180095,-78.7260736468225,144.70649244261156,0.18645579766371156,-0.057765194793432784,-0.19625499981293615,
0.24289007799995943,1,0,-144.14485902180095,-78.7260736468225,144.70649244261156,0.18645579766371156,-0.057765194793432784,-0.19625499981293615,
0.24795521599992298,1,0,-144.14485902180095,-78.7260736468225,144.70649244261156,0.18645579766371156,-0.057765194793432784,-0.19625499981293615,
0.2530165019999231,1,0,-144.14485902180095,-78.7260736468225,144.70649244261156,0.18645579766371156,-0.057765194793432784,-0.19625499981293615,
0.258075381000026,1,0,-144.14485902180095,-78.7260736468225,144.70649244261156,0.18645579766371156,-0.057765194793432784,-0.19625499981293615,
0.2631339999999227,1,0,-144.14485902180095,-78.7260736468225,144.70649244261156,0.18645579766371156,-0.057765194793432784,-0.19625499981293615,
0.2681935449999173,1,0,-144.14485902180095,-78.7260736468225,144.70649244261156,0.18645579766371156,-0.057765194793432784,-0.19625499981293615,
0.2732517759999382,1,0,-144.14485902180095,-78.7260736468225,144.70649244261156,0.18645579766371156,-0.057765194793432784,-0.19625499981293615,
0.27832132100002127,1,0,-144.14485902180095,-78.7260736468225,144.70649244261156,0.18645579766371156,-0.057765194793432784,-0.19625499981293615,
0.2833821069999658,1,0,-144.14485902180095,-78.7260736468225,144.70649244261156,0.18645579766371156,-0.057765194793432784,-0.19625499981293615,
0.28844089300002906,1,0,-144.14485902180095,-78.7260736468225,144.70649244261156,0.18645579766371156,-0.057765194793432784,-0.19625499981293615,
0.2934996049999654,1,0,-144.14485902180095,-78.7260736468225,144.70649244261156,0.18645579766371156,-0.057765194793432784,-0.19625499981293615,
0.2985595760000024,1,1,-144.14378747456476,-78.75330022598703,144.70521180969692,0.1875273448999053,-0.08499177395796664,-0.197535632727579,
0.30361791699999685,1,0,-144.14378747456476,-78.75330022598703,144.70521180969692,0.1875273448999053,-0.08499177395796664,-0.197535632727579,
0.3086839619999182,1,1,-144.16102747476734,-78.7548718809297,144.72743065009828,0.17028734469732854,-0.08656342890063229,-0.175316792326214,
0.3137594889999491,1,0,-144.16102747476734,-78.7548718809297,144.72743065009828,0.17028734469732854,-0.08656342890063229,-0.175316792326214,
0.3188214969999308,1,0,-144.16102747476734,-78.7548718809297,144.72743065009828,0.17028734469732854,-0.08656342890063229,-0.175316792326214,
0.32388252399994144,1,0,-144.16102747476734,-78.7548718809297,144.72743065009828,0.17028734469732854,-0.08656342890063229,-0.175316792326214,
0.3289543839999851,1,1,-144.18310209712652,-78.75619416528721,144.74454935582958,0.14821272233814398,-0.08788571325814587,-0.15819808659492196,
0.33401524399994287,1,0,-144.18310209712652,-78.75619416528721,144.74454935582958,0.14821272233814398,-0.08788571325814587,-0.15819808659492196,
0.33907397399991623,1,0,-144.18310209712652,-78.75619416528721,144.74454935582958,0.14821272233814398,-0.08788571325814587,-0.15819808659492196,
0.34413216799998736,1,0,-144.18310209712652,-78.75619416528721,144.74454935582958,0.14821272233814398,-0.08788571325814587,-0.15819808659492196,
0.34919243499996355,1,0,-144.18310209712652,-78.75619416528721,144.74454935582958,0.14821272233814398,-0.08788571325814587,-0.15819808659492196,
0.3542238699999416,1,0,-144.18310209712652,-78.75619416528721,144.74454935582958,0.14821272233814398,-0.08788571325814587,-0.15819808659492196,
0.3592839330000288,1,0,-144.18310209712652,-78.75619416528721,144.74454935582958,0.14821272233814398,-0.08788571325814587,-0.15819808659492196,
0.3643424419999519,1,0,-144.18310209712652,-78.75619416528721,144.74454935582958,0.14821272233814398,-0.08788571325814587,-0.15819808659492196,
0.3694003389999807,1,0,-144.18310209712652,-78.75619416528721,144.74454935582958,0.14821272233814398,-0.08788571325814587,-0.15819808659492196,
0.3744671429999471,1,0,-144.18310209712652,-78.75619416528721,144.74454935582958,0.14821272233814398,-0.08788571325814587,-0.15819808659492196,
