t_s,iteration,psi_enc_deg,psi_dot_enc_dps,phi_yaw_deg,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1480
0.0082,2,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1460
0.0133,3,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1440
0.0184,4,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1420
0.0235,5,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1400
0.0286,6,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1380
0.0338,7,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1360
0.0389,8,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1340
0.0440,9,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1320
0.0491,10,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1300
0.0542,11,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.0593,12,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.0644,13,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.0695,14,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.0746,15,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.0797,16,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.0848,17,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.0899,18,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.0950,19,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1000,20,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1051,21,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1102,22,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1153,23,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1204,24,-0.0000,0.0000,0.0957,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1255,25,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1306,26,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1356,27,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1407,28,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1458,29,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1509,30,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1560,31,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1611,32,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1662,33,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1712,34,-0.0000,0.0000,0.2033,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1763,35,-0.0000,0.0000,0.2033,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1814,36,-0.0000,0.0000,0.2033,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1865,37,-0.0000,0.0000,0.2033,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1916,38,-0.0000,0.0000,0.2033,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.1967,39,-0.0000,0.0000,0.2033,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2017,40,-0.0000,0.0000,0.2033,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2068,41,-0.0000,0.0000,0.2033,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2119,42,-0.0000,0.0000,0.2033,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2170,43,-0.0000,0.0000,0.2033,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2221,44,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2272,45,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2327,46,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2378,47,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2429,48,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2480,49,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2532,50,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2583,51,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2634,52,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2685,53,-0.0000,0.0000,0.1495,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2736,54,-0.0000,0.0000,0.1227,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2787,55,-0.0000,0.0000,0.1227,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2838,56,-0.0000,0.0000,0.1227,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2889,57,-0.0000,0.0000,0.1227,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2940,58,-0.0000,0.0000,0.1227,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.2990,59,-0.0000,0.0000,0.1227,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.3041,60,-0.0000,0.0000,0.1227,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.3092,61,-0.0000,0.0000,0.1227,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.3143,62,-0.0000,0.0000,0.1227,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.3194,63,-0.0000,0.0000,-0.0034,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.3245,64,-0.0000,0.0000,-0.0034,90.00,82.63,172.63,90.0000,0.0000,0.500000,1.000000,0.000750,-0.000000,0.032073,1287
0.3296,65,0.1800,10.8000,-0.0034,90.00,82.63,172.63,89.8200,0.0000,0.500000,0.998000,0.000748,-0.060000,0.032073,1287
0.3347,66,0.1800,7.5600,-0.0034,90.00,82.63,172.63,89.8200,0.0000,0.500000,0.998000,0.000748,-0.042000,0.032073,1287
0.3397,67,0.1800,5.2920,-0.0034,90.00,82.63,172.63,89.8200,0.0000,0.500000,0.998000,0.000748,-0.029400,0.032073,1287
0.3448,68,0.1800,3.7044,-0.0034,90.00,82.63,172.63,89.8200,0.0000,0.500000,0.998000,0.000748,-0.020580,0.032073,1287
0.3499,69,0.1800,2.5931,-0.0034,90.00,82.63,172.63,89.8200,0.0000,0.500000,0.998000,0.000748,-0.014406,0.032073,1287
0.3550,70,0.1800,1.8152,-0.0034,90.00,82.63,172.63,89.8200,0.0000,0.500000,0.998000,0.000748,-0.010084,0.032073,1287
0.3601,71,0.1800,1.2706,-0.0034,90.00,82.63,172.63,89.8200,0.0000,0.500000,0.998000,0.000748,-0.007059,0.032073,1287
0.3652,72,0.3600,11.6894,-0.0034,90.00,82.63,172.63,89.6400,0.0000,0.500000,0.996000,0.000747,-0.064941,0.032073,1287
0.3702,73,0.3600,8.1826,-0.1376,90.00,82.63,172.63,89.6400,0.0000,0.500000,0.996000,0.000747,-0.045459,0.032073,1287
0.3753,74,0.3600,5.7278,-0.1376,90.00,82.63,172.63,89.6400,0.0000,0.500000,0.996000,0.000747,-0.031821,0.032073,1287
0.3804,75,0.3600,4.0095,-0.1376,90.00,82.63,172.63,89.6400,0.0000,0.500000,0.996000,0.000747,-0.022275,0.032073,1287
0.3855,76,0.5400,13.6066,-0.1376,90.00,82.63,172.63,89.4600,0.0000,0.500000,0.994000,0.000745,-0.075592,0.032073,1287
0.3906,77,0.5400,9.5246,-0.1376,90.00,82.63,172.63,89.4600,0.0000,0.500000,0.994000,0.000745,-0.052915,0.032073,1287
0.3958,78,0.5400,6.6672,-0.1376,90.00,82.63,172.63,89.4600,0.0000,0.500000,0.994000,0.000745,-0.037040,0.032073,1287
0.4009,79,0.7200,15.4671,-0.1376,90.00,82.63,172.63,89.2800,0.0000,0.500000,0.992000,0.000744,-0.085928,0.032073,1287
0.4060,80,0.7200,10.8270,-0.1376,90.00,82.63,172.63,89.2800,0.0000,0.500000,0.992000,0.000744,-0.060150,0.032073,1287
0.4110,81,0.9000,18.3789,-0.1376,90.00,82.63,172.63,89.1000,0.0000,0.500000,0.990000,0.000742,-0.102105,0.032073,1287
0.4161,82,0.9000,12.8652,-0.1376,90.00,82.63,172.63,89.1000,0.0000,0.500000,0.990000,0.000742,-0.071473,0.032073,1287
0.4212,83,1.0800,19.8056,-0.2909,90.00,82.63,172.63,88.9200,0.0000,0.500000,0.988000,0.000741,-0.110031,0.032073,1287
0.4263,84,1.0800,13.8640,-0.2909,90.00,82.63,172.63,88.9200,0.0000,0.500000,0.988000,0.000741,-0.077022,0.032073,1287
0.4314,85,1.2600,20.5048,-0.2909,90.00,82.63,172.63,88.7400,0.0000,0.500000,0.986000,0.000739,-0.113915,0.032073,1287
0.4365,86,1.2600,14.3533,-0.2909,90.00,82.63,172.63,88.7400,0.0000,0.500000,0.986000,0.000739,-0.079741,0.032073,1287
0.4416,87,1.4400,20.8473,-0.2909,90.00,82.63,172.63,88.5600,0.0000,0.500000,0.984000,0.000738,-0.115819,0.032073,1287
0.4467,88,1.6200,25.3931,-0.2909,90.00,82.63,172.63,88.3800,0.0000,0.500000,0.982000,0.000736,-0.141073,0.032073,1287
0.4518,89,1.6200,17.7752,-0.2909,90.00,82.63,172.63,88.3800,0.0000,0.500000,0.982000,0.000736,-0.098751,0.032073,1287
0.4568,90,1.8000,23.2426,-0.2909,90.00,82.63,172.63,88.2000,0.0000,0.500000,0.980000,0.000735,-0.129126,0.032073,1287
0.4619,91,1.9800,27.0698,-0.2909,90.00,82.63,172.63,88.0200,0.0000,0.500000,0.978000,0.000733,-0.150388,0.032073,1287
0.4670,92,1.9800,18.9489,-0.2909,90.00,82.63,172.63,88.0200,0.0000,0.500000,0.978000,0.000733,-0.105272,0.032073,1287
0.4721,93,2.1600,24.0642,-0.572,90.00,82.63,172.63,87.8400,0.0000,0.500000,0.976000,0.000732,-0.133690,0.032073,1287
0.4775,94,2.3400,27.6450,-0.572,90.00,82.63,172.63,87.6600,0.0000,0.500000,0.974000,0.000731,-0.153583,0.032073,1287
0.4826,95,2.5200,30.1515,-0.572,90.00,82.63,172.63,87.4800,0.0000,0.500000,0.972000,0.000729,-0.167508,0.032073,1287
0.4877,96,2.7000,31.9060,-0.572,90.00,82.63,172.63,87.3000,0.0000,0.500000,0.970000,0.000727,-0.177256,0.032073,1287
0.4928,97,2.8800,33.1342,-0.572,90.00,82.63,172.63,87.1200,0.0000,0.500000,0.968000,0.000726,-0.184079,0.032073,1287
0.4979,98,3.0600,33.9940,-0.572,90.00,82.63,172.63,86.9400,0.0000,0.500000,0.966000,0.000724,-0.188855,0.032073,1287
0.5029,99,3.0600,23.7958,-0.572,90.00,82.63,172.63,86.9400,0.0000,0.500000,0.966000,0.000724,-0.132199,0.032073,1287
0.5080,100,3.4200,38.2570,-0.572,90.00,82.63,172.63,86.5800,0.0000,0.500000,0.962000,0.000721,-0.212539,0.032073,1287
0.5131,101,3.6000,37.5799,-0.572,90.00,82.63,172.63,86.4000,0.0000,0.500000,0.960000,0.000720,-0.208777,0.032073,1287
0.5182,102,3.6000,26.3059,-0.572,90.00,82.63,172.63,86.4000,0.0000,0.500000,0.960000,0.000720,-0.146144,0.032073,1287
0.5233,103,3.9600,40.0142,-0.4647,90.00,82.63,172.63,86.0400,0.0000,0.500000,0.956000,0.000717,-0.222301,0.032073,1287
0.5284,104,4.1400,38.8099,-0.4647,90.00,82.63,172.63,85.8600,0.0000,0.500000,0.954000,0.000715,-0.215611,0.032073,1287
0.5335,105,4.3200,37.9669,-0.4647,90.00,82.63,172.63,85.6800,0.0000,0.500000,0.952000,0.000714,-0.210927,0.032073,1287
0.5385,106,4.5000,37.3769,-0.4647,90.00,82.63,172.63,85.5000,0.0000,0.500000,0.950000,0.000713,-0.207649,0.032073,1287
0.5436,107,4.6800,36.9638,-0.4647,90.00,82.63,172.63,85.3200,0.0000,0.500000,0.948000,0.000711,-0.205354,0.032073,1287
0.5487,108,4.8600,36.6747,-0.4647,90.00,82.63,172.63,85.1400,0.0000,0.500000,0.946000,0.000709,-0.203748,0.032073,1287
