t_s,iteration,psi_imu_deg,psi_enc_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_norm_unsat,u_p,u_d,u_g,pwm_target_us,pwm_actual_us,pitch_raw_deg
0.0000,1,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1497,-82.0149
0.0201,2,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1494,-82.0149
0.0402,3,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1491,-82.0149
0.0603,4,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1488,-82.0149
0.0804,5,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1485,-81.9943
0.1005,6,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1482,-81.9943
0.1206,7,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1479,-81.9943
0.1406,8,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1476,-82.0029
0.1607,9,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1473,-82.0029
0.1808,10,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1470,-81.9910
0.2009,11,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1467,-81.9910
0.2210,12,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1464,-81.9910
0.2411,13,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1461,-81.9943
0.2612,14,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1458,-81.9943
0.2813,15,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1455,-82.0145
0.3014,16,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1452,-82.0145
0.3215,17,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1449,-82.0145
0.3417,18,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1446,-82.0145
0.3618,19,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1443,-82.0145
0.3819,20,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1440,-82.0145
0.4020,21,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1437,-82.0145
0.4221,22,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1434,-82.0145
0.4422,23,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1431,-82.0145
0.4623,24,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1428,-82.0145
0.4824,25,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1425,-82.0145
0.5025,26,-0.0000,-0.0000,-0.0000,5.00,5.0000,0.160142,0.160142,0.055556,0.000000,0.104587,1414,1422,-82.0145
