t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0606,-0.0000,-0.0009,-0.0000,6.00,87.74,93.74,6.0606,0.1212,0.317009,0.067340,0.000202,0.000000,0.249467,1450,2.319
0.0201,2,-0.0606,-0.0000,-0.0009,-0.0000,6.00,87.74,93.74,6.0606,0.2424,0.317211,0.067340,0.000404,0.000000,0.249467,1400,2.319
0.0402,3,-0.0606,-0.0000,-0.0009,0.1119,6.00,87.74,93.74,6.0606,0.3636,0.317040,0.067340,0.000606,-0.000373,0.249467,1356,2.319
0.0603,4,-0.0606,-0.0000,-0.0009,0.1119,6.00,87.74,93.74,6.0606,0.4848,0.317242,0.067340,0.000808,-0.000373,0.249467,1356,2.319
0.0803,5,-0.0606,-0.0000,-0.0009,0.1119,6.00,87.74,93.74,6.0606,0.6061,0.317444,0.067340,0.001010,-0.000373,0.249467,1355,2.319
0.1004,6,-0.0606,-0.0000,-0.0009,0.1119,6.00,87.74,93.74,6.0606,0.7273,0.317646,0.067340,0.001212,-0.000373,0.249467,1355,2.319
0.1205,7,-0.0606,-0.0000,-0.0009,0.1119,6.00,87.74,93.74,6.0606,0.8485,0.317848,0.067340,0.001414,-0.000373,0.249467,1355,2.319
0.1406,8,-0.0606,-0.0000,-0.0009,0.1119,6.00,87.74,93.74,6.0606,0.9697,0.318050,0.067340,0.001616,-0.000373,0.249467,1355,2.319
0.1607,9,-0.0606,-0.0000,-0.0009,0.1119,6.00,87.74,93.74,6.0606,1.0909,0.318252,0.067340,0.001818,-0.000373,0.249467,1355,2.319
0.1807,10,-0.0606,-0.0000,-0.0009,0.1119,6.00,87.74,93.74,6.0606,1.2121,0.318454,0.067340,0.002020,-0.000373,0.249467,1355,2.319
0.2008,11,-0.0606,-0.0000,-0.0009,0.1119,6.00,87.74,93.74,6.0606,1.3333,0.318656,0.067340,0.002222,-0.000373,0.249467,1355,2.319
0.2209,12,-0.0471,-0.0000,-0.0007,0.1119,6.00,87.74,93.74,6.0471,1.4543,0.318708,0.067190,0.002424,-0.000373,0.249467,1355,2.3055
0.2410,13,-0.0471,-0.0000,-0.0007,1.4548,6.00,87.74,93.74,6.0471,1.5752,0.314433,0.067190,0.002625,-0.004849,0.249467,1357,2.3055
0.2611,14,-0.0471,0.1800,-0.0007,1.4548,6.00,87.74,93.74,6.0471,1.6962,0.314635,0.067190,0.002827,-0.004849,0.249467,1357,2.3055
0.2812,15,0.0344,0.1800,-0.0113,3.1334,6.00,87.74,93.74,5.9656,1.8155,0.308333,0.066285,0.003026,-0.010445,0.249467,1359,2.224
0.3012,16,0.0344,0.3600,-0.0113,3.1334,6.00,87.74,93.74,5.9656,1.9348,0.308532,0.066285,0.003225,-0.010445,0.249467,1359,2.224
0.3213,17,0.2983,0.5400,-0.0177,3.1334,6.00,87.74,93.74,5.7017,2.0488,0.305790,0.063353,0.003415,-0.010445,0.249467,1360,1.9601
0.3414,18,0.2983,0.9000,-0.0177,12.9811,6.00,87.74,93.74,5.7017,2.1629,0.273154,0.063353,0.003605,-0.043270,0.249467,1372,1.9601
0.3615,19,0.2983,1.2600,-0.0177,12.9811,6.00,87.74,93.74,5.7017,2.2769,0.273344,0.063353,0.003795,-0.043270,0.249467,1372,1.9601
0.3815,20,1.0930,1.8000,-0.047,24.6193,6.00,87.74,93.74,4.9070,2.3750,0.225883,0.054522,0.003958,-0.082064,0.249467,1390,1.1653
0.4016,21,1.0930,2.3400,-0.047,24.6193,6.00,87.74,93.74,4.9070,2.4732,0.226047,0.054522,0.004122,-0.082064,0.249467,1390,1.1653
