t_s,iteration,sensor_mode,new_data,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,enc,1,-0.0000,0.0000,-0.0000,-0.0048,-0.0618,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1480
0.0085,2,enc,0,-0.0000,0.0000,-0.0000,-0.0048,-0.0618,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1460
0.0135,3,enc,1,-0.0000,0.0000,-0.0000,0.0061,-0.0801,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1440
0.0186,4,enc,0,-0.0000,0.0000,-0.0000,0.0061,-0.0801,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1420
0.0237,5,enc,0,-0.0000,0.0000,-0.0000,0.0061,-0.0801,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1400
0.0288,6,enc,0,-0.0000,0.0000,-0.0000,0.0061,-0.0801,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1380
0.0338,7,enc,0,-0.0000,0.0000,-0.0000,0.0061,-0.0801,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1360
0.0389,8,enc,0,-0.0000,0.0000,-0.0000,0.0061,-0.0801,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1340
0.0440,9,enc,0,-0.0000,0.0000,-0.0000,0.0061,-0.0801,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1320
0.0490,10,enc,0,-0.0000,0.0000,-0.0000,0.0061,-0.0801,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1300
0.0541,11,enc,0,-0.0000,0.0000,-0.0000,0.0061,-0.0801,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1280
0.0592,12,enc,0,-0.0000,0.0000,-0.0000,0.0061,-0.0801,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1260
0.0643,13,enc,0,-0.0000,0.0000,-0.0000,0.0061,-0.0801,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.0693,14,enc,1,-0.0000,0.0000,-0.0000,-0.0016,-0.1187,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.0744,15,enc,0,-0.0000,0.0000,-0.0000,-0.0016,-0.1187,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.0795,16,enc,0,-0.0000,0.0000,-0.0000,-0.0016,-0.1187,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.0845,17,enc,0,-0.0000,0.0000,-0.0000,-0.0016,-0.1187,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.0896,18,enc,0,-0.0000,0.0000,-0.0000,-0.0016,-0.1187,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.0947,19,enc,1,-0.0000,0.0000,-0.0000,0.0345,-0.0697,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.0997,20,enc,0,-0.0000,0.0000,-0.0000,0.0345,-0.0697,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.1048,21,enc,0,-0.0000,0.0000,-0.0000,0.0345,-0.0697,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.1099,22,enc,0,-0.0000,0.0000,-0.0000,0.0345,-0.0697,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.1150,23,enc,0,-0.0000,0.0000,-0.0000,0.0345,-0.0697,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.1200,24,enc,0,-0.0000,0.0000,-0.0000,0.0345,-0.0697,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.1251,25,enc,0,-0.0000,0.0000,-0.0000,0.0345,-0.0697,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.1302,26,enc,0,-0.0000,0.0000,-0.0000,0.0345,-0.0697,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.1352,27,enc,0,-0.0000,0.0000,-0.0000,0.0345,-0.0697,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.1403,28,enc,0,-0.0000,0.0000,-0.0000,0.0345,-0.0697,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.1454,29,enc,0,-0.0000,0.0000,-0.0000,0.0345,-0.0697,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.1504,30,enc,0,-0.0000,0.0000,-0.0000,0.0345,-0.0697,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.1555,31,enc,1,-0.0000,0.0000,-0.0000,0.0021,-0.0759,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.1606,32,enc,0,-0.0000,0.0000,-0.0000,0.0021,-0.0759,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.1657,33,enc,0,-0.0000,0.0000,-0.0000,0.0021,-0.0759,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.1707,34,enc,1,-0.0000,0.0000,-0.0000,0.0313,-0.0128,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.1758,35,enc,0,-0.0000,0.0000,-0.0000,0.0313,-0.0128,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
0.1809,36,enc,0,-0.0000,0.0000,-0.0000,0.0313,-0.0128,20.00,82.03,20.0000,0.0000,0.600000,0.555556,0.001111,-0.000000,0.195610,1250
