wall,t,tgt,ref,angle,err,u,pwm,dir,held,P,I,D,gz
1786720476.3375854,1.14800013761851e-06,0.0,0.0,0.008599276655303356,-0.008599276655303356,0.0015476925327050993,1429.5047383895344,1,0,-0.00021011996729490066,-1.8010282910991486e-06,0.0017578124999999998,-0.001953125
1786720476.3517685,0.020000620000246272,0.0,0.0,0.7185005529584885,-0.7185005529584885,-0.015097143985426806,1430.0,1,1,-0.017556280457135708,-0.00015228343220940525,0.0024609375,-0.001953125
1786720476.37309,0.04000029600001653,0.0,0.0,0.7185005529584885,-0.7185005529584885,-0.1098882513893451,1430.0,1,1,-0.017556280457135708,-0.00015228343220940525,-0.0921796875,0.103515625
1786720476.3915122,0.06000041600009354,0.0,0.0,0.7185005529584885,-0.7185005529584885,-0.14774450138934508,1430.0,1,1,-0.017556280457135708,-0.00015228343220940525,-0.13003593749999998,0.103515625
1786720476.4141355,0.08000024000011763,0.0,0.0,1.0139931374396554,-1.0139931374396554,-0.1718650598095385,1430.0,1,1,-0.02477652637732912,-0.00015228343220940525,-0.14693625,0.10546875
1786720476.4320238,0.10000030500032153,0.0,0.0,1.0139931374396554,-1.0139931374396554,-0.1786251848095385,1430.0,1,1,-0.02477652637732912,-0.00015228343220940525,-0.153696375,0.10546875
1786720476.452435,0.1200002770001447,0.0,0.0,1.307727942734914,-1.307727942734914,-0.18850653008168797,1430.0,1,1,-0.031953821649478555,-0.00015228343220940525,-0.156400425,0.10546875
1786720476.4727552,0.1400003420003486,0.0,0.0,1.307727942734914,-1.307727942734914,-0.18783033758168796,1430.0,1,1,-0.031953821649478555,-0.00015228343220940525,-0.1557242325,0.103515625
1786720476.4919593,0.16000040700009777,0.0,0.0,1.307727942734914,-1.307727942734914,-0.18755986058168794,1430.0,1,1,-0.031953821649478555,-0.00015228343220940525,-0.15545375549999998,0.103515625
1786720476.5156012,0.18000078700015365,0.0,0.0,1.5830784735942132,-1.5830784735942132,-0.18539068998654057,1430.0,1,1,-0.03868190435433118,-0.00015228343220940525,-0.1465565022,0.09375
1786720476.5318394,0.20000038800026232,0.0,0.0,1.5830784735942132,-1.5830784735942132,-0.18183178866654057,1430.0,1,1,-0.03868190435433118,-0.00015228343220940525,-0.14299760088,0.09375
1786720476.551856,0.22000039800013838,0.0,0.0,1.8391950812620905,-1.8391950812620907,-0.1866663374405208,1430.0,1,1,-0.04494001365631141,-0.00015228343220940525,-0.141574040352,0.09375
1786720476.5736039,0.24000051800021538,0.0,0.0,1.8391950812620905,-1.8391950812620907,-0.17730785072932082,1430.0,1,1,-0.04494001365631141,-0.00015228343220940525,-0.1322155536408,0.083984375
1786720476.5918055,0.26000034200023947,0.0,0.0,1.8391950812620905,-1.8391950812620907,-0.1735644560448408,1430.0,1,1,-0.04494001365631141,-0.00015228343220940525,-0.12847215895632,0.083984375
1786720476.613481,0.2800003510001261,0.0,0.0,2.0748982206948483,-2.0748982206948483,-0.16903734984759328,1430.0,1,1,-0.05069932783285587,-0.00015228343220940525,-0.11818573858252801,0.07421875
1786720476.6319962,0.30000060100019255,0.0,0.0,2.0748982206948483,-2.0748982206948483,-0.16492278169807648,1430.0,1,1,-0.05069932783285587,-0.00015228343220940525,-0.1140711704330112,0.07421875
1786720476.6534085,0.32000037000034354,0.0,0.0,2.2772258889571617,-2.2772258889571617,-0.16822075200895403,1430.0,1,1,-0.055643125403540154,-0.00015228343220940525,-0.11242534317320449,0.07421875
1786720476.6721978,0.34000052700002925,0.0,0.0,2.2772258889571617,-2.2772258889571617,-0.16228898360503136,1430.0,1,1,-0.055643125403540154,-0.00015228343220940525,-0.10649357476928178,0.068359375
1786720476.6918619,0.3600004990003072,0.0,0.0,2.2772258889571617,-2.2772258889571617,-0.15991627624346227,1430.0,1,1,-0.055643125403540154,-0.00015228343220940525,-0.1041208674077127,0.068359375
1786720476.7142165,0.38000041600025725,0.0,0.0,2.4588239919177397,-2.45882399191774,-0.15285759703568746,1430.0,1,1,-0.060080404140393,-0.00015228343220940525,-0.09262490946308508,0.056640625
1786720476.7317908,0.4000002770003448,0.0,0.0,2.4588239919177397,-2.45882399191774,-0.1482592138578364,1430.0,1,1,-0.060080404140393,-0.00015228343220940525,-0.08802652628523402,0.056640625
1786720476.7524524,0.42000036000035834,0.0,0.0,2.603201069517837,-2.603201069517837,-0.1499476581026367,1430.0,1,1,-0.06360820165633367,-0.00015228343220940525,-0.08618717301409361,0.056640625
1786720476.7744887,0.44000062900022385,0.0,0.0,2.603201069517837,-2.603201069517837,-0.13690722929418053,1430.0,1,1,-0.06360820165633367,-0.00015228343220940525,-0.07314674420563744,0.04296875
1786720476.7918024,0.46000028600019505,0.0,0.0,2.603201069517837,-2.603201069517837,-0.13169105777079804,1430.0,1,1,-0.06360820165633367,-0.00015228343220940525,-0.06793057268225497,0.04296875
1786720476.813906,0.48000033200014514,0.0,0.0,2.7220486763515055,-2.7220486763515055,-0.1254773340277536,1430.0,1,1,-0.06651219652264219,-0.00015228343220940525,-0.058812854072901995,0.03515625
1786720476.8317997,0.5000003230002221,0.0,0.0,2.7220486763515055,-2.7220486763515055,-0.1218302465840124,1430.0,1,1,-0.06651219652264219,-0.00015228343220940525,-0.0551657666291608,0.03515625
1786720476.8532252,0.5200002579999818,0.0,0.0,2.8089506308800196,-2.8089506308800196,-0.12249482693263328,1430.0,1,1,-0.06863561184875955,-0.00015228343220940525,-0.05370693165166432,0.03515625
1786720476.8728216,0.5400004150001223,0.0,0.0,2.8089506308800196,-2.8089506308800196,-0.10433316794163469,1430.0,1,1,-0.06863561184875955,-0.00015228343220940525,-0.03554527266066573,0.015625
1786720476.8912401,0.5600004990001253,0.0,0.0,2.8089506308800196,-2.8089506308800196,-0.09706850434523526,1430.0,1,1,-0.06863561184875955,-0.00015228343220940525,-0.028280609064266292,0.015625
1786720476.91426,0.5800003600002128,0.0,0.0,2.868684834134058,-2.868684834134058,-0.08859097083864934,1430.0,1,1,-0.07009519378073341,-0.00015228343220940525,-0.018343493625706517,0.0078125
1786720476.9318104,0.6000003690000995,0.0,0.0,2.868684834134058,-2.868684834134058,-0.08461612466322543,1430.0,1,1,-0.07009519378073341,-0.00015228343220940525,-0.014368647450282608,0.0078125
1786720476.953953,0.6200006010003563,0.0,0.0,2.8900051692767192,-2.8900051692767192,-0.0835471402572712,1430.0,1,1,-0.07061614784494874,-0.00015228343220940525,-0.012778708980113043,0.0078125
1786720476.9728363,0.640000350000264,0.0,0.0,2.8900051692767192,-2.8900051692767192,-0.07412210236920337,1430.0,1,1,-0.07061614784494874,-0.00015228343220940525,-0.003353671092045218,-0.001953125
1786720476.9918027,0.6600003779999497,0.0,0.0,2.8900051692767192,-2.8900051692767192,-0.07035208721397623,1430.0,1,1,-0.07061614784494874,-0.00015228343220940525,0.0004163440631819126,-0.001953125
1786720477.0139234,0.680000425000344,0.0,0.0,2.8897752024096235,-2.889775202409624,-0.06180721200128355,1430.0,1,1,-0.0706105286943469,-0.00015228343220940525,0.008955600125272765,-0.009765625
1786720477.031778,0.7000003600001037,0.0,0.0,2.8897752024096235,-2.889775202409624,-0.05839150957644721,1430.0,1,1,-0.0706105286943469,-0.00015228343220940525,0.012371302550109105,-0.009765625
1786720477.0524497,0.7200003319999269,0.0,0.0,2.87556171262338,-2.87556171262338,-0.056677927533556716,1430.0,1,1,-0.07026322762139095,-0.00015228343220940525,0.013737583520043643,-0.009765625
1786720477.074375,0.7400005640001837,0.0,0.0,2.87556171262338,-2.87556171262338,-0.0526157901455829,1430.0,1,1,-0.07026322762139095,-0.00015228343220940525,0.017799720908017458,-0.013671875
1786720477.092029,0.7600004989999434,0.0,0.0,2.87556171262338,-2.87556171262338,-0.050990935190393376,1430.0,1,1,-0.07026322762139095,-0.00015228343220940525,0.019424575863206985,-0.013671875
1786720477.1139376,0.7800004710002213,0.0,0.0,2.862037978277243,-2.862037978277243,-0.05352617104021039,1430.0,1,1,-0.06993278045328377,-0.00015228343220940525,0.016558892845282794,-0.009765625
1786720477.1319876,0.8000003510001079,0.0,0.0,2.862037978277243,-2.862037978277243,-0.05467244424738006,1430.0,1,1,-0.06993278045328377,-0.00015228343220940525,0.015412619638113119,-0.009765625
1786720477.1553495,0.8200007120003647,0.0,0.0,2.8516255721106916,-2.8516255721106916,-0.05487653045132213,1430.0,1,1,-0.06967835737435797,-0.00015228343220940525,0.01495411035524525,-0.009765625
1786720477.17383,0.8400005359999341,0.0,0.0,2.8516255721106916,-2.8516255721106916,-0.055059934164469276,1430.0,1,1,-0.06967835737435797,-0.00015228343220940525,0.014770706642098102,-0.009765625
1786720477.1919825,0.8600004899999476,0.0,0.0,2.8516255721106916,-2.8516255721106916,-0.05513329564972814,1430.0,1,1,-0.06967835737435797,-0.00015228343220940525,0.014697345156839242,-0.009765625
1786720477.2165277,0.8800006100000246,0.0,0.0,2.847705546238643,-2.847705546238643,-0.05682466844230884,1430.0,1,1,-0.06958257307283512,-0.00015228343220940525,0.012910188062735698,-0.0078125
1786720477.232006,0.9000008230000276,0.0,0.0,2.847705546238643,-2.847705546238643,-0.05753953127995025,1430.0,1,1,-0.06958257307283512,-0.00015228343220940525,0.01219532522509428,-0.0078125
1786720477.2545383,0.9200007770000411,0.0,0.0,2.8512419833390936,-2.8512419833390936,-0.05791188787467638,1430.0,1,1,-0.06966898453250468,-0.00015228343220940525,0.01190938009003771,-0.0078125
1786720477.2728307,0.9400003790001392,0.0,0.0,2.8512419833390936,-2.8512419833390936,-0.06681532842869901,1430.0,1,1,-0.06966898453250468,-0.00015228343220940525,0.0030059395360150843,0.001953125
1786720477.2919698,0.9600006850000682,0.0,0.0,2.8512419833390936,-2.8512419833390936,-0.07037670465030806,1430.0,1,1,-0.06966898453250468,-0.00015228343220940525,-0.0005554366855939662,0.001953125
1786720477.3139164,0.9800003600003038,0.0,0.0,2.872450863628842,-2.872450863628842,-0.07583511084735609,1430.0,1,1,-0.0701872152409091,-0.00015228343220940525,-0.005495612174237587,0.005859375
1786720477.3318343,1.0000004990001798,0.0,0.0,2.872450863628842,-2.872450863628842,-0.07781118104281354,1430.0,1,1,-0.0701872152409091,-0.00015228343220940525,-0.0074716823696950345,0.005859375
