t,ref,angle,err,u,pwm,phase,P,I,D,FF,gz
8.700008038431406e-07,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0,0.0,0.0
0.020000776001324994,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0,0.0,0.0
0.040000533999773324,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0,0.0,0.0
0.06000066200067522,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0,0.0,0.0
0.08000040099977923,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0,0.0,0.0
0.10000036299970816,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0,0.0,0.0
0.12000056500073697,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0,0.0,0.0
0.1400003779999679,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0,0.0,0.0
0.16000030299983337,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0,0.0,0.0
0.18000069000117946,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0,0.0,0.0
0.2000003180000931,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0,0.0,0.0
0.22000033500080463,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0,0.0,0.0
0.2400009080010932,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0,0.0,0.0
0.2600002580002183,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-0.0010257906822717213,0.0,0.0
0.28000081299978774,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-0.0007180534775902049,0.0,0.0
0.3000004040004569,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-0.0005026374343131433,0.0,0.0
0.3200003470010415,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-0.0003518462040192003,0.0,0.0
0.34000041900071665,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-0.0002462923428134402,0.0,0.0
0.36000036200130126,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-0.00017240463996940814,0.0,0.0
0.3800002680000034,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-0.00012068324797858569,0.0,0.0
0.4000003410001227,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-8.447827358500998e-05,0.0,0.0
0.4200003210007708,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-5.9134791509506984e-05,0.0,0.0
0.44000032000076317,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-4.139435405665489e-05,0.0,0.0
0.4600005410011363,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-2.8976047839658418e-05,0.0,0.0
0.48000031700030377,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-2.028323348776089e-05,0.0,0.0
0.5000002600008884,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-1.4198263441432623e-05,0.0,0.0
0.5200003879999713,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-9.938784409002835e-06,0.0,0.0
0.5400004240000271,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-6.9571490863019844e-06,0.0,0.0
0.5600003670006117,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-4.870004360411388e-06,0.0,0.0
0.5800002920004772,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-3.409003052287972e-06,0.0,0.0
0.600000252999962,0.0,-1.0609367866010189e-05,1.0609367866010189e-05,0.0,1500,idle,5.555052024514871e-07,0.0,-2.38630213660158e-06,0.0,0.0
0.6200002519999543,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0010241202707761002,0.0,0.0
0.6400003250000736,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0007168841895432701,0.0,0.0
0.660000398000193,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.000501818932680289,0.0,0.0
0.6800003220014332,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0003512732528762023,0.0,0.0
0.7000004130004527,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0002458912770133416,0.0,0.0
0.7200004300011642,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.0001721238939093391,0.0,0.0
0.740000781001072,0.0,-0.00357263826229115,0.00357263826229115,0.0,1500,idle,0.00018706290197912804,0.0,0.00012048672573653735,0.0,0.0
0.7600004830001126,0.0,0.002491388233007541,-0.002491388233007541,0.0,1500,idle,-0.00013044878283427578,0.0,-0.001661973558458145,0.0,0.0
0.7800003150005068,0.0,0.002491388233007541,-0.002491388233007541,0.0,1500,idle,-0.00013044878283427578,0.0,-0.0011633814909207014,0.0,0.0
0.8000008510007319,0.0,0.002491388233007541,-0.002491388233007541,0.0,1500,idle,-0.00013044878283427578,0.0,-0.000814367043644491,0.0,0.0
0.8200005350008723,0.0,0.002491388233007541,-0.002491388233007541,0.0,1500,idle,-0.00013044878283427578,0.0,-0.0005700569305511436,0.0,0.0
0.8400003300012031,0.0,0.002491388233007541,-0.002491388233007541,0.0,1500,idle,-0.00013044878283427578,0.0,-0.0003990398513858005,0.0,0.0
0.8600004210002226,0.0,-0.00165664659588316,0.00165664659588316,0.0,1500,idle,8.674181292035123e-05,0.0,0.0009152203806803882,0.0,0.0
0.880000420000215,0.0,-0.00165664659588316,0.00165664659588316,0.0,1500,idle,8.674181292035123e-05,0.0,0.0006406542664762717,0.0,0.0
