t,ref,angle,err,u,pwm,state,P,I,D,gz
6.109999617365247e-07,0.0,-0.0011454665591941193,0.0011454665591941193,0.0,1500,idle,0.0,0.0,0.0,0.0
0.020000896999988527,0.0,0.0042286891276432925,-0.0042286891276432925,0.0,1500,idle,0.0,0.0,0.0,0.0
0.04000060799995708,0.0,0.0042286891276432925,-0.0042286891276432925,0.0,1500,idle,0.0,0.0,0.0,-0.001953125
0.06000061599996798,0.0,0.0042286891276432925,-0.0042286891276432925,0.0,1500,idle,0.0,0.0,0.0,-0.001953125
0.0800006979999921,0.0,0.001134472963741473,-0.001134472963741473,0.0,1500,idle,0.0,0.0,0.0,0.0
0.10000100199999906,0.0,0.001134472963741473,-0.001134472963741473,0.0,1500,idle,0.0,0.0,0.0,0.0
0.12000036199998476,0.0,0.0042286891276432925,-0.0042286891276432925,0.0,1500,idle,0.0,0.0,0.0,0.0
0.14000048099995865,0.0,0.0042286891276432925,-0.0042286891276432925,0.0,1500,idle,0.0,0.0,0.0,0.0
0.16000048899996955,0.0,0.0042286891276432925,-0.0042286891276432925,0.0,1500,idle,0.0,0.0,0.0,0.0
0.18000038499997117,0.0,0.001134472963741473,-0.001134472963741473,0.0,1500,idle,0.0,0.0,0.0,-0.001953125
0.20000028199996223,0.0,0.001134472963741473,-0.001134472963741473,0.0,1500,idle,0.0,0.0,0.0,-0.001953125
0.22000036399998635,0.0,0.0030609327274646603,-0.0030609327274646603,0.0,1500,idle,0.0,0.0,0.0,-0.001953125
0.2400003159999642,0.0,0.0030609327274646603,-0.0030609327274646603,0.0,1500,idle,0.0,0.0,0.0,0.0
0.2600006209999606,0.0,0.0030609327274646603,-0.0030609327274646603,0.0,1500,idle,0.0,0.0,0.0,0.0
0.2800007769999979,0.0,-3.284226991695505e-05,3.284226991695505e-05,0.0,1500,idle,0.0,0.0,0.0,0.0
0.3000006179999559,0.0,-3.284226991695505e-05,3.284226991695505e-05,0.0,1500,idle,0.0,0.0,0.0,0.0
0.32000042199996415,0.0,-3.284226991695505e-05,3.284226991695505e-05,0.0,1500,idle,0.0,0.0,0.0,0.0
0.34000041100000544,0.0,-3.284226991695505e-05,3.284226991695505e-05,0.0,1500,idle,0.0,0.0,0.0,0.0
0.3600003819999529,0.0,-3.284226991695505e-05,3.284226991695505e-05,0.0,1500,idle,0.0,0.0,0.0,0.0
0.3800003899999638,0.0,-3.284226991695505e-05,3.284226991695505e-05,0.0,1500,idle,0.0,0.0,0.0,0.001953125
0.4000005460000011,0.0,-3.284226991695505e-05,3.284226991695505e-05,0.0,1500,idle,0.0,0.0,0.0,0.001953125
0.4200005170000054,0.0,-0.0023128984813354236,0.0023128984813354236,0.0,1500,idle,0.0,0.0,0.0,0.001953125
0.4400003579999634,0.0,-0.0023128984813354236,0.0023128984813354236,0.0,1500,idle,0.0,0.0,0.0,-0.001953125
0.4600004029999809,0.0,-0.0023128984813354236,0.0023128984813354236,0.0,1500,idle,0.0,0.0,0.0,-0.001953125
0.48000024399999575,0.0,-0.001199280174944306,0.001199280174944306,0.0,1500,idle,0.0,0.0,0.0,-0.00390625
0.5000002889999564,0.0,-0.001199280174944306,0.001199280174944306,0.0,1500,idle,0.0,0.0,0.0,-0.00390625
0.5200003519999541,0.0,-0.001199280174944306,0.001199280174944306,0.0,1500,idle,0.0,0.0,0.0,-0.00390625
0.5400003969999716,0.0,-0.001199280174944306,0.001199280174944306,0.0,1500,idle,0.0,0.0,0.0,0.001953125
0.5600003499999957,0.0,-0.001199280174944306,0.001199280174944306,0.0,1500,idle,0.0,0.0,0.0,0.001953125
0.5800003389999802,0.0,-0.0031261761771190777,0.0031261761771190777,0.0,1500,idle,0.0,0.0,0.0,0.0
0.6000003279999646,0.0,-0.0031261761771190777,0.0031261761771190777,0.0,1500,idle,0.0,0.0,0.0,0.0
0.6200003920000086,0.0,-0.0031261761771190777,0.0031261761771190777,0.0,1500,idle,0.0,0.0,0.0,0.0
0.6400003069999798,0.0,-0.0031261761771190777,0.0031261761771190777,0.0,1500,idle,0.0,0.0,0.0,0.0
0.6600004259999537,0.0,-0.0031261761771190777,0.0031261761771190777,0.0,1500,idle,0.0,0.0,0.0,0.0
0.6800003230000016,0.0,-0.0031261761771190777,0.0031261761771190777,0.0,1500,idle,0.0,0.0,0.0,0.0
0.7000002749999794,0.0,-0.0031261761771190777,0.0031261761771190777,0.0,1500,idle,0.0,0.0,0.0,0.0
0.7200004129999797,0.0,-3.284226991695505e-05,3.284226991695505e-05,0.0,1500,idle,0.0,0.0,0.0,0.0
0.7400004019999642,0.0,-3.284226991695505e-05,3.284226991695505e-05,0.0,1500,idle,0.0,0.0,0.0,0.0
0.7600005019999685,0.0,-3.284226991695505e-05,3.284226991695505e-05,0.0,1500,idle,0.0,0.0,0.0,0.0
0.7800002879999965,0.0,-3.284226991695505e-05,3.284226991695505e-05,0.0,1500,idle,0.0,0.0,0.0,0.0
0.800000443999977,0.0,-3.284226991695505e-05,3.284226991695505e-05,0.0,1500,idle,0.0,0.0,0.0,0.0
0.8200002669999549,0.0,0.004173891788468609,-0.004173891788468609,0.0,1500,idle,0.0,0.0,0.0,0.0
0.8400005149999856,0.0,0.004173891788468609,-0.004173891788468609,0.0,1500,idle,0.0,0.0,0.0,0.0
0.8600003379999634,0.0,0.004173891788468609,-0.004173891788468609,0.0,1500,idle,0.0,0.0,0.0,0.0
0.8800004009999611,0.0,0.010537894472236076,-0.010537894472236076,0.0,1500,idle,0.0,0.0,0.0,0.0
0.9000005940000051,0.0,0.010537894472236076,-0.010537894472236076,0.0,1500,idle,0.0,0.0,0.0,0.0
0.920000712999979,0.0,0.013631793594214514,-0.013631793594214514,0.0,1500,idle,0.0,0.0,0.0,0.0
0.9400006839999833,0.0,0.013631793594214514,-0.013631793594214514,0.0,1500,idle,0.0,0.0,0.0,0.0
0.9600006919999942,0.0,0.013631793594214514,-0.013631793594214514,0.0,1500,idle,0.0,0.0,0.0,0.0
0.9800007739999614,0.0,0.013631793594214514,-0.013631793594214514,0.0,1500,idle,0.0,0.0,0.0,0.0
1.0000007630000027,0.0,0.013631793594214514,-0.013631793594214514,0.0,1500,idle,0.0,0.0,0.0,0.0
1.0200005859999806,0.0,0.013631793594214514,-0.013631793594214514,0.0,1500,idle,0.0,0.0,0.0,0.0
1.040000852999981,0.0,0.013631793594214514,-0.013631793594214514,0.0,1500,idle,0.0,0.0,0.0,0.0
1.0600002499999732,0.0,0.013631793594214514,-0.013631793594214514,0.0,1500,idle,0.0,0.0,0.0,0.0
1.0800003319999973,0.0,0.009547170075762779,-0.009547170075762779,0.0,1500,idle,0.0,0.0,0.0,0.0
1.1000002839999752,0.0,0.009547170075762779,-0.009547170075762779,0.0,1500,idle,0.0,0.0,0.0,0.0
1.120000513999969,0.0,0.009547170075762779,-0.009547170075762779,0.0,1500,idle,0.0,0.0,0.0,0.0
1.1400002809999705,0.0,0.009547170075762779,-0.009547170075762779,0.0,1500,idle,0.0,0.0,0.0,0.0
1.160000604000004,0.0,0.009547170075762779,-0.009547170075762779,0.0,1500,idle,0.0,0.0,0.0,0.0
1.1800003899999751,0.0,0.006453395078381163,-0.006453395078381163,0.0,1500,idle,0.0,0.0,0.0,0.0
1.2000003050000032,0.0,0.006453395078381163,-0.006453395078381163,0.0,1500,idle,0.0,0.0,0.0,0.0
1.2200005720000036,0.0,0.004173891788468609,-0.004173891788468609,0.0,1500,idle,0.0,0.0,0.0,0.0
1.2400005430000078,0.0,0.004173891788468609,-0.004173891788468609,0.0,1500,idle,0.0,0.0,0.0,0.0
1.2600005319999923,0.0,0.004173891788468609,-0.004173891788468609,0.0,1500,idle,0.0,0.0,0.0,0.0
1.2800002809999569,0.0,0.004173891788468609,-0.004173891788468609,0.0,1500,idle,0.0,0.0,0.0,0.0
1.3000004559999638,0.0,0.004173891788468609,-0.004173891788468609,0.0,1500,idle,0.0,0.0,0.0,0.0
1.3200004450000051,0.0,0.004173891788468609,-0.004173891788468609,0.0,1500,idle,0.0,0.0,0.0,0.0
1.3400002859999631,0.0,0.004173891788468609,-0.004173891788468609,0.0,1500,idle,0.0,0.0,0.0,0.0
1.3600004979999767,0.0,0.004173891788468609,-0.004173891788468609,0.0,1500,idle,0.0,0.0,0.0,0.0
1.3800005059999876,0.0,0.008258391182351943,-0.008258391182351943,0.0,1500,idle,0.0,0.0,0.0,0.0
1.4000002729999892,0.0,0.008258391182351943,-0.008258391182351943,0.0,1500,idle,0.0,0.0,0.0,0.0
1.4200004659999763,0.0,0.005164933120653359,-0.005164933120653359,0.0,1500,idle,0.0,0.0,0.0,0.0
1.4400003259999608,0.0,0.005164933120653359,-0.005164933120653359,0.0,1500,idle,0.0,0.0,0.0,0.0
1.4600002409999888,0.0,0.005164933120653359,-0.005164933120653359,0.0,1500,idle,0.0,0.0,0.0,0.0
1.480000322999956,0.0,0.005164933120653359,-0.005164933120653359,0.0,1500,idle,0.0,0.0,0.0,0.0
1.500000459999967,0.0,0.005164933120653359,-0.005164933120653359,0.0,1500,idle,0.0,0.0,0.0,0.0
1.5200005239999541,0.0,0.002885095064414145,-0.002885095064414145,0.0,1500,idle,0.0,0.0,0.0,0.0
1.5400007349999782,0.0,0.002885095064414145,-0.002885095064414145,0.0,1500,idle,0.0,0.0,0.0,0.0
1.560000539999976,0.0,0.002885095064414145,-0.002885095064414145,0.0,1500,idle,0.0,0.0,0.0,0.0
1.580000622,0.0,0.002885095064414145,-0.002885095064414145,0.0,1500,idle,0.0,0.0,0.0,0.0
1.6000005369999712,0.0,0.002885095064414145,-0.002885095064414145,0.0,1500,idle,0.0,0.0,0.0,0.0
1.6200003039999729,0.0,0.002885095064414145,-0.002885095064414145,0.0,1500,idle,0.0,0.0,0.0,0.0
1.640000329999964,0.0,0.002885095064414145,-0.002885095064414145,0.0,1500,idle,0.0,0.0,0.0,0.0
1.6600003009999682,0.0,0.002885095064414145,-0.002885095064414145,0.0,1500,idle,0.0,0.0,0.0,0.0
1.680000401999962,0.0,0.002885095064414145,-0.002885095064414145,0.0,1500,idle,0.0,0.0,0.0,0.0
1.700000612999986,0.0,0.002885095064414145,-0.002885095064414145,0.0,1500,idle,0.0,0.0,0.0,0.0
1.7200006580000036,0.0,-0.00020792201328845294,0.00020792201328845294,0.0,1500,idle,0.0,0.0,0.0,0.0
1.740000461999955,0.0,-0.00020792201328845294,0.00020792201328845294,0.0,1500,idle,0.0,0.0,0.0,0.0
1.7600007300000016,0.0,-0.00020792201328845294,0.00020792201328845294,0.0,1500,idle,0.0,0.0,0.0,0.0
1.7800002930000005,0.0,-0.00020792201328845294,0.00020792201328845294,0.0,1500,idle,0.0,0.0,0.0,0.0
