wall,t,tgt,ref,angle,err,u,pwm,P,I,D,gz
1786719160.550365,1.3700000636163168e-06,0.0,0.0,-0.002326481677840775,0.002326481677840775,5.684667137190093e-05,1429.981809065161,5.684667137190093e-05,4.872571831877223e-07,0.0,0.0
1786719160.5624862,0.020000729999992473,0.0,0.0,-0.002326481677840775,0.002326481677840775,5.733392855508865e-05,1429.9816531428623,5.684667137190093e-05,9.745143663754446e-07,0.0,0.0
1786719160.5824583,0.040000332000090566,0.0,0.0,-0.002326481677840775,0.002326481677840775,5.782118573827637e-05,1429.9814972205638,5.684667137190093e-05,1.4617715495631667e-06,0.0,0.0
1786719160.6051836,0.06000032200017813,0.0,0.0,0.6979576332677766,-0.6979576332677766,-0.09791223546438017,1430.0,-0.017054322235929734,1.4617715495631667e-06,-0.080859375,0.08984375
1786719160.6226695,0.08000059000005422,0.0,0.0,0.6979576332677766,-0.6979576332677766,-0.13025598546438016,1430.0,-0.017054322235929734,1.4617715495631667e-06,-0.113203125,0.08984375
1786719160.645408,0.10000065400004132,0.0,0.0,0.9572170837735996,-0.9572170837735997,-0.14601276390391324,1430.0,-0.023389225675462783,1.4617715495631667e-06,-0.12262500000000001,0.0859375
1786719160.662503,0.12000044100000196,0.0,0.0,0.9572170837735996,-0.9572170837735997,-0.1497815139039132,1430.0,-0.023389225675462783,1.4617715495631667e-06,-0.12639374999999997,0.0859375
1786719160.6824732,0.14000035700018998,0.0,0.0,0.9572170837735996,-0.9572170837735997,-0.15128901390391322,1430.0,-0.023389225675462783,1.4617715495631667e-06,-0.12790125,0.0859375
1786719160.7051942,0.16000043899998673,0.0,0.0,1.2013578605839825,-1.2013578605839825,-0.15082624845511813,1430.0,-0.029354710226667705,1.4617715495631667e-06,-0.121473,0.078125
1786719160.722448,0.18000035600016417,0.0,0.0,1.2013578605839825,-1.2013578605839825,-0.14825494845511814,1430.0,-0.029354710226667705,1.4617715495631667e-06,-0.1189017,0.078125
1786719160.7451532,0.20000029000016184,0.0,0.0,1.4071223422491812,-1.4071223422491812,-0.13819170321932223,1430.0,-0.03438248499087181,1.4617715495631667e-06,-0.10381067999999999,0.0625
1786719160.7624538,0.22000029900004847,0.0,0.0,1.4071223422491812,-1.4071223422491812,-0.13215529521932223,1430.0,-0.03438248499087181,1.4617715495631667e-06,-0.097774272,0.0625
1786719160.7824411,0.24000038200006202,0.0,0.0,1.4071223422491812,-1.4071223422491812,-0.12974073201932224,1430.0,-0.03438248499087181,1.4617715495631667e-06,-0.0953597088,0.0625
1786719160.8051457,0.2600003720001496,0.0,0.0,1.575248098749654,-1.575248098749654,-0.12057830645099757,1430.0,-0.038490572202547126,1.4617715495631667e-06,-0.08208919602,0.048828125
1786719160.8224669,0.2800003620000098,0.0,0.0,1.575248098749654,-1.575248098749654,-0.11527010133899757,1430.0,-0.038490572202547126,1.4617715495631667e-06,-0.076780990908,0.048828125
1786719160.8445985,0.30000057400002333,0.0,0.0,1.7021641828073655,-1.7021641828073655,-0.10218546425096049,1430.0,-0.04159171715931005,1.4617715495631667e-06,-0.0605952088632,0.033203125
1786719160.862497,0.32000036099998397,0.0,0.0,1.7021641828073655,-1.7021641828073655,-0.09571115143304049,1430.0,-0.04159171715931005,1.4617715495631667e-06,-0.05412089604528,0.033203125
1786719160.8824697,0.340000370000098,0.0,0.0,1.7021641828073655,-1.7021641828073655,-0.0931214263058725,1430.0,-0.04159171715931005,1.4617715495631667e-06,-0.051531170918112004,0.033203125
1786719160.9051952,0.3600003230001221,0.0,0.0,1.7800723786512265,-1.7800723786512265,-0.08168450509947481,1430.0,-0.043495373503779564,1.4617715495631667e-06,-0.0381905933672448,0.01953125
1786719160.9225032,0.3800004050001462,0.0,0.0,1.7800723786512265,-1.7800723786512265,-0.07634827407912792,1430.0,-0.043495373503779564,1.4617715495631667e-06,-0.032854362346897925,0.01953125
1786719160.9451723,0.4000003220000963,0.0,0.0,1.8125082217809165,-1.8125082217809163,-0.06094383883257204,1430.0,-0.04428793066536243,1.4617715495631667e-06,-0.016657369938759173,0.00390625
1786719160.962462,0.42000025600009394,0.0,0.0,1.8125082217809165,-1.8125082217809163,-0.054465041869316534,1430.0,-0.04428793066536243,1.4617715495631667e-06,-0.01017857297550367,0.00390625
1786719160.9834826,0.4400002649999806,0.0,0.0,1.811945442299475,-1.811945442299475,-0.05185977178713498,1430.0,-0.044274179368483074,1.4617715495631667e-06,-0.0075870541902014685,0.00390625
1786719161.003428,0.4600002740000946,0.0,0.0,1.811945442299475,-1.811945442299475,-0.0367606642730141,1430.0,-0.044274179368483074,1.4617715495631667e-06,0.007512053323919411,-0.01171875
1786719161.0224376,0.48000032000004467,0.0,0.0,1.811945442299475,-1.811945442299475,-0.03072102126736575,1430.0,-0.044274179368483074,1.4617715495631667e-06,0.013551696329567762,-0.01171875
