wall,t,offset,pwm,angle,gz
1786718716.265722,2.556000026743277e-06,70,1430,0.6753722175242274,0.0
1786718716.276496,0.020001547999981995,70,1430,0.6753722175242274,0.107421875
1786718716.2938433,0.040000652000003356,70,1430,0.6753722175242274,0.107421875
1786718716.316598,0.060000699999932294,70,1430,0.9933768375814793,0.107421875
1786718716.3364985,0.08000089600000138,70,1430,0.9933768375814793,0.11328125
1786718716.353837,0.10000092500001756,70,1430,0.9933768375814793,0.11328125
1786718716.3781383,0.1200008619999835,70,1430,1.3150551608756302,0.107421875
1786718716.3938458,0.14000079899994944,70,1430,1.3150551608756302,0.107421875
1786718716.4165075,0.16000105099999473,70,1430,1.6160890025258823,0.107421875
1786718716.4365108,0.18000119099997391,70,1430,1.6160890025258823,0.1015625
1786718716.4538462,0.20000123900001654,70,1430,1.6160890025258823,0.1015625
1786718716.477514,0.22000087999992957,70,1430,1.8938821568678463,0.0859375
1786718716.4938262,0.24000083499993252,70,1430,1.8938821568678463,0.0859375
1786718716.5165234,0.2600010310000016,70,1430,2.1317070750358766,0.0859375
1786718716.5365095,0.28000098600000456,70,1430,2.1317070750358766,0.078125
1786718716.55382,0.30000101600001017,70,1430,2.1317070750358766,0.078125
1786718716.5782447,0.3200010819999761,70,1430,2.3342078162553435,0.064453125
1786718716.5938246,0.34000113000001875,70,1430,2.3342078162553435,0.064453125
1786718716.6165247,0.360000844999945,70,1430,2.5027117559051533,0.064453125
1786718716.636715,0.3800012259999903,70,1430,2.5027117559051533,0.05078125
1786718716.653871,0.40000116299995625,70,1430,2.5027117559051533,0.05078125
1786718716.6781566,0.420000932999983,70,1430,2.636804906858913,0.03515625
1786718716.6938748,0.4400009810000256,70,1430,2.636804906858913,0.03515625
1786718716.716568,0.460000937000018,70,1430,2.7256686147718483,0.03515625
1786718716.73649,0.48000079899998127,70,1430,2.7256686147718483,0.0234375
1786718716.7539458,0.5000012729999526,70,1430,2.7256686147718483,0.0234375
1786718716.7774506,0.5200009320000163,70,1430,2.775168228214028,0.009765625
1786718716.7938452,0.5400010170000087,70,1430,2.775168228214028,0.009765625
1786718716.815866,0.5600012689999403,70,1430,2.7904037294191255,0.009765625
1786718716.835842,0.580000928000004,70,1430,2.7904037294191255,-0.001953125
1786718716.8538418,0.6000010499999462,70,1430,2.7904037294191255,-0.001953125
1786718716.8773415,0.6200009499999624,70,1430,2.7702298761988686,-0.01171875
1786718716.8939388,0.6400010899999415,70,1430,2.7702298761988686,-0.01171875
1786718716.9158952,0.6600010270000212,70,1430,2.7254980272909677,-0.01171875
1786718716.9358041,0.6800009459999501,70,1430,2.7254980272909677,-0.015625
1786718716.953851,0.7000009749999663,70,1430,2.7254980272909677,-0.015625
1786718716.9778314,0.7200011899999481,70,1430,2.6713920194097796,-0.0234375
1786718716.9938288,0.7400009780000119,70,1430,2.6713920194097796,-0.0234375
1786718717.0159001,0.7600009530000307,70,1430,2.6118554768698914,-0.0234375
1786718717.0360296,0.7800010199999861,70,1430,2.6118554768698914,-0.025390625
1786718717.0538654,0.8000010499999917,70,1430,2.6118554768698914,-0.025390625
1786718717.0775692,0.820001116999947,70,1430,2.53722254479257,-0.0234375
1786718717.0938408,0.8400008879999632,70,1430,2.53722254479257,-0.0234375
1786718717.1158621,0.8600008070000058,70,1430,2.4732277775098908,-0.0234375
1786718717.135815,0.8800011329999506,70,1430,2.4732277775098908,-0.021484375
1786718717.1537979,0.9000007189999906,70,1430,2.4732277775098908,-0.021484375
1786718717.1774602,0.9200010449999354,70,1430,2.413694865868422,-0.0234375
1786718717.193842,0.9400007980000282,70,1430,2.413694865868422,-0.0234375
1786718717.215869,0.9600009019999334,70,1430,2.353992582296968,-0.0234375
1786718717.235876,0.980001451000021,70,1430,2.353992582296968,-0.01953125
1786718717.2532487,1.0000008509999816,70,1430,2.353992582296968,-0.01953125
1786718717.2775161,1.020000806999974,70,1430,2.294852003237537,-0.01953125
1786718717.2938137,1.040000966999969,70,1430,2.294852003237537,-0.01953125
1786718717.3159513,1.060000663999972,70,1430,2.245380495897109,-0.01953125
1786718717.335805,1.0800010460000067,70,1430,2.245380495897109,-0.013671875
1786718717.3538463,1.1000008349999462,70,1430,2.245380495897109,-0.013671875
1786718717.3775196,1.1200011979999545,70,1430,2.2107100795570034,-0.009765625
1786718717.3938255,1.1400008399999706,70,1430,2.2107100795570034,-0.009765625
1786718717.4158697,1.1600012029999789,70,1430,2.176195512641783,-0.009765625
1786718717.4358487,1.1800011409999343,70,1430,2.176195512641783,-0.0078125
1786718717.4538198,1.2000007629999345,70,1430,2.176195512641783,-0.0078125
1786718717.477702,1.2200014420000116,70,1430,2.156197100315552,-0.005859375
1786718717.4938347,1.2400010459999748,70,1430,2.156197100315552,-0.005859375
1786718717.515893,1.2600008910000042,70,1430,2.1463112413883607,-0.005859375
1786718717.5351532,1.2800008839999464,70,1430,2.1463112413883607,0.0
1786718717.5538228,1.3000013399999943,70,1430,2.1463112413883607,0.0
1786718717.5775719,1.3200013150000132,70,1430,2.1513403098905144,0.00390625
1786718717.5938423,1.34000077099995,70,1430,2.1513403098905144,0.00390625
1786718717.6158917,1.3600008189999926,70,1430,2.1614365040034897,0.00390625
1786718717.6360204,1.3800013310000168,70,1430,2.1614365040034897,0.00390625
1786718717.6539257,1.4000011939999695,70,1430,2.1614365040034897,0.00390625
1786718717.67755,1.420000984000012,70,1430,2.176195512641783,0.00390625
1786718717.6939917,1.4400015879999728,70,1430,2.176195512641783,0.00390625
