t,ref,angle,err,u,pwm,P,I,D,gz
2.5740000069163216e-06,0.0,0.016530487072344613,-0.016530487072344613,0.0013538965030809196,1429.5532141539834,-0.0004039159969190802,-3.462137116449259e-06,0.0017578124999999998,-0.001953125
0.02000158499998861,0.0,0.0967816024071908,-0.0967816024071908,-0.005180782801422618,1430.0,-0.002364820664306169,-3.462137116449259e-06,-0.0028125,0.00390625
0.04000078100000337,0.0,0.0967816024071908,-0.0967816024071908,-0.007008907801422619,1430.0,-0.002364820664306169,-3.462137116449259e-06,-0.004640625000000001,0.00390625
0.06000069999998914,0.0,0.10699551272958274,-0.10699551272958274,-0.007989730711903464,1430.0,-0.0026143935747870136,-3.462137116449259e-06,-0.005371875,0.00390625
0.08000067400001853,0.0,0.10699551272958274,-0.10699551272958274,-0.0012509807119034633,1430.0,-0.0026143935747870136,-3.462137116449259e-06,0.0013668749999999996,-0.00390625
0.10000092500001756,0.0,0.10699551272958274,-0.10699551272958274,0.001444519288096537,1429.523308634928,-0.0026143935747870136,-2.587122490033795e-05,0.004062375,-0.00390625
0.12000078800002711,0.0,0.10104664198703972,-0.10104664198703972,0.002645668534038758,1429.1269293837672,-0.0024690352410609035,-4.703438410943141e-05,0.005140575,-0.00390625
0.1400010220000354,0.0,0.10104664198703972,-0.10104664198703972,0.003055785374829665,1428.9915908263063,-0.0024690352410609035,-6.819754331852488e-05,0.005571855,-0.00390625
0.16000080999998545,0.0,0.1038912856399179,-0.1038912856399179,0.0031376264587164157,1428.9645832686235,-0.0025385429979650595,-8.995648330108252e-05,0.005744367,-0.00390625
0.18000128400001358,0.0,0.1038912856399179,-0.1038912856399179,-0.005604190181266141,1430.0,-0.0025385429979650595,-8.995648330108252e-05,-0.0029756906999999994,0.005859375
0.20000085100002707,0.0,0.1038912856399179,-0.1038912856399179,-0.009092213261266142,1430.0,-0.0025385429979650595,-8.995648330108252e-05,-0.00646371378,0.005859375
0.22000108399998908,0.0,0.12272505345143259,-0.12272505345143257,-0.007431993255680024,1430.0,-0.0029987387603789407,-8.995648330108252e-05,-0.004343298012000001,0.001953125
0.24000078000000258,0.0,0.12272505345143259,-0.12272505345143257,-0.006583826948480024,1430.0,-0.0029987387603789407,-8.995648330108252e-05,-0.0034951317048000003,0.001953125
0.26000082900003463,0.0,0.1372226867864299,-0.1372226867864299,-0.006598804435219648,1430.0,-0.0033529827699985662,-8.995648330108252e-05,-0.00315586518192,0.001953125
0.280000914000027,0.0,0.1372226867864299,-0.1372226867864299,-0.001189660326067649,1430.0,-0.0033529827699985662,-8.995648330108252e-05,0.002253278927232,-0.00390625
0.300000979999993,0.0,0.1372226867864299,-0.1372226867864299,0.0009739973175931509,1429.6785808851942,-0.0033529827699985662,-0.00011869633561535596,0.0044169365708928,-0.00390625
0.3200007689999893,0.0,0.13569476019685567,-0.13569476019685567,9.024231234677207e-05,1429.9702200369256,-0.003315648480394992,-0.0001471161797330273,0.00352458712835712,-0.001953125
0.3400008909999883,0.0,0.13569476019685567,-0.13569476019685567,-0.00029511730878517117,1430.0,-0.003315648480394992,-0.0001471161797330273,0.003167647351342848,-0.001953125
